Energy,Data
0.00001,24.1063
1.10304E-05,22.9528
1.21669E-05,21.8545
1.34206E-05,20.8087
1.48034E-05,19.813
1.63287E-05,18.8649
1.80111E-05,17.9622
1.98669E-05,17.1027
2.19139E-05,16.2843
2.41719E-05,15.5051
2.66625E-05,14.7632
2.94097E-05,14.0567
0.00003244,13.3841
3.57825E-05,12.7437
3.94694E-05,12.1339
4.35362E-05,11.5533
4.80221E-05,11.0004
5.29701E-05,10.474
0.000058428,9.97285
6.44483E-05,9.49564
7.10888E-05,9.04126
7.84136E-05,8.60863
8.64931E-05,8.1967
9.54051E-05,7.80448
0.000105235,7.43103
0.000116078,7.07544
0.000128039,6.73688
0.000141231,6.41451
0.000155784,6.10757
0.000171835,5.81532
0.00018954,5.53705
0.00020907,5.27209
0.000230612,5.01982
0.000254374,4.77961
0.000280584,4.5509
0.000309494,4.33314
0.000341383,4.12579
0.000376558,3.92837
0.000415358,3.74039
0.000458155,3.56141
0.000505362,3.39099
0.000557433,3.22873
0.000614869,3.07423
0.000678223,2.92712
0.000748105,2.78705
0.000825188,2.65369
0.000910213,2.5267
0.001004,2.4058
0.00110745,2.29067
0.00122155,2.18106
0.00134742,2.07669
0.00148625,1.97732
0.00163939,1.8827
0.00180831,1.79261
0.00199463,1.70682
0.00220016,1.62515
0.00242685,1.54738
0.00267691,1.47333
0.00295273,1.40283
0.00325697,1.3357
0.00359256,1.27178
0.00396272,1.21092
0.00437103,1.15297
0.00482141,1.09779
0.00531819,1.04525
0.00586616,0.995232
0.00647059,0.947603
0.0071373,0.902253
0.00787271,0.859072
0.00868389,0.817957
0.00957865,0.77881
0.0105656,0.741535
0.0116543,0.706043
0.0128551,0.67225
0.0141796,0.640074
0.0156406,0.609438
0.0172522,0.58027
0.0190298,0.552501
0.0209906,0.526065
0.0231534,0.500902
0.0252419,0.479745
0.0253,0.479194
0.0279068,0.456281
0.0307823,0.434461
0.033954,0.413674
0.0374525,0.393869
0.0413115,0.375004
0.0455681,0.357044
0.0502633,0.339952
0.0554423,0.323683
0.0611549,0.308187
0.0674561,0.293416
0.0744066,0.27934
0.0820732,0.265934
0.0905297,0.253171
0.0998577,0.241024
0.110147,0.229471
0.121496,0.218482
0.134014,0.208011
0.147823,0.198022
0.163054,0.188502
0.179855,0.179438
0.198386,0.170809
0.218827,0.1626
0.241375,0.154803
0.266245,0.147367
0.293678,0.140265
0.323938,0.133498
0.357316,0.127055
0.394132,0.12092
0.434743,0.11509
0.479537,0.109556
0.528947,0.104252
0.583448,0.0991942
0.643565,0.0943776
0.709876,0.0897899
0.78302,0.0854197
0.8637,0.0812678
0.959413,0.0770473
1.05827,0.0732723
1.16731,0.0696756
1.28758,0.0662487
1.42025,0.0629824
1.56659,0.0598686
1.72801,0.0569
1.90606,0.0540756
2.13211,0.0510108
2.3518,0.0484505
2.59412,0.0460074
2.86141,0.0436731
3.15624,0.0414482
3.48145,0.0393226
3.81327,0.0374403
4.26552,0.035232
4.70503,0.0333872
5.15372,0.0317449
5.64492,0.0301671
6.22656,0.0285436
6.82035,0.027097
7.4704,0.0257123
8.41533,0.0239861
9.28242,0.022631
10.0964,0.0215142
10.9818,0.0204385
11.9448,0.0193987
13.0833,0.0183155
14.3309,0.0172753
15.6968,0.0162776
16.9545,0.0154666
18.5705,0.0145399
20.0585,0.013782
21.6646,0.0130516
23.2366,0.0124086
24.9226,0.0117872
26.731,0.0111838
28.4711,0.0106568
30.537,0.0100894
32.9822,0.00948594
35.6249,0.00890786
38.4775,0.0083507
41.2694,0.00786213
44.2639,0.00739341
48.4851,0.00680936
52.3674,0.00633984
56.1672,0.00593096
59.4045,0.00561492
63.2717,0.00527424
66.9186,0.00498204
71.2714,0.00466642
75.9111,0.00436633
81.4192,0.00404793
86.7153,0.00377758
91.0754,0.00357573
95.6501,0.0033826
100.46,0.00319762
104.772,0.00304549
110.034,0.00287587
115.567,0.00271352
121.372,0.00256085
127.475,0.00241553
134.822,0.00226064
140.609,0.00215111
147.672,0.00203096
155.097,0.00191971
161.755,0.00183232
167.516,0.00176403
174.707,0.00168797
182.206,0.00162025
190.027,0.00155978
196.806,0.00151685
203.816,0.00147968
212.564,0.0014455
218.604,0.00142936
224.816,0.00141906
231.51,0.00141624
238.403,0.00142261
245.177,0.00143855
250.39,0.00145831
255.701,0.00148606
261.138,0.00152293
266.677,0.00157013
270.439,0.0016092
276.189,0.0016802
280.086,0.00173772
284.037,0.00180524
286.027,0.00184204
290.062,0.00192634
295.192,0.00205176
298.304,0.00213985
301.461,0.00223985
304.647,0.00235288
307.863,0.00248129
311.109,0.002628
314.401,0.00279633
317.724,0.00298866
319.949,0.00313321
322.206,0.00329406
324.463,0.003471
326.752,0.00366899
329.041,0.00388823
331.362,0.00413468
333.103,0.00433797
334.86,0.00456341
337.214,0.00489519
338.987,0.00517168
340.778,0.00547983
342.568,0.00581941
344.375,0.00619839
346.191,0.00662101
348.006,0.00709186
349.847,0.00762628
351.075,0.00801894
352.302,0.00844446
353.538,0.00890993
354.783,0.00942053
356.028,0.00997825
357.272,0.010589
358.526,0.0112646
359.788,0.0120146
361.051,0.0128444
362.313,0.0137655
363.264,0.0145282
