Energy,Data
1.00E-11,36697.6
1.10E-11,34941.6
1.11E-11,34827.1
1.22E-11,33269.7
1.23E-11,33051.7
1.34E-11,31677.8
1.37E-11,31364.9
1.48E-11,30162
1.52E-11,29763.9
1.63E-11,28718.8
1.69E-11,28242.9
1.80E-11,27344.6
1.88E-11,26799.5
1.99E-11,26036.2
2.09E-11,25428.1
2.19E-11,24790.4
2.32E-11,24126.8
2.42E-11,23604.2
2.57E-11,22890.5
2.67E-11,22474.8
2.86E-11,21717.4
2.94E-11,21399.4
3.18E-11,20603.1
3.24E-11,20375.4
3.53E-11,19545.7
3.58E-11,19400.5
3.92E-11,18541.3
3.95E-11,18472.2
4.35E-11,17588.4
4.80E-11,16746.8
4.87E-11,16637.1
5.30E-11,15945.5
5.45E-11,15735.1
5.84E-11,15182.6
6.09E-11,14879.9
6.44E-11,14456.2
6.82E-11,14069.2
7.11E-11,13764.5
7.62E-11,13300.7
7.84E-11,13105.9
8.59E-11,12525.5
8.65E-11,12478.8
9.54E-11,11881.8
9.68E-11,11803.9
1.05E-10,11313.3
1.09E-10,11125.8
1.16E-10,10772
1.24E-10,10446.3
1.28E-10,10256.6
1.40E-10,9802.31
1.41E-10,9765.8
1.56E-10,9298.53
1.60E-10,9175.82
1.72E-10,8853.62
1.83E-10,8585.93
1.90E-10,8429.97
2.09E-10,8026.59
2.11E-10,8000.28
2.31E-10,7642.51
2.44E-10,7437.9
2.54E-10,7276.78
2.81E-10,6928.53
2.85E-10,6883.12
3.09E-10,6596.95
3.34E-10,6351.38
3.41E-10,6281.19
3.77E-10,5980.53
3.98E-10,5820.36
4.15E-10,5694.23
4.58E-10,5421.6
4.81E-10,5294.9
5.05E-10,5161.99
5.57E-10,4914.78
5.90E-10,4783.07
6.15E-10,4679.35
6.78E-10,4455.16
7.38E-10,4273.44
7.48E-10,4241.65
8.25E-10,4038.33
9.10E-10,3844.68
9.49E-10,3767.85
1.00E-09,3660.27
1.11E-09,3484.63
1.22E-09,3317.33
1.27E-09,3262.16
1.35E-09,3158
1.49E-09,3006.24
1.64E-09,2861.68
1.77E-09,2754.59
1.81E-09,2723.97
1.99E-09,2592.81
2.20E-09,2467.86
2.43E-09,2348.83
2.64E-09,2252.31
2.68E-09,2235.43
2.95E-09,2127.42
3.26E-09,2024.54
3.59E-09,1926.53
3.96E-09,1833.17
4.34E-09,1750.83
4.37E-09,1744.21
4.82E-09,1659.42
5.32E-09,1578.58
5.87E-09,1501.49
6.47E-09,1427.98
7.14E-09,1357.92
7.87E-09,1291.15
8.44E-09,1246.35
8.68E-09,1227.54
9.58E-09,1166.95
1.06E-08,1109.25
1.17E-08,1054.27
1.29E-08,1001.86
1.41E-08,955.547
1.42E-08,951.898
1.54E-08,911.204
1.56E-08,904.234
1.69E-08,868.706
1.73E-08,858.768
1.85E-08,828.019
1.90E-08,815.39
2.03E-08,789.014
2.10E-08,773.991
2.22E-08,751.656
2.32E-08,734.458
2.41E-08,718.421
2.52E-08,701.053
2.53E-08,700.185
2.75E-08,669.307
2.79E-08,664.015
2.99E-08,639.477
3.08E-08,629.385
3.26E-08,610.669
3.40E-08,596.24
3.54E-08,582.877
3.75E-08,564.567
3.85E-08,556.081
4.13E-08,534.269
4.19E-08,530.216
4.56E-08,505.206
4.96E-08,481.431
4.99E-08,479.39
5.03E-08,477.568
5.39E-08,458.552
5.47E-08,454.662
5.54E-08,451.141
5.86E-08,436.555
5.99E-08,430.973
6.16E-08,424.182
6.38E-08,415.428
6.56E-08,408.334
6.79E-08,400.184
6.94E-08,395.165
7.18E-08,386.711
7.49E-08,377.355
7.55E-08,375.763
7.87E-08,366.13
8.21E-08,357.189
8.32E-08,354.186
8.56E-08,348.051
8.93E-08,339.558
9.18E-08,333.815
9.31E-08,330.882
9.71E-08,322.851
1.01E-07,314.648
1.05E-07,308.374
1.10E-07,299.415
1.12E-07,297.087
1.13E-07,294.726
1.17E-07,288.812
1.19E-07,286.391
1.22E-07,282.053
1.24E-07,279.893
1.28E-07,274.362
1.31E-07,271.406
1.36E-07,266.487
1.39E-07,263.447
1.41E-07,261.69
1.49E-07,254.645
1.50E-07,253.891
1.51E-07,253.157
1.60E-07,247.113
1.64E-07,244.77
1.68E-07,242.905
1.70E-07,241.689
1.73E-07,240.421
1.80E-07,238.114
1.83E-07,237.324
1.85E-07,237.006
1.90E-07,235.969
1.93E-07,235.808
2.00E-07,235.512
2.02E-07,235.659
2.04E-07,235.816
2.06E-07,235.979
2.12E-07,237.229
2.16E-07,238.062
2.20E-07,239.472
2.25E-07,240.937
2.25E-07,241.079
2.27E-07,241.805
2.42E-07,248.703
2.46E-07,250.768
2.52E-07,253.377
2.52E-07,253.391
2.55E-07,254.83
2.59E-07,256.778
2.62E-07,257.581
2.69E-07,259.351
2.70E-07,259.497
2.71E-07,259.572
2.74E-07,259.693
2.76E-07,259.762
2.77E-07,259.752
2.81E-07,258.946
2.85E-07,258.231
2.87E-07,257.068
2.93E-07,254.597
2.93E-07,254.058
3.00E-07,249.686
3.01E-07,248.747
3.04E-07,245.859
3.06E-07,244.126
3.10E-07,240.895
3.15E-07,235.266
3.21E-07,228.959
3.32E-07,215.963
3.38E-07,209.041
3.38E-07,208.767
3.47E-07,198.033
3.51E-07,193.633
3.55E-07,189.993
3.62E-07,182.209
3.64E-07,180.661
3.70E-07,174.941
3.73E-07,172.332
3.77E-07,168.76
3.78E-07,167.879
3.86E-07,161.378
3.87E-07,160.085
3.94E-07,155.311
3.95E-07,154.372
3.98E-07,152.162
4.02E-07,149.62
4.10E-07,144.935
4.11E-07,144.27
4.11E-07,144.106
4.19E-07,139.357
4.21E-07,138.379
4.28E-07,134.833
4.36E-07,131.007
4.37E-07,130.485
4.47E-07,126.55
4.52E-07,124.464
4.53E-07,123.875
4.56E-07,122.82
4.66E-07,119.305
4.68E-07,118.606
4.79E-07,115.035
4.85E-07,113.365
4.93E-07,111.087
5.02E-07,108.631
5.07E-07,107.43
5.14E-07,105.642
5.20E-07,104.35
5.21E-07,104.04
5.36E-07,100.966
5.42E-07,99.7398
5.55E-07,97.4019
5.63E-07,95.9572
5.65E-07,95.615
5.75E-07,94.1353
5.90E-07,91.9213
5.95E-07,91.1509
6.13E-07,88.8945
6.15E-07,88.6183
6.17E-07,88.4213
6.32E-07,86.7297
6.39E-07,85.9784
6.41E-07,85.685
6.61E-07,83.7943
6.69E-07,83.1091
6.81E-07,82.1803
6.85E-07,81.8438
6.98E-07,80.8801
7.09E-07,80.1252
7.27E-07,79.0066
7.35E-07,78.6567
7.46E-07,78.1458
7.59E-07,77.5314
7.61E-07,77.4579
7.82E-07,76.7579
7.86E-07,76.6555
7.93E-07,76.5279
8.11E-07,76.2142
8.14E-07,76.1661
8.15E-07,76.1597
8.32E-07,76.116
8.37E-07,76.115
8.50E-07,76.2842
8.60E-07,76.4397
8.68E-07,76.6795
8.82E-07,77.1496
8.85E-07,77.2416
8.87E-07,77.3327
8.99E-07,78.0025
9.04E-07,78.2573
9.12E-07,78.8641
9.23E-07,79.7181
9.25E-07,79.9057
9.38E-07,81.259
9.42E-07,81.7671
9.48E-07,82.4496
9.53E-07,83.1355
9.56E-07,83.5381
9.58E-07,83.844
9.68E-07,85.4799
9.69E-07,85.7182
9.78E-07,87.4186
9.83E-07,88.4018
9.88E-07,89.6646
9.97E-07,91.685
9.99E-07,92.2485
1.01E-06,94.2422
1.01E-06,95.7155
1.01E-06,96.3976
1.02E-06,98.8006
1.02E-06,99.3259
1.03E-06,101.511
1.03E-06,103.522
1.03E-06,104.44
1.04E-06,106.527
1.04E-06,107.702
1.04E-06,108.4
1.04E-06,108.615
1.05E-06,111.301
1.05E-06,114.011
1.06E-06,115.22
1.06E-06,117.94
1.06E-06,119.489
1.07E-06,122.652
1.07E-06,124.016
1.08E-06,128.816
1.09E-06,133.805
1.10E-06,139.727
1.10E-06,142.375
1.10E-06,143.069
1.11E-06,146.125
1.11E-06,150.339
1.11E-06,151.108
1.12E-06,152.883
1.12E-06,154.07
1.13E-06,154.993
1.13E-06,155.491
1.13E-06,155.709
1.13E-06,156.04
1.14E-06,155.986
1.14E-06,155.964
1.14E-06,155.473
1.14E-06,155.377
1.15E-06,154.104
1.15E-06,153.784
1.15E-06,151.959
1.15E-06,151.941
1.15E-06,151.261
1.16E-06,149.031
1.16E-06,147.598
1.16E-06,144.094
1.16E-06,143.115
1.17E-06,138.679
1.17E-06,137.741
1.17E-06,136.673
1.18E-06,132.567
1.18E-06,131.511
1.18E-06,124.821
1.19E-06,117.905
1.20E-06,109.636
1.20E-06,106.962
1.20E-06,103.976
1.20E-06,100.469
1.21E-06,93.9414
1.21E-06,90.8639
1.22E-06,87.7748
1.22E-06,83.0206
1.22E-06,82.0475
1.23E-06,78.5149
1.23E-06,77.6844
1.23E-06,75.1924
1.23E-06,74.9246
1.23E-06,73.4185
1.24E-06,72.8697
1.24E-06,72.0601
