Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.8139081050335633,104,46,104Pd
2,1.0256110648728527,104,46,104Pd
3,1.1741327910474786,104,46,104Pd
4,1.2923793851963798,104,46,104Pd
5,1.3922395300561263,104,46,104Pd
6,1.4795326090021936,104,46,104Pd
7,1.5575943726006785,104,46,104Pd
7,1.6285359357815006,104,46,104Pd
9,1.6937880363730906,104,46,104Pd
10,1.7543703744295083,104,46,104Pd
11,1.8110383455220367,104,46,104Pd
12,1.8643689689885516,104,46,104Pd
12,1.9148141327622892,104,46,104Pd
13,1.9627351211314807,104,46,104Pd
15,2.0084258592854543,104,46,104Pd
16,2.052129060948099,104,46,104Pd
17,2.0940477496763106,104,46,104Pd
17,2.134353670776958,104,46,104Pd
18,2.173193557441794,104,46,104Pd
20,2.2106938814988646,104,46,104Pd
21,2.2469645119777564,104,46,104Pd
21,2.2821015721422633,104,46,104Pd
22,2.316189698707412,104,46,104Pd
23,2.349303848646894,104,46,104Pd
25,2.3815107590935867,104,46,104Pd
26,2.4128701380298154,104,46,104Pd
27,2.4434356437666334,104,46,104Pd
28,2.4732556970470214,104,46,104Pd
29,2.5023741592816675,104,46,104Pd
29,2.5308309028019638,104,46,104Pd
30,2.5586622933201677,104,46,104Pd
32,2.5859016004868463,104,46,104Pd
33,2.612579349156512,104,46,104Pd
34,2.6387236214480967,104,46,104Pd
35,2.664360317726792,104,46,104Pd
36,2.6895133830993974,104,46,104Pd
37,2.7142050048048936,104,46,104Pd
37,2.7384557849203257,104,46,104Pd
38,2.7622848920329064,104,46,104Pd
39,2.785710194910091,104,46,104Pd
40,2.80874838069799,104,46,104Pd
42,2.8314150597701513,104,46,104Pd
42,2.8537248590143935,104,46,104Pd
44,2.8756915050702454,104,46,104Pd
45,2.897327898801938,104,46,104Pd
46,2.9186461821029313,104,46,104Pd
47,2.9396577979701237,104,46,104Pd
47,2.960373544653758,104,46,104Pd
48,2.9808036245778085,104,46,104Pd
49,3.0009576886316998,104,46,104Pd
50,3.0208448763546207,104,46,104Pd
52,3.0404738524659596,104,46,104Pd
52,3.0598528401376006,104,46,104Pd
54,3.0789896513543633,104,46,104Pd
55,3.097891714666301,104,46,104Pd
56,3.116566100600071,104,46,104Pd
57,3.13501954496486,104,46,104Pd
58,3.1532584702610222,104,46,104Pd
59,3.1712890053757734,104,46,104Pd
60,3.189117003729565,104,46,104Pd
61,3.2067480600186764,104,46,104Pd
62,3.2241875256837487,104,46,104Pd
63,3.241440523220107,104,46,104Pd
63,3.2585119594335064,104,46,104Pd
64,3.275406537734214,104,46,104Pd
66,3.292128769552848,104,46,104Pd
67,3.308682984953004,104,46,104Pd
68,3.3250733425082837,104,46,104Pd
68,3.341303838504726,104,46,104Pd
70,3.357378315523793,104,46,104Pd
70,3.3733004704558147,104,46,104Pd
72,3.3890738619891416,104,46,104Pd
73,3.4047019176160953,104,46,104Pd
74,3.4201879401930526,104,46,104Pd
75,3.4355351140886405,104,46,104Pd
76,3.4507465109510624,104,46,104Pd
77,3.4658250951227996,104,46,104Pd
77,3.4807737287285483,104,46,104Pd
78,3.4955951764600224,104,46,104Pd
79,3.5102921100792877,104,46,104Pd
81,3.5248671126604685,104,46,104Pd
82,3.5393226825880744,104,46,104Pd
83,3.553661237328675,104,46,104Pd
83,3.5678851169913663,104,46,104Pd
84,3.5819965876912003,104,46,104Pd
85,3.5959978447286636,104,46,104Pd
86,3.6098910155972868,104,46,104Pd
88,3.623678162830543,104,46,104Pd
89,3.6373612866983303,104,46,104Pd
90,3.6509423277625963,104,46,104Pd
91,3.6644231693009135,104,46,104Pd
92,3.677805639606249,104,46,104Pd
92,3.6910915141704677,104,46,104Pd
93,3.704282517758679,104,46,104Pd
95,3.717380326380946,104,46,104Pd
96,3.730386569167484,104,46,104Pd
96,3.743302830153016,104,46,104Pd
98,3.7561306499755736,104,46,104Pd
99,3.7688715274946745,104,46,104Pd
100,3.7815269213334752,104,46,104Pd
101,3.7940982513492014,104,46,104Pd
101,3.80658690003585,104,46,104Pd
102,3.81899421386293,104,46,104Pd
103,3.8313215045537423,104,46,104Pd
105,3.843570050306482,104,46,104Pd
106,3.8557410969612325,104,46,104Pd
107,3.8678358591157647,104,46,104Pd
108,3.879855521192803,104,46,104Pd
109,3.8918012384613174,104,46,104Pd
109,3.9036741380142326,104,46,104Pd
111,3.9154753197047842,104,46,104Pd
111,3.9272058570436075,104,46,104Pd
112,3.9388667980585885,104,46,104Pd
114,3.9504591661192845,104,46,104Pd
115,3.9619839607276943,104,46,104Pd
116,3.973442158277054,104,46,104Pd
117,3.9848347127801804,104,46,104Pd
118,3.996162556568832,104,46,104Pd
118,4.0074266009655135,104,46,104Pd
119,4.018627736929003,104,46,104Pd
121,4.029766835674826,104,46,104Pd
122,4.040844749271892,104,46,104Pd
123,4.051862311216356,104,46,104Pd
124,4.062820336983764,104,46,104Pd
124,4.073719624560484,104,46,104Pd
126,4.084560954955351,104,46,104Pd
126,4.095345092692389,104,46,104Pd
127,4.106072786285512,104,46,104Pd
128,4.116744768695934,104,46,104Pd
130,4.12736175777309,104,46,104Pd
131,4.1379244566797535,104,46,104Pd
132,4.148433554302074,104,46,104Pd
133,4.1588897256451345,104,46,104Pd
134,4.169293632214665,104,46,104Pd
135,4.179645922385506,104,46,104Pd
135,4.189947231757358,104,46,104Pd
136,4.200198183498368,104,46,104Pd
138,4.210399388677015,104,46,104Pd
138,4.220551446582819,104,46,104Pd
140,4.230654945036317,104,46,104Pd
140,4.240710460688695,104,46,104Pd
141,4.250718559311575,104,46,104Pd
143,4.260679796077257,104,46,104Pd
144,4.2705947158298665,104,46,104Pd
144,4.280463853347714,104,46,104Pd
146,4.290287733597261,104,46,104Pd
146,4.300066871978942,104,46,104Pd
148,4.309801774565243,104,46,104Pd
149,4.319492938331265,104,46,104Pd
150,4.3291408513780905,104,46,104Pd
150,4.338745993149217,104,46,104Pd
152,4.348308834640315,104,46,104Pd
153,4.357829838602558,104,46,104Pd
154,4.36730945973977,104,46,104Pd
154,4.3767481448996035,104,46,104Pd
156,4.386146333258991,104,46,104Pd
156,4.3955044565040255,104,46,104Pd
158,4.404822939004559,104,46,104Pd
158,4.414102197983596,104,46,104Pd
159,4.423342643681781,104,46,104Pd
160,4.43254467951705,104,46,104Pd
161,4.4417087022396995,104,46,104Pd
162,4.450835102082979,104,46,104Pd
164,4.459924262909395,104,46,104Pd
165,4.468976562352834,104,46,104Pd
165,4.477992371956714,104,46,104Pd
167,4.4869720573082255,104,46,104Pd
168,4.4959159781688385,104,46,104Pd
168,4.504824488601206,104,46,104Pd
170,4.513697937092548,104,46,104Pd
170,4.522536666674667,104,46,104Pd
171,4.531341015040711,104,46,104Pd
173,4.540111314658727,104,46,104Pd
174,4.548847892882211,104,46,104Pd
175,4.557551072057667,104,46,104Pd
176,4.566221169629314,104,46,104Pd
177,4.574858498241017,104,46,104Pd
178,4.583463365835543,104,46,104Pd
179,4.592036075751212,104,46,104Pd
179,4.600576926816027,104,46,104Pd
181,4.609086213439402,104,46,104Pd
181,4.617564225701478,104,46,104Pd
182,4.626011249440196,104,46,104Pd
183,4.634427566336129,104,46,104Pd
184,4.642813453995182,104,46,104Pd
186,4.651169186029197,104,46,104Pd
187,4.659495032134546,104,46,104Pd
188,4.667791258168765,104,46,104Pd
189,4.6760581262252945,104,46,104Pd
189,4.684295894706363,104,46,104Pd
191,4.692504818394101,104,46,104Pd
192,4.700685148519907,104,46,104Pd
193,4.708837132832144,104,46,104Pd
193,4.716961015662182,104,46,104Pd
194,4.72505703798888,104,46,104Pd
195,4.73312543750151,104,46,104Pd
197,4.741166448661179,104,46,104Pd
197,4.749180302760824,104,46,104Pd
199,4.757167227983779,104,46,104Pd
200,4.76512744946096,104,46,104Pd
201,4.773061189326741,104,46,104Pd
202,4.780968666773528,104,46,104Pd
203,4.788850098105055,104,46,104Pd
204,4.796705696788493,104,46,104Pd
204,4.804535673505327,104,46,104Pd
205,4.812340236201119,104,46,104Pd
207,4.820119590134108,104,46,104Pd
207,4.827873937922741,104,46,104Pd
209,4.83560347959213,104,46,104Pd
209,4.843308412619477,104,46,104Pd
210,4.850988931978481,104,46,104Pd
211,4.858645230182782,104,46,104Pd
212,4.866277497328436,104,46,104Pd
214,4.87388592113546,104,46,104Pd
215,4.881470686988487,104,46,104Pd
215,4.889031977976524,104,46,104Pd
217,4.89656997493187,104,46,104Pd
217,4.904084856468163,104,46,104Pd
219,4.911576799017675,104,46,104Pd
219,4.9190459768677375,104,46,104Pd
220,4.926492562196464,104,46,104Pd
222,4.93391672510768,104,46,104Pd
223,4.9413186336651265,104,46,104Pd
223,4.948698453925956,104,46,104Pd
225,4.956056349973531,104,46,104Pd
225,4.963392483949531,104,46,104Pd
226,4.970707016085423,104,46,104Pd
228,4.978000104733253,104,46,104Pd
228,4.9852719063958295,104,46,104Pd
230,4.992522575756299,104,46,104Pd
231,4.9997522657070945,104,46,104Pd
232,5.006961127378338,104,46,104Pd
232,5.014149310165629,104,46,104Pd
234,5.021316961757321,104,46,104Pd
235,5.028464228161212,104,46,104Pd
236,5.035591253730752,104,46,104Pd
237,5.042698181190689,104,46,104Pd
237,5.049785151662238,104,46,104Pd
238,5.056852304687754,104,46,104Pd
239,5.063899778254912,104,46,104Pd
240,5.070927708820422,104,46,104Pd
241,5.077936231333303,104,46,104Pd
242,5.084925479257682,104,46,104Pd
243,5.091895584595166,104,46,104Pd
245,5.0988466779068045,104,46,104Pd
246,5.105778888334597,104,46,104Pd
247,5.112692343622633,104,46,104Pd
248,5.119587170137802,104,46,104Pd
249,5.126463492890137,104,46,104Pd
249,5.133321435552758,104,46,104Pd
250,5.140161120481466,104,46,104Pd
252,5.1469826687339415,104,46,104Pd
253,5.153786200088617,104,46,104Pd
254,5.160571833063202,104,46,104Pd
254,5.167339684932835,104,46,104Pd
256,5.174089871747951,104,46,104Pd
257,5.180822508351769,104,46,104Pd
257,5.187537708397525,104,46,104Pd
259,5.194235584365344,104,46,104Pd
259,5.200916247578818,104,46,104Pd
260,5.207579808221317,104,46,104Pd
261,5.214226375351962,104,46,104Pd
263,5.2208560569213605,104,46,104Pd
264,5.227468959787019,104,46,104Pd
265,5.234065189728519,104,46,104Pd
266,5.240644851462414,104,46,104Pd
267,5.247208048656853,104,46,104Pd
268,5.253754883945963,104,46,104Pd
269,5.260285458943985,104,46,104Pd
270,5.266799874259152,104,46,104Pd
271,5.2732982295073265,104,46,104Pd
272,5.27978062332543,104,46,104Pd
273,5.286247153384601,104,46,104Pd
274,5.292697916403158,104,46,104Pd
275,5.2991330081593455,104,46,104Pd
276,5.30555252350383,104,46,104Pd
277,5.311956556372026,104,46,104Pd
277,5.31834519979619,104,46,104Pd
278,5.324718545917318,104,46,104Pd
280,5.331076685996842,104,46,104Pd
280,5.337419710428131,104,46,104Pd
281,5.343747708747814,104,46,104Pd
283,5.350060769646903,104,46,104Pd
283,5.356358980981724,104,46,104Pd
285,5.362642429784699,104,46,104Pd
286,5.368911202274914,104,46,104Pd
287,5.375165383868552,104,46,104Pd
288,5.3814050591891185,104,46,104Pd
288,5.387630312077546,104,46,104Pd
290,5.393841225602085,104,46,104Pd
291,5.400037882068078,104,46,104Pd
292,5.406220363027562,104,46,104Pd
293,5.412388749288703,104,46,104Pd
294,5.4185431209251025,104,46,104Pd
295,5.424683557284957,104,46,104Pd
296,5.430810137000043,104,46,104Pd
296,5.436922937994598,104,46,104Pd
298,5.443022037494037,104,46,104Pd
298,5.44910751203355,104,46,104Pd
300,5.455179437466541,104,46,104Pd
301,5.461237888972967,104,46,104Pd
301,5.467282941067521,104,46,104Pd
302,5.473314667607707,104,46,104Pd
304,5.47933314180178,104,46,104Pd
305,5.48533843621657,104,46,104Pd
306,5.4913306227851795,104,46,104Pd
307,5.497309772814577,104,46,104Pd
308,5.5032759569930585,104,46,104Pd
309,5.509229245397607,104,46,104Pd
309,5.515169707501142,104,46,104Pd
311,5.521097412179654,104,46,104Pd
312,5.527012427719227,104,46,104Pd
312,5.5329148218229784,104,46,104Pd
313,5.538804661617866,104,46,104Pd
314,5.544682013661416,104,46,104Pd
316,5.550546943948348,104,46,104Pd
317,5.556399517917081,104,46,104Pd
317,5.562239800456182,104,46,104Pd
318,5.5680678559106935,104,46,104Pd
319,5.573883748088359,104,46,104Pd
320,5.579687540265793,104,46,104Pd
321,5.585479295194526,104,46,104Pd
323,5.591259075106993,104,46,104Pd
323,5.597026941722397,104,46,104Pd
325,5.602782956252535,104,46,104Pd
325,5.608527179407504,104,46,104Pd
326,5.614259671401337,104,46,104Pd
328,5.61998049195757,104,46,104Pd
329,5.625689700314692,104,46,104Pd
330,5.631387355231588,104,46,104Pd
331,5.637073514992825,104,46,104Pd
331,5.6427482374139135,104,46,104Pd
332,5.648411579846493,104,46,104Pd
334,5.654063599183418,104,46,104Pd
334,5.659704351863793,104,46,104Pd
336,5.6653338938779445,104,46,104Pd
336,5.670952280772299,104,46,104Pd
337,5.676559567654218,104,46,104Pd
338,5.682155809196748,104,46,104Pd
339,5.687741059643319,104,46,104Pd
340,5.693315372812376,104,46,104Pd
341,5.698878802101934,104,46,104Pd
342,5.704431400494089,104,46,104Pd
343,5.709973220559451,104,46,104Pd
344,5.715504314461542,104,46,104Pd
346,5.721024733961101,104,46,104Pd
346,5.726534530420348,104,46,104Pd
347,5.732033754807208,104,46,104Pd
348,5.737522457699449,104,46,104Pd
350,5.743000689288777,104,46,104Pd
350,5.748468499384871,104,46,104Pd
352,5.75392593741939,104,46,104Pd
352,5.759373052449878,104,46,104Pd
353,5.764809893163681,104,46,104Pd
355,5.770236507881742,104,46,104Pd
356,5.775652944562399,104,46,104Pd
357,5.781059250805126,104,46,104Pd
358,5.786455473854194,104,46,104Pd
359,5.791841660602318,104,46,104Pd
360,5.797217857594241,104,46,104Pd
360,5.802584111030282,104,46,104Pd
362,5.807940466769817,104,46,104Pd
362,5.813286970334736,104,46,104Pd
363,5.818623666912853,104,46,104Pd
364,5.823950601361261,104,46,104Pd
365,5.829267818209657,104,46,104Pd
367,5.834575361663612,104,46,104Pd
368,5.83987327560781,104,46,104Pd
368,5.845161603609248,104,46,104Pd
370,5.8504403889203775,104,46,104Pd
371,5.855709674482227,104,46,104Pd
371,5.860969502927469,104,46,104Pd
373,5.866219916583484,104,46,104Pd
374,5.871460957475306,104,46,104Pd
375,5.876692667328641,104,46,104Pd
375,5.8819150875727475,104,46,104Pd
377,5.887128259343355,104,46,104Pd
378,5.892332223485495,104,46,104Pd
378,5.897527020556328,104,46,104Pd
379,5.90271269082793,104,46,104Pd
381,5.907889274290027,104,46,104Pd
382,5.913056810652728,104,46,104Pd
383,5.918215339349184,104,46,104Pd
384,5.9233648995382575,104,46,104Pd
384,5.928505530107133,104,46,104Pd
386,5.933637269673896,104,46,104Pd
387,5.938760156590086,104,46,104Pd
388,5.94387422894324,104,46,104Pd
389,5.948979524559352,104,46,104Pd
389,5.9540760810053674,104,46,104Pd
390,5.959163935591597,104,46,104Pd
391,5.964243125374125,104,46,104Pd
392,5.9693136871571895,104,46,104Pd
394,5.974375657495528,104,46,104Pd
394,5.979429072696694,104,46,104Pd
395,5.984473968823358,104,46,104Pd
397,5.989510381695563,104,46,104Pd
397,5.994538346892961,104,46,104Pd
399,5.999557899757052,104,46,104Pd
400,6.004569075393325,104,46,104Pd
400,6.009571908673463,104,46,104Pd
401,6.014566434237458,104,46,104Pd
403,6.019552686495721,104,46,104Pd
404,6.024530699631181,104,46,104Pd
405,6.02950050760133,104,46,104Pd
406,6.034462144140283,104,46,104Pd
406,6.039415642760781,104,46,104Pd
408,6.04436103675618,104,46,104Pd
409,6.049298359202429,104,46,104Pd
409,6.054227642960021,104,46,104Pd
411,6.059148920675911,104,46,104Pd
411,6.06406222478541,104,46,104Pd
413,6.068967587514089,104,46,104Pd
414,6.073865040879625,104,46,104Pd
414,6.078754616693641,104,46,104Pd
416,6.083636346563533,104,46,104Pd
417,6.0885102618942595,104,46,104Pd
417,6.093376393890123,104,46,104Pd
418,6.098234773556532,104,46,104Pd
419,6.1030854317017385,104,46,104Pd
421,6.107928398938551,104,46,104Pd
422,6.112763705686048,104,46,104Pd
422,6.117591382171249,104,46,104Pd
423,6.12241145843078,104,46,104Pd
425,6.127223964312527,104,46,104Pd
425,6.132028929477251,104,46,104Pd
427,6.1368263834002015,104,46,104Pd
428,6.141616355372713,104,46,104Pd
429,6.146398874503776,104,46,104Pd
430,6.151173969721588,104,46,104Pd
430,6.155941669775106,104,46,104Pd
431,6.160702003235562,104,46,104Pd
433,6.165454998497972,104,46,104Pd
434,6.1702006837826255,104,46,104Pd
435,6.174939087136562,104,46,104Pd
435,6.179670236435028,104,46,104Pd
437,6.184394159382933,104,46,104Pd
438,6.189110883516253,104,46,104Pd
438,6.193820436203463,104,46,104Pd
440,6.19852284464694,104,46,104Pd
441,6.203218135884319,104,46,104Pd
441,6.207906336789885,104,46,104Pd
442,6.212587474075926,104,46,104Pd
443,6.217261574294059,104,46,104Pd
444,6.221928663836568,104,46,104Pd
446,6.2265887689377095,104,46,104Pd
447,6.231241915675018,104,46,104Pd
448,6.235888129970574,104,46,104Pd
449,6.240527437592298,104,46,104Pd
449,6.245159864155189,104,46,104Pd
450,6.249785435122585,104,46,104Pd
451,6.254404175807384,104,46,104Pd
453,6.259016111373263,104,46,104Pd
453,6.263621266835897,104,46,104Pd
455,6.268219667064136,104,46,104Pd
455,6.272811336781204,104,46,104Pd
457,6.27739630056586,104,46,104Pd
458,6.281974582853552,104,46,104Pd
458,6.286546207937575,104,46,104Pd
459,6.291111199970202,104,46,104Pd
460,6.295669582963798,104,46,104Pd
462,6.300221380791946,104,46,104Pd
463,6.304766617190534,104,46,104Pd
463,6.309305315758855,104,46,104Pd
465,6.313837499960681,104,46,104Pd
465,6.31836319312533,104,46,104Pd
467,6.322882418448731,104,46,104Pd
468,6.327395198994456,104,46,104Pd
469,6.331901557694767,104,46,104Pd
470,6.336401517351641,104,46,104Pd
471,6.340895100637782,104,46,104Pd
472,6.3453823300976335,104,46,104Pd
473,6.349863228148359,104,46,104Pd
474,6.354337817080847,104,46,104Pd
474,6.358806119060669,104,46,104Pd
475,6.363268156129072,104,46,104Pd
477,6.3677239502039,104,46,104Pd
477,6.372173523080566,104,46,104Pd
479,6.376616896432993,104,46,104Pd
479,6.381054091814524,104,46,104Pd
481,6.385485130658859,104,46,104Pd
482,6.3899100342809625,104,46,104Pd
483,6.394328823877965,104,46,104Pd
483,6.398741520530045,104,46,104Pd
484,6.403148145201347,104,46,104Pd
486,6.407548718740815,104,46,104Pd
487,6.411943261883096,104,46,104Pd
487,6.416331795249382,104,46,104Pd
489,6.420714339348273,104,46,104Pd
490,6.425090914576602,104,46,104Pd
