Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.4225667442127294,114,50,114Sn
2,1.6757283577658837,114,50,114Sn
3,1.8442193211622402,114,50,114Sn
4,1.9739429031674518,114,50,114Sn
5,2.0808158303937017,114,50,114Sn
6,2.172418712150898,114,50,114Sn
7,2.253006906226962,114,50,114Sn
7,2.325228051973757,114,50,114Sn
9,2.3908508464608884,114,50,114Sn
10,2.451120208218129,114,50,114Sn
11,2.5069482505258907,114,50,114Sn
12,2.559024844143355,114,50,114Sn
12,2.6078854324906797,114,50,114Sn
13,2.6539546059023627,114,50,114Sn
15,2.697575192028011,114,50,114Sn
16,2.7390283097904873,114,50,114Sn
17,2.7785475764816288,114,50,114Sn
17,2.816329412241596,114,50,114Sn
18,2.852540668647533,114,50,114Sn
20,2.8873243789185032,114,50,114Sn
21,2.92080416196935,114,50,114Sn
21,2.953087643829804,114,50,114Sn
22,2.984269149882329,114,50,114Sn
23,3.014431847928242,114,50,114Sn
25,3.043649472076761,114,50,114Sn
26,3.0719877227607086,114,50,114Sn
27,3.099505413716399,114,50,114Sn
28,3.126255419245849,114,50,114Sn
29,3.152285462358719,114,50,114Sn
29,3.177638775035999,114,50,114Sn
30,3.2023546548954287,114,50,114Sn
32,3.226468937300781,114,50,114Sn
33,3.2500143979763596,114,50,114Sn
34,3.2730210981339156,114,50,114Sn
35,3.2955166817553185,114,50,114Sn
36,3.31752663282956,114,50,114Sn
37,3.339074498891857,114,50,114Sn
37,3.3601820860633853,114,50,114Sn
38,3.3808696298735117,114,50,114Sn
39,3.4011559454105846,114,50,114Sn
40,3.4210585597530847,114,50,114Sn
42,3.440593829150234,114,50,114Sn
42,3.4597770430269037,114,50,114Sn
44,3.4786225165640707,114,50,114Sn
45,3.4971436733389947,114,50,114Sn
46,3.5153531192880787,114,50,114Sn
47,3.5332627090710536,114,50,114Sn
47,3.550883605761132,114,50,114Sn
48,3.5682263346564786,114,50,114Sn
49,3.5853008318993087,114,50,114Sn
50,3.6021164884968386,114,50,114Sn
52,3.6186821902600017,114,50,114Sn
52,3.635006354109229,114,50,114Sn
54,3.6510969611396678,114,50,114Sn
55,3.6669615867893492,114,50,114Sn
56,3.6826074284119086,114,50,114Sn
57,3.6980413305192203,114,50,114Sn
58,3.713269807928058,114,50,114Sn
59,3.7282990670177405,114,50,114Sn
60,3.743135025282156,114,50,114Sn
61,3.75778332933901,114,50,114Sn
62,3.77224937154118,114,50,114Sn
63,3.7865383053193677,114,50,114Sn
63,3.800655059371445,114,50,114Sn
64,3.8146043508017327,114,50,114Sn
66,3.8283906973028397,114,50,114Sn
67,3.8420184284631738,114,50,114Sn
68,3.855491696274926,114,50,114Sn
68,3.868814484909957,114,50,114Sn
70,3.881990619824374,114,50,114Sn
70,3.895023776246808,114,50,114Sn
72,3.9079174871001565,114,50,114Sn
73,3.9206751504018933,114,50,114Sn
74,3.933300036183935,114,50,114Sn
75,3.9457952929692754,114,50,114Sn
76,3.958163953839286,114,50,114Sn
77,3.9704089421225843,114,50,114Sn
77,3.9825330767336493,114,50,114Sn
78,3.994539077186946,114,50,114Sn
79,4.006429568310128,114,50,114Sn
81,4.018207084677889,114,50,114Sn
82,4.029874074786247,114,50,114Sn
83,4.04143290498545,114,50,114Sn
83,4.052885863188144,114,50,114Sn
84,4.064235162368203,114,50,114Sn
