Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,2.2006041813170416,11,5,11B
2,3.2679874586232773,11,5,11B
3,4.118517662720702,11,5,11B
4,4.853095400067495,11,5,11B
5,5.511962570058212,11,5,11B
6,6.116167634396871,11,5,11B
7,6.67840433626424,11,5,11B
7,7.207045700254425,11,5,11B
9,7.7079685125339905,11,5,11B
10,8.185490468608732,11,5,11B
11,8.642897226880594,11,5,11B
12,9.082759768312446,11,5,11B
12,9.507135979681726,11,5,11B
13,9.917704328574354,11,5,11B
15,10.315855706251421,11,5,11B
16,10.7027584343043,11,5,11B
17,11.079405456513214,11,5,11B
17,11.446649353973548,11,5,11B
18,11.805228824163896,11,5,11B
20,12.155789042481977,11,5,11B
21,12.49889755332249,11,5,11B
21,12.835056837305187,11,5,11B
22,13.164714368628859,11,5,11B
23,13.488270750612012,11,5,11B
25,13.806086361037242,11,5,11B
26,14.118486828663288,11,5,11B
27,14.425767583322015,11,5,11B
28,14.72819766466005,11,5,11B
29,15.026022932355689,11,5,11B
29,15.319468789167097,11,5,11B
30,15.608742504443619,11,5,11B
32,15.894035207661863,11,5,11B
33,16.175523607650174,11,5,11B
34,16.453371482379776,11,5,11B
35,16.72773097575949,11,5,11B
36,16.998743731212834,11,5,11B
37,17.266541886524724,11,5,11B
37,17.531248950211598,11,5,11B
38,17.79298057625819,11,5,11B
39,18.051845251301085,11,5,11B
40,18.307944906086462,11,5,11B
42,18.561375461183097,11,5,11B
42,18.81222731541085,11,5,11B
44,19.06058578418529,11,5,11B
45,19.306531493931423,11,5,11B
46,19.55014073784429,11,5,11B
47,19.791485797539462,11,5,11B
47,20.03063523451731,11,5,11B
48,20.267654154841992,11,5,11B
49,20.50260444999099,11,5,11B
50,20.735545016452818,11,5,11B
52,20.966531956326545,11,5,11B
52,21.195618760899492,11,5,11B
54,21.422856478940158,11,5,11B
55,21.64829387123769,11,5,11B
56,21.87197755274072,11,5,11B
57,22.093952123493608,11,5,11B
58,22.314260289433484,11,5,11B
59,22.5329429739939,11,5,11B
60,22.750039421358395,11,5,11B
61,22.965587292116965,11,5,11B
62,23.179622751999542,11,5,11B
63,23.392180554290654,11,5,11B
63,23.60329411646818,11,5,11B
64,23.81299559155463,11,5,11B
66,24.021315934621406,11,5,11B
67,24.22828496484336,11,5,11B
68,24.433931423463214,11,5,11B
68,24.638283027991587,11,5,11B
70,24.84136652293782,11,5,11B
70,25.043207727339972,11,5,11B
72,25.243831579338103,11,5,11B
73,25.44326217801305,11,5,11B
74,25.641522822693798,11,5,11B
75,25.838636049918193,11,5,11B
76,26.034623668217037,11,5,11B
77,26.229506790876012,11,5,11B
77,26.423305866818254,11,5,11B
78,26.616040709737444,11,5,11B
79,26.807730525601933,11,5,11B
81,26.99839393863983,11,5,11B
82,27.18804901590649,11,5,11B
83,27.376713290528553,11,5,11B
83,27.564403783710315,11,5,11B
84,27.751137025582754,11,5,11B
85,27.93692907496833,11,5,11B
86,28.12179553813064,11,5,11B
88,28.305751586571475,11,5,11B
89,28.488811973934116,11,5,11B
90,28.670991052067507,11,5,11B
91,28.852302786301397,11,5,11B
92,29.032760769979927,11,5,11B
92,29.212378238296576,11,5,11B
93,29.391168081472202,11,5,11B
95,29.569142857312915,11,5,11B
96,29.746314803184177,11,5,11B
96,29.92269584743322,11,5,11B
98,30.098297620291216,11,5,11B
99,30.27313146428359,11,5,11B
100,30.447208444175605,11,5,11B
101,30.62053935647829,11,5,11B
101,30.793134738538207,11,5,11B
102,30.965004877233586,11,5,11B
103,31.13615981729696,11,5,11B
105,31.306609369284022,11,5,11B
106,31.476363117207267,11,5,11B
107,31.64543042585092,11,5,11B
108,31.813820447783918,11,5,11B
109,31.981542130085547,11,5,11B
109,32.148604220798504,11,5,11B
111,32.31501527512263,11,5,11B
111,32.48078366136156,11,5,11B
112,32.645917566635156,11,5,11B
114,32.81042500236802,11,5,11B
115,32.97431380956537,11,5,11B
116,33.137591663885914,11,5,11B
117,33.300266080521546,11,5,11B
118,33.4623444188924,11,5,11B
118,33.62383388716617,11,5,11B
119,33.78474154660945,11,5,11B
121,33.94507431577866,11,5,11B
122,34.104838974557836,11,5,11B
123,34.26404216805017,11,5,11B
124,34.42269041032958,11,5,11B
124,34.580790088058485,11,5,11B
126,34.738347463977526,11,5,11B
126,34.895368680273,11,5,11B
127,35.051859761826805,11,5,11B
128,35.207826619354286,11,5,11B
130,35.36327505243448,11,5,11B
131,35.51821075243714,11,5,11B
132,35.6726393053511,11,5,11B
133,35.82656619451788,11,5,11B
134,35.97999680327422,11,5,11B
135,36.13293641750763,11,5,11B
135,36.28539022812801,11,5,11B
136,36.43736333345907,11,5,11B
138,36.58886074155246,11,5,11B
138,36.739887372427646,11,5,11B
140,36.89044806024076,11,5,11B
140,37.04054755538463,11,5,11B
141,37.1901905265233,11,5,11B
143,37.33938156256269,11,5,11B
144,37.48812517456082,11,5,11B
144,37.63642579757899,11,5,11B
146,37.78428779247669,11,5,11B
146,37.93171544765209,11,5,11B
148,38.078712980729975,11,5,11B
149,38.22528454019964,11,5,11B
150,38.371434207003645,11,5,11B
150,38.51716599608028,11,5,11B
152,38.66248385786032,11,5,11B
153,38.80739167972054,11,5,11B
154,38.95189328739513,11,5,11B
154,39.09599244634664,11,5,11B
156,39.23969286309755,11,5,11B
156,39.38299818652438,11,5,11B
158,39.525912009115295,11,5,11B
158,39.668437868192136,11,5,11B
159,39.81057924709902,11,5,11B
160,39.95233957635771,11,5,11B
161,40.093722234791265,11,5,11B
162,40.23473055061701,11,5,11B
164,40.37536780251019,11,5,11B
165,40.5156372206382,11,5,11B
165,40.65554198766786,11,5,11B
167,40.795085239745504,11,5,11B
168,40.934270067450846,11,5,11B
168,41.073099516726295,11,5,11B
170,41.211576589781444,11,5,11B
170,41.34970424597428,11,5,11B
171,41.487485402669634,11,5,11B
173,41.62492293607528,11,5,11B
174,41.7620196820569,11,5,11B
175,41.898778436932375,11,5,11B
176,42.035201958245594,11,5,11B
177,42.17129296552137,11,5,11B
178,42.30705414100105,11,5,11B
179,42.44248813036004,11,5,11B
179,42.5775975434075,11,5,11B
181,42.71238495476907,11,5,11B
181,42.84685290455249,11,5,11B
182,42.9810038989974,11,5,11B
183,43.114840411109405,11,5,11B
184,43.248364881278526,11,5,11B
186,43.381579717883405,11,5,11B
187,43.514487297880805,11,5,11B
