Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.2626429574545379,121,51,121Sb
2,0.3871453205777753,121,51,121Sb
3,0.4857860330218481,121,51,121Sb
4,0.5706663551837747,121,51,121Sb
5,0.6465912300740851,121,51,121Sb
6,0.7160663712789747,121,51,121Sb
7,0.7805994430032595,121,51,121Sb
7,0.8411830690674998,121,51,121Sb
9,0.8985128410304029,121,51,121Sb
10,0.953099110198451,121,51,121Sb
11,1.0053297692757066,121,51,121Sb
12,1.0555080080978319,121,51,121Sb
12,1.1038762687774792,121,51,121Sb
13,1.150632114918367,121,51,121Sb
15,1.1959391246908904,121,51,121Sb
16,1.23993459445835,121,51,121Sb
17,1.2827351268778946,121,51,121Sb
17,1.3244407741036601,121,51,121Sb
18,1.3651381688156612,121,51,121Sb
20,1.4049029303366776,121,51,121Sb
21,1.443801541342512,121,51,121Sb
21,1.4818928311831627,121,51,121Sb
22,1.5192291623178085,121,51,121Sb
23,1.5558573895444219,121,51,121Sb
25,1.591819643140768,121,51,121Sb
26,1.6271539739573235,121,51,121Sb
27,1.6618948891439551,121,51,121Sb
28,1.6960738003959686,121,51,121Sb
29,1.7297194016036577,121,51,121Sb
29,1.7628579890633538,121,51,121Sb
30,1.7955137346005416,121,51,121Sb
32,1.8277089198180507,121,51,121Sb
33,1.8594641380389965,121,51,121Sb
34,1.8907984692392732,121,51,121Sb
35,1.9217296322669875,121,51,121Sb
36,1.952274117859767,121,51,121Sb
37,1.9824473053460676,121,51,121Sb
37,2.0122635654168564,121,51,121Sb
38,2.041736350951624,121,51,121Sb
39,2.070878277556691,121,51,121Sb
40,2.0997011952081057,121,51,121Sb
42,2.128216252173775,121,51,121Sb
42,2.1564339522101728,121,51,121Sb
44,2.1843642058805948,121,51,121Sb
45,2.212016376718465,121,51,121Sb
46,2.2393993228561655,121,51,121Sb
47,2.2665214346533076,121,51,121Sb
47,2.2933906687855434,121,51,121Sb
48,2.3200145791933964,121,51,121Sb
49,2.346400345238286,121,51,121Sb
50,2.3725547973684034,121,51,121Sb
52,2.3984844405590016,121,51,121Sb
52,2.4241954757590407,121,51,121Sb
54,2.4496938195480493,121,51,121Sb
55,2.4749851221828134,121,51,121Sb
56,2.5000747841926105,121,51,121Sb
57,2.5249679716634335,121,51,121Sb
58,2.5496696303359245,121,51,121Sb
59,2.5741844986278686,121,51,121Sb
60,2.5985171196800825,121,51,121Sb
61,2.622671852513938,121,51,121Sb
62,2.646652882379484,121,51,121Sb
63,2.670464230364956,121,51,121Sb
63,2.6941097623312364,121,51,121Sb
64,2.71759319722848,121,51,121Sb
66,2.7409181148464334,121,51,121Sb
67,2.764087963044982,121,51,121Sb
68,2.7871060645070322,121,51,121Sb
68,2.8099756230517654,121,51,121Sb
70,2.832699729542885,121,51,121Sb
70,2.855281367423198,121,51,121Sb
72,2.877723417904096,121,51,121Sb
73,2.900028664835935,121,51,121Sb
74,2.9221997992830233,121,51,121Sb
75,2.944239423824866,121,51,121Sb
76,2.966150056603492,121,51,121Sb
77,2.9879341351349558,121,51,121Sb
77,3.00959401990166,121,51,121Sb
78,3.0311319977407267,121,51,121Sb
79,3.0525502850424293,121,51,121Sb
81,3.0738510307715736,121,51,121Sb
82,3.0950363193236847,121,51,121Sb
83,3.116108173226929,121,51,121Sb
83,3.1370685556998614,121,51,121Sb
84,3.157919373074304,121,51,121Sb
85,3.1786624770919847,121,51,121Sb
86,3.199299667082878,121,51,121Sb
88,3.219832692032645,121,51,121Sb
89,3.24026325254601,121,51,121Sb
90,3.260593002712409,121,51,121Sb
91,3.2808235518798163,121,51,121Sb
92,3.300956466342227,121,51,121Sb
92,3.32099327094586,121,51,121Sb
93,3.340935450618887,121,51,121Sb
95,3.3607844518290224,121,51,121Sb
96,3.3805416839731723,121,51,121Sb
96,3.400208520702933,121,51,121Sb
98,3.419786301189554,121,51,121Sb
99,3.439276331331712,121,51,121Sb
100,3.458679884909222,121,51,121Sb
101,3.477998204685643,121,51,121Sb
101,3.497232503462503,121,51,121Sb
102,3.516383965087733,121,51,121Sb
103,3.535453745420719,121,51,121Sb
105,3.5544429732562204,121,51,121Sb
106,3.573352751209324,121,51,121Sb
107,3.5921841565633796,121,51,121Sb
108,3.6109382420828275,121,51,121Sb
109,3.6296160367926795,121,51,121Sb
