Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.9675325957458646,134,56,134Ba
2,1.1730749273464869,134,56,134Ba
3,1.3129972048454144,134,56,134Ba
4,1.4222826096190957,134,56,134Ba
5,1.5132770711264583,134,56,134Ba
6,1.5919299333711965,134,56,134Ba
7,1.6616108970369685,134,56,134Ba
7,1.7244318964353855,134,56,134Ba
9,1.7818124862272782,134,56,134Ba
10,1.8347571937855947,134,56,134Ba
11,1.884005491052259,134,56,134Ba
12,1.9301190462637663,134,56,134Ba
12,1.973535474843502,134,56,134Ba
13,2.014603012746203,134,56,134Ba
15,2.0536037475967257,134,56,134Ba
16,2.090769686230027,134,56,134Ba
17,2.126294172322583,134,56,134Ba
17,2.1603401911382702,134,56,134Ba
18,2.193046533978892,134,56,134Ba
20,2.224532456334746,134,56,134Ba
21,2.2549012539142113,134,56,134Ba
21,2.2842430469567536,134,56,134Ba
22,2.312636975762108,134,56,134Ba
23,2.340152951870837,134,56,134Ba
25,2.3668530694118064,134,56,134Ba
26,2.3927927533883824,134,56,134Ba
27,2.418021702071503,134,56,134Ba
28,2.4425846666048794,134,56,134Ba
29,2.4665221006989113,134,56,134Ba
29,2.4898707057547718,134,56,134Ba
30,2.512663891143723,134,56,134Ba
32,2.5349321651347676,134,56,134Ba
33,2.556703468742646,134,56,134Ba
34,2.578003462293414,134,56,134Ba
35,2.598855772586676,134,56,134Ba
36,2.619282207034681,134,56,134Ba
37,2.6393029399781454,134,56,134Ba
37,2.6589366754424923,134,56,134Ba
38,2.67820078985061,134,56,134Ba
39,2.6971114576073836,134,56,134Ba
40,2.7156837619854715,134,56,134Ba
42,2.7339317933467377,134,56,134Ba
42,2.75186873641076,134,56,134Ba
44,2.769506948016397,134,56,134Ba
45,2.7868580266031757,134,56,134Ba
46,2.803932874457403,134,56,134Ba
47,2.820741753616325,134,56,134Ba
47,2.8372943361968206,134,56,134Ba
48,2.8535997498085326,134,56,134Ba
49,2.869666618621445,134,56,134Ba
50,2.8855031005817957,134,56,134Ba
52,2.9011169212055714,134,56,134Ba
52,2.916515404323676,134,56,134Ba
54,2.9317055001057635,134,56,134Ba
55,2.9466938106492346,134,56,134Ba
56,2.9614866133851483,134,56,134Ba
57,2.9760898825227176,134,56,134Ba
58,2.9905093087281105,134,56,134Ba
59,3.0047503172107093,134,56,134Ba
60,3.018818084370373,134,56,134Ba
61,3.0327175531421475,134,56,134Ba
62,3.04645344715991,134,56,134Ba
63,3.060030283847347,134,56,134Ba
63,3.0734523865331496,134,56,134Ba
64,3.08672389567719,134,56,134Ba
66,3.0998487792855425,134,56,134Ba
67,3.112830842584281,134,56,134Ba
68,3.12567373701504,134,56,134Ba
68,3.1383809686091175,134,56,134Ba
70,3.1509559057913985,134,56,134Ba
70,3.1634017866604642,134,56,134Ba
72,3.17572172578692,134,56,134Ba
73,3.1879187205680046,134,56,134Ba
74,3.1999956571731505,134,56,134Ba
75,3.2119553161119163,134,56,134Ba
76,3.2238003774530126,134,56,134Ba
77,3.235533425720554,134,56,134Ba
77,3.247156954491409,134,56,134Ba
78,3.2586733707154765,134,56,134Ba
79,3.270084998778897,134,56,134Ba
81,3.281394084328456,134,56,134Ba
82,3.2926027978740144,134,56,134Ba
83,3.303713238184389,134,56,134Ba
83,3.314727435490829,134,56,134Ba
84,3.3256473545111853,134,56,134Ba
85,3.3364748973067555,134,56,134Ba
86,3.3472119059829124,134,56,134Ba
88,3.3578601652437543,134,56,134Ba
89,3.3684214048102015,134,56,134Ba
90,3.378897301710332,134,56,134Ba
91,3.389289482449985,134,56,134Ba
92,3.3995995250711974,134,56,134Ba
92,3.4098289611053776,134,56,134Ba
93,3.4199792774276823,134,56,134Ba
95,3.4300519180185924,134,56,134Ba
96,3.4400482856382464,134,56,134Ba
96,3.449969743418739,134,56,134Ba
98,3.45981761637916,134,56,134Ba
99,3.469593192867909,134,56,134Ba
100,3.479297725936464,134,56,134Ba
101,3.488932434648502,134,56,134Ba
101,3.4984985053280266,134,56,134Ba
102,3.507997092749923,134,56,134Ba
103,3.517429321276109,134,56,134Ba
105,3.526796285940283,134,56,134Ba
106,3.536099053484039,134,56,134Ba
107,3.545338663347005,134,56,134Ba
108,3.5545161286134013,134,56,134Ba
109,3.563632436917362,134,56,134Ba
109,3.57268855130917,134,56,134Ba
111,3.5816854110844076,134,56,134Ba
111,3.5906239325779588,134,56,134Ba
112,3.599505009924647,134,56,134Ba
114,3.6083295157881747,134,56,134Ba
115,3.617098302059962,134,56,134Ba
116,3.6258122005293854,134,56,134Ba
117,3.6344720235268237,134,56,134Ba
118,3.643078564540808,134,56,134Ba
118,3.651632598810568,134,56,134Ba
119,3.6601348838951213,134,56,134Ba
121,3.668586160220054,134,56,134Ba
122,3.6769871516029964,134,56,134Ba
123,3.685338565758852,134,56,134Ba
124,3.6936410947856593,134,56,134Ba
124,3.7018954156320216,134,56,134Ba
126,3.7101021905469174,134,56,134Ba
126,3.7182620675127107,134,56,134Ba
127,3.726375680662097,134,56,134Ba
128,3.734443650679719,134,56,134Ba
130,3.742466585189114,134,56,134Ba
131,3.7504450791256487,134,56,134Ba
132,3.7583797150960514,134,56,134Ba
133,3.766271063725098,134,56,134Ba
134,3.7741196839900546,134,56,134Ba
135,3.781926123543335,134,56,134Ba
135,3.7896909190239163,134,56,134Ba
136,3.7974145963579713,134,56,134Ba
138,3.80509767104916,134,56,134Ba
138,3.812740648459018,134,56,134Ba
140,3.8203440240778335,134,56,134Ba
140,3.827908283786434,134,56,134Ba
141,3.8354339041092023,134,56,134Ba
143,3.8429213524587107,134,56,134Ba
144,3.8503710873723023,134,56,134Ba
144,3.8577835587409264,134,56,134Ba
146,3.86515920803054,134,56,134Ba
146,3.87249846849637,134,56,134Ba
