Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.41917841641812026,135,54,135Xe
2,0.6066023982845637,135,54,135Xe
3,0.7529977044977755,135,54,135Xe
4,0.8778278059945408,135,54,135Xe
5,0.9887362796567379,135,54,135Xe
6,1.0896797057306136,135,54,135Xe
7,1.183025225177923,135,54,135Xe
7,1.2703241186588599,135,54,135Xe
9,1.3526592037442717,135,54,135Xe
10,1.4308222346841413,135,54,135Xe
11,1.5054131744187729,135,54,135Xe
12,1.5768997089746963,135,54,135Xe
12,1.6456549032377754,135,54,135Xe
13,1.711982083801399,135,54,135Xe
15,1.776131880303106,135,54,135Xe
16,1.8383142518687146,135,54,135Xe
17,1.8987071940068558,135,54,135Xe
17,1.957463182537787,135,54,135Xe
18,2.0147140350655537,135,54,135Xe
20,2.070574640972282,135,54,135Xe
21,2.125145866368686,135,54,135Xe
21,2.1785168468710556,135,54,135Xe
22,2.230766819017636,135,54,135Xe
23,2.281966599072565,135,54,135Xe
25,2.332179788890455,135,54,135Xe
26,2.3814637680606348,135,54,135Xe
27,2.429870516928637,135,54,135Xe
28,2.477447304486839,135,54,135Xe
29,2.524237267329744,135,54,135Xe
29,2.5702799000673013,135,54,135Xe
30,2.6156114732224385,135,54,135Xe
32,2.660265391317155,135,54,135Xe
33,2.7042725013001006,135,54,135Xe
34,2.7476613594910395,135,54,135Xe
35,2.7904584636718197,135,54,135Xe
36,2.8326884557356413,135,54,135Xe
37,2.8743742993397476,135,54,135Xe
37,2.9155374362340507,135,54,135Xe
38,2.9561979243165695,135,54,135Xe
39,2.9963745599633658,135,54,135Xe
40,3.036084986770882,135,54,135Xe
42,3.0753457925131045,135,54,135Xe
42,3.1141725958398028,135,54,135Xe
44,3.1525801240137103,135,54,135Xe
45,3.1905822827946113,135,54,135Xe
46,3.228192219419888,135,54,135Xe
47,3.2654223794981325,135,54,135Xe
47,3.302284558520627,135,54,135Xe
48,3.3387899486009314,135,54,135Xe
49,3.374949180972627,135,54,135Xe
50,3.410772364707017,135,54,135Xe
52,3.446269122054272,135,54,135Xe
52,3.4814486207614914,135,54,135Xe
54,3.5163196036783044,135,54,135Xe
55,3.5508904159234147,135,54,135Xe
56,3.585169029853657,135,54,135Xe
57,3.6191630680492093,135,54,135Xe
58,3.6528798245044984,135,54,135Xe
59,3.686326284193321,135,54,135Xe
60,3.719509141158241,135,54,135Xe
61,3.7524348152582223,135,54,135Xe
62,3.7851094676943506,135,54,135Xe
63,3.817539015420981,135,54,135Xe
63,3.8497291445386814,135,54,135Xe
64,3.8816853227556822,135,54,135Xe
66,3.91341281099588,135,54,135Xe
67,3.9449166742238617,135,54,135Xe
68,3.976201791550639,135,54,135Xe
68,4.007272865677708,135,54,135Xe
70,4.038134431731712,135,54,135Xe
70,4.06879086553713,135,54,135Xe
72,4.09924639137016,135,54,135Xe
73,4.129505089233015,135,54,135Xe
74,4.159570901684505,135,54,135Xe
75,4.1894476402595275,135,54,135Xe
76,4.219138991507368,135,54,135Xe
77,4.248648522676164,135,54,135Xe
77,4.27797968706855,135,54,135Xe
78,4.307135829091494,135,54,135Xe
79,4.336120189021403,135,54,135Xe
81,4.364935907503928,135,54,135Xe
82,4.393586029806285,135,54,135Xe
83,4.422073509838609,135,54,135Xe
83,4.450401213959424,135,54,135Xe
84,4.478571924579345,135,54,135Xe
85,4.506588343575863,135,54,135Xe
86,4.534453095531255,135,54,135Xe
88,4.562168730804663,135,54,135Xe
89,4.589737728448645,135,54,135Xe
90,4.617162498979721,135,54,135Xe
91,4.644445387011733,135,54,135Xe
92,4.671588673760308,135,54,135Xe
92,4.698594579425968,135,54,135Xe
93,4.725465265463096,135,54,135Xe
95,4.752202836741331,135,54,135Xe
96,4.778809343605556,135,54,135Xe
96,4.805286783840298,135,54,135Xe
98,4.8316371045438435,135,54,135Xe
99,4.857862203917156,135,54,135Xe
100,4.883963932972243,135,54,135Xe
101,4.909944097164399,135,54,135Xe
101,4.935804457952411,135,54,135Xe
102,4.961546734290604,135,54,135Xe
103,4.987172604056312,135,54,135Xe
105,5.012683705416181,135,54,135Xe
106,5.03808163813445,135,54,135Xe
107,5.063367964826265,135,54,135Xe
108,5.0885442121587285,135,54,135Xe
109,5.11361187200242,135,54,135Xe
109,5.138572402535805,135,54,135Xe
111,5.163427229304904,135,54,135Xe
111,5.18817774624037,135,54,135Xe
112,5.212825316634144,135,54,135Xe
114,5.237371274077525,135,54,135Xe
115,5.261816923362583,135,54,135Xe
116,5.286163541348638,135,54,135Xe
117,5.310412377795413,135,54,135Xe
118,5.334564656164463,135,54,135Xe
118,5.358621574390306,135,54,135Xe
119,5.382584305622688,135,54,135Xe
121,5.406453998941249,135,54,135Xe
122,5.43023178004385,135,54,135Xe
123,5.453918751909782,135,54,135Xe
124,5.477515995438901,135,54,135Xe
124,5.501024570067782,135,54,135Xe
126,5.52444551436393,135,54,135Xe
126,5.547779846598902,135,54,135Xe
127,5.571028565301382,135,54,135Xe
128,5.594192649790931,135,54,135Xe
130,5.617273060693308,135,54,135Xe
131,5.640270740438122,135,54,135Xe
132,5.663186613739539,135,54,135Xe
133,5.686021588060745,135,54,135Xe
134,5.708776554062851,135,54,135Xe
135,5.731452386038833,135,54,135Xe
135,5.754049942333174,135,54,135Xe
136,5.776570065747716,135,54,135Xe
138,5.799013583934316,135,54,135Xe
138,5.821381309774806,135,54,135Xe
140,5.843674041748784,135,54,135Xe
140,5.865892564289636,135,54,135Xe
141,5.888037648129385,135,54,135Xe
143,5.910110050632618,135,54,135Xe
144,5.932110516120053,135,54,135Xe
144,5.954039776182073,135,54,135Xe
146,5.975898549982626,135,54,135Xe
146,5.997687544553802,135,54,135Xe
148,6.019407455081537,135,54,135Xe
149,6.041058965182647,135,54,135Xe
150,6.062642747173609,135,54,135Xe
150,6.084159462331325,135,54,135Xe
152,6.105609761146208,135,54,135Xe
153,6.1269942835678215,135,54,135Xe
154,6.148313659243359,135,54,135Xe
154,6.169568507749242,135,54,135Xe
156,6.190759438816019,135,54,135Xe
156,6.211887052546853,135,54,135Xe
158,6.232951939629805,135,54,135Xe
158,6.253954681544109,135,54,135Xe
159,6.274895850760688,135,54,135Xe
160,6.295776010937038,135,54,135Xe
161,6.316595717106757,135,54,135Xe
162,6.337355515863823,135,54,135Xe
164,6.358055945541854,135,54,135Xe
165,6.378697536388467,135,54,135Xe
165,6.399280810734942,135,54,135Xe
167,6.419806283161333,135,54,135Xe
168,6.4402744606571325,135,54,135Xe
168,6.460685842777717,135,54,135Xe
170,6.48104092179663,135,54,135Xe
170,6.501340182853875,135,54,135Xe
171,6.521584104100367,135,54,135Xe
173,6.541773156838593,135,54,135Xe
174,6.561907805659673,135,54,135Xe
175,6.581988508576902,135,54,135Xe
176,6.602015717155904,135,54,135Xe
177,6.62198987664145,135,54,135Xe
178,6.641911426081101,135,54,135Xe
179,6.661780798445772,135,54,135Xe
179,6.681598420747256,135,54,135Xe
181,6.701364714152846,135,54,135Xe
181,6.721080094097154,135,54,135Xe
182,6.740744970391157,135,54,135Xe
183,6.760359747328602,135,54,135Xe
184,6.779924823789831,135,54,135Xe
186,6.7994405933431,135,54,135Xe
187,6.8189074443434565,135,54,135Xe
188,6.838325760029293,135,54,135Xe
189,6.857695918616564,135,54,135Xe
189,6.8770182933907975,135,54,135Xe
191,6.896293252796974,135,54,135Xe
192,6.915521160527246,135,54,135Xe
193,6.9347023756066895,135,54,135Xe
193,6.953837252477003,135,54,135Xe
194,6.972926141078346,135,54,135Xe
195,6.991969386929255,135,54,135Xe
197,7.010967331204772,135,54,135Xe
197,7.029920310812785,135,54,135Xe
199,7.048828658468661,135,54,135Xe
