Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.1480566902351603,144,60,144Nd
2,1.3433828470819926,144,60,144Nd
3,1.472704357825268,144,60,144Nd
4,1.5719410802479294,144,60,144Nd
5,1.6534973334870773,144,60,144Nd
6,1.7232648787753875,144,60,144Nd
7,1.7845442018419055,144,60,144Nd
7,1.839385373379128,144,60,144Nd
9,1.889155948486551,144,60,144Nd
10,1.934817308583743,144,60,144Nd
11,1.9770730594896444,144,60,144Nd
12,2.0164548482806146,144,60,144Nd
12,2.053374947247733,144,60,144Nd
13,2.0881600107421425,144,60,144Nd
15,2.1210735927858115,144,60,144Nd
16,2.152331658173504,144,60,144Nd
17,2.182113563489268,144,60,144Nd
17,2.2105700164857773,144,60,144Nd
18,2.2378289649504284,144,60,144Nd
20,2.264000033009123,144,60,144Nd
21,2.289177917029572,144,60,144Nd
21,2.3134450224773073,144,60,144Nd
22,2.336873537789818,144,60,144Nd
23,2.3595270844514067,144,60,144Nd
25,2.3814620437330927,144,60,144Nd
26,2.4027286337188363,144,60,144Nd
27,2.4233717913161503,144,60,144Nd
28,2.443431900404627,144,60,144Nd
29,2.462945397445218,144,60,144Nd
29,2.481945278645935,144,60,144Nd
30,2.5004615274033646,144,60,144Nd
32,2.518521476696043,144,60,144Nd
33,2.5361501180337465,144,60,144Nd
34,2.5533703662107436,144,60,144Nd
35,2.570203287288022,144,60,144Nd
36,2.586668295807299,144,60,144Nd
37,2.6027833261214712,144,60,144Nd
37,2.6185649818406374,144,60,144Nd
38,2.634028666686788,144,60,144Nd
39,2.6491886994835907,144,60,144Nd
40,2.6640584155502354,144,60,144Nd
42,2.6786502563967463,144,60,144Nd
42,2.6929758493148466,144,60,144Nd
44,2.707046078209465,144,60,144Nd
45,2.720871146810635,144,60,144Nd
46,2.7344606352353718,144,60,144Nd
47,2.7478235507274866,144,60,144Nd
47,2.7609683732848884,144,60,144Nd
48,2.7739030967845775,144,60,144Nd
49,2.786635266131811,144,60,144Nd
50,2.7991720108891274,144,60,144Nd
52,2.811520075780821,144,60,144Nd
52,2.8236858484173157,144,60,144Nd
54,2.8356753845401483,144,60,144Nd
55,2.8474944310508277,144,60,144Nd
56,2.859148447054625,144,60,144Nd
57,2.8706426231225946,144,60,144Nd
58,2.8819818989511043,144,60,144Nd
59,2.893170979577382,144,60,144Nd
60,2.904214350291473,144,60,144Nd
61,2.9151162903692693,144,60,144Nd
62,2.9258808857375054,144,60,144Nd
63,2.936512040669585,144,60,144Nd
63,2.9470134886005095,144,60,144Nd
64,2.957388802139931,144,60,144Nd
66,2.9676414023541247,144,60,144Nd
67,2.9777745673804823,144,60,144Nd
68,2.9877914404317165,144,60,144Nd
68,2.997695037241303,144,60,144Nd
70,3.007488252996668,144,60,144Nd
70,3.0171738688021317,144,60,144Nd
72,3.026754557709657,144,60,144Nd
73,3.0362328903518683,144,60,144Nd
74,3.0456113402086387,144,60,144Nd
75,3.0548922885356857,144,60,144Nd
76,3.0640780289810707,144,60,144Nd
77,3.0731707719131824,144,60,144Nd
77,3.0821726484817376,144,60,144Nd
78,3.091085714431469,144,60,144Nd
79,3.099911953686478,144,60,144Nd
81,3.108653281721731,144,60,144Nd
82,3.117311548736804,144,60,144Nd
83,3.125888542645724,144,60,144Nd
83,3.1343859918956496,144,60,144Nd
84,3.1428055681261045,144,60,144Nd
85,3.151148888679531,144,60,144Nd
86,3.1594175189731177,144,60,144Nd
88,3.1676129747410613,144,60,144Nd
89,3.175736724155723,144,60,144Nd
90,3.1837901898354994,144,60,144Nd
91,3.191774750746665,144,60,144Nd
92,3.199691744005853,144,60,144Nd
92,3.2075424665894103,144,60,144Nd
93,3.215328176955376,144,60,144Nd
95,3.2230500965834237,144,60,144Nd
96,3.2307094114377373,144,60,144Nd
96,3.2383072733574396,144,60,144Nd
98,3.2458448013788654,144,60,144Nd
99,3.253323082993675,144,60,144Nd
100,3.260743175346543,144,60,144Nd
101,3.268106106375897,144,60,144Nd
101,3.275412875900941,144,60,144Nd
102,3.2826644566580017,144,60,144Nd
103,3.289861795289023,144,60,144Nd
105,3.29700581328486,144,60,144Nd
106,3.304097407885837,144,60,144Nd
107,3.3111374529419098,144,60,144Nd
108,3.318126799734582,144,60,144Nd
109,3.3250662777626294,144,60,144Nd
109,3.3319566954935254,144,60,144Nd
111,3.3387988410823883,144,60,144Nd
111,3.3455934830600995,144,60,144Nd
112,3.3523413709922085,144,60,144Nd
114,3.359043236110089,144,60,144Nd
115,3.3656997919157616,144,60,144Nd
116,3.372311734761694,144,60,144Nd
117,3.3788797444068157,144,60,144Nd
118,3.38540448454993,144,60,144Nd
118,3.3918866033416117,144,60,144Nd
119,3.3983267338756478,144,60,144Nd
121,3.4047254946609695,144,60,144Nd
122,3.4110834900750535,144,60,144Nd
123,3.41740131079962,144,60,144Nd
124,3.42367953423948,144,60,144Nd
124,3.42991872492531,144,60,144Nd
126,3.4361194349010935,144,60,144Nd
126,3.442282204096924,144,60,144Nd
127,3.4484075606878437,144,60,144Nd
128,3.4544960214393385,144,60,144Nd
130,3.4605480920400895,144,60,144Nd
131,3.466564267422533,144,60,144Nd
132,3.4725450320717837,144,60,144Nd
133,3.478490860323418,144,60,144Nd
134,3.4844022166505972,144,60,144Nd
135,3.4902795559409876,144,60,144Nd
135,3.496123323763931,144,60,144Nd
136,3.5019339566282492,144,60,144Nd
138,3.5077118822311,144,60,144Nd
138,3.5134575196982487,144,60,144Nd
140,3.519171279816107,144,60,144Nd
140,3.5248535652558797,144,60,144Nd
141,3.5305047707901633,144,60,144Nd
143,3.5361252835022507,144,60,144Nd
144,3.541715482988497,144,60,144Nd
144,3.5472757415539817,144,60,144Nd
146,3.552806424401744,144,60,144Nd
146,3.558307889815859,144,60,144Nd
148,3.563780489338575,144,60,144Nd
149,3.5692245679417502,144,60,144Nd
150,3.5746404641928264,144,60,144Nd
150,3.5800285104155156,144,60,144Nd
152,3.585389032845434,144,60,144Nd
153,3.590722351780852,144,60,144Nd
154,3.5960287817287595,144,60,144Nd
154,3.601308631546411,144,60,144Nd
156,3.606562204578523,144,60,144Nd
156,3.6117897987902823,144,60,144Nd
158,3.616991706896329,144,60,144Nd
158,3.6221682164858335,144,60,144Nd
159,3.627319610143852,144,60,144Nd
160,3.632446165569049,144,60,144Nd
161,3.6375481556879485,144,60,144Nd
162,3.6426258487658294,144,60,144Nd
