Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.08707172273074866,149,61,149Pm
2,0.13568448289004328,149,61,149Pm
3,0.17588345646876827,149,61,149Pm
4,0.21143809172202138,149,61,149Pm
5,0.24389542778097761,149,61,149Pm
6,0.2740804372697987,149,61,149Pm
7,0.3024980755175157,149,61,149Pm
7,0.3294854774755568,149,61,149Pm
9,0.3552817067265474,149,61,149Pm
10,0.3800639743862721,149,61,149Pm
11,0.40396819916786275,149,61,149Pm
12,0.42710148869142317,149,61,149Pm
12,0.44955012519962345,149,61,149Pm
13,0.47138489586048954,149,61,149Pm
15,0.4926647769184244,149,61,149Pm
16,0.5134395556786469,149,61,149Pm
17,0.5337517436254864,149,61,149Pm
17,0.5536380026217165,149,61,149Pm
18,0.5731302281978693,149,61,149Pm
20,0.5922563860278934,149,61,149Pm
21,0.6110411673109397,149,61,149Pm
21,0.6295065089915464,149,61,149Pm
22,0.6476720115477191,149,61,149Pm
23,0.665555278076501,149,61,149Pm
25,0.6831721921525672,149,61,149Pm
26,0.7005371475132712,149,61,149Pm
27,0.7176632394470958,149,61,149Pm
28,0.7345624254476892,149,61,149Pm
29,0.7512456609864971,149,61,149Pm
29,0.7677230149795633,149,61,149Pm
30,0.7840037685586567,149,61,149Pm
32,0.80009650001962,149,61,149Pm
33,0.8160091582524335,149,61,149Pm
34,0.8317491265153059,149,61,149Pm
35,0.8473232780682414,149,61,149Pm
36,0.8627380249073215,149,61,149Pm
37,0.8779993606225549,149,61,149Pm
37,0.8931128982270427,149,61,149Pm
38,0.9080839036638805,149,61,149Pm
39,0.9229173255824662,149,61,149Pm
40,0.9376178218821594,149,61,149Pm
42,0.9521897834442955,149,61,149Pm
42,0.9666373554100177,149,61,149Pm
44,0.9809644563087417,149,61,149Pm
45,0.9951747952981163,149,61,149Pm
46,1.0092718877396538,149,61,149Pm
47,1.0232590693032746,149,61,149Pm
47,1.0371395087679638,149,61,149Pm
48,1.0509162196636583,149,61,149Pm
49,1.064592070880706,149,61,149Pm
50,1.0781697963572063,149,61,149Pm
52,1.0916520039408542,149,61,149Pm
52,1.1050411835100975,149,61,149Pm
54,1.1183397144292986,149,61,149Pm
55,1.1315498724037927,149,61,149Pm
56,1.1446738357931734,149,61,149Pm
57,1.1577136914344872,149,61,149Pm
58,1.1706714400213083,149,61,149Pm
59,1.1835490010796104,149,61,149Pm
60,1.1963482175769669,149,61,149Pm
61,1.2090708601977496,149,61,149Pm
62,1.2217186313135886,149,61,149Pm
63,1.23429316867537,149,61,149Pm
63,1.2467960488504075,149,61,149Pm
64,1.259228790426063,149,61,149Pm
66,1.2715928569990402,149,61,149Pm
67,1.2838896599676937,149,61,149Pm
68,1.2961205611431015,149,61,149Pm
68,1.3082868751931191,149,61,149Pm
70,1.320389871932389,149,61,149Pm
70,1.3324307784700462,149,61,149Pm
72,1.3444107812258597,149,61,149Pm
73,1.3563310278245642,149,61,149Pm
74,1.3681926288773187,149,61,149Pm
75,1.37999665965844,149,61,149Pm
76,1.3917441616848805,149,61,149Pm
77,1.4034361442053007,149,61,149Pm
77,1.4150735856050072,149,61,149Pm
78,1.4266574347325294,149,61,149Pm
79,1.4381886121531424,149,61,149Pm
81,1.4496680113342137,149,61,149Pm
82,1.461096499766885,149,61,149Pm
83,1.472474920028232,149,61,149Pm
83,1.4838040907877488,149,61,149Pm
84,1.4950848077616918,149,61,149Pm
85,1.506317844618572,149,61,149Pm
86,1.5175039538388322,149,61,149Pm
88,1.5286438675315235,149,61,149Pm
89,1.539738298210602,149,61,149Pm
90,1.5507879395332664,149,61,149Pm
91,1.5617934670025917,149,61,149Pm
92,1.5727555386365706,149,61,149Pm
92,1.5836747956054953,149,61,149Pm
93,1.5945518628395239,149,61,149Pm
95,1.6053873496081081,149,61,149Pm
96,1.6161818500728855,149,61,149Pm
96,1.6269359438154953,149,61,149Pm
98,1.6376501963417234,149,61,149Pm
99,1.648325159563247,149,61,149Pm
100,1.6589613722582066,149,61,149Pm
101,1.669559360511728,149,61,149Pm
101,1.6801196381374612,149,61,149Pm
102,1.690642707081132,149,61,149Pm
103,1.7011290578070393,149,61,149Pm
105,1.711579169668373,149,61,149Pm
106,1.7219935112621827,149,61,149Pm
107,1.732372540769772,149,61,149Pm
108,1.7427167062832427,149,61,149Pm
109,1.7530264461188716,149,61,149Pm
109,1.763302189117981,149,61,149Pm
111,1.773544354935904,149,61,149Pm
111,1.7837533543195987,149,61,149Pm
112,1.7939295893744989,149,61,149Pm
114,1.8040734538210612,149,61,149Pm
115,1.8141853332415285,149,61,149Pm
116,1.8242656053173487,149,61,149Pm
117,1.8343146400576795,149,61,149Pm
118,1.8443328000193966,149,61,149Pm
118,1.8543204405189764,149,61,149Pm
119,1.8642779098366409,149,61,149Pm
121,1.8742055494130787,149,61,149Pm
122,1.884103694039097,149,61,149Pm
123,1.8939726720385086,149,61,149Pm
124,1.90381280544454,149,61,149Pm
124,1.9136244101700446,149,61,149Pm
126,1.9234077961717915,149,61,149Pm
126,1.9331632676090713,149,61,149Pm
127,1.9428911229968737,149,61,149Pm
128,1.9525916553538405,149,61,149Pm
130,1.9622651523452415,149,61,149Pm
131,1.971911896421146,149,61,149Pm
132,1.9815321649500117,149,61,149Pm
133,1.9911262303478654,149,61,149Pm
134,2.000694360203251,149,61,149Pm
135,2.0102368173981175,149,61,149Pm
