Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.014463189525482121,151,62,151Sm
2,0.029382687281779837,151,62,151Sm
3,0.04447941017345867,151,62,151Sm
4,0.05969238737954571,151,62,151Sm
5,0.07499239931079,151,62,151Sm
6,0.09036212913494174,151,62,151Sm
7,0.10579007964950916,151,62,151Sm
7,0.12126804729937928,151,62,151Sm
9,0.13678987790992309,151,62,151Sm
10,0.15235078082722228,151,62,151Sm
11,0.16794691917268437,151,62,151Sm
12,0.1835751497143778,151,62,151Sm
12,0.19923284966253,151,62,151Sm
13,0.21491779682341489,151,62,151Sm
15,0.2306280840031539,151,62,151Sm
16,0.2463620562250063,151,62,151Sm
17,0.26211826362421503,151,62,151Sm
17,0.2778954254079813,151,62,151Sm
18,0.29369240180762785,151,62,151Sm
20,0.30950817192116076,151,62,151Sm
21,0.3253418159751679,151,62,151Sm
21,0.3411925009552719,151,62,151Sm
22,0.35705946884080847,151,62,151Sm
23,0.37294202687865785,151,62,151Sm
25,0.38883953947229405,151,62,151Sm
26,0.4047514213637354,151,62,151Sm
27,0.42067713186037253,151,62,151Sm
28,0.43661616991366875,151,62,151Sm
29,0.4525680698980274,151,62,151Sm
29,0.46853239796944646,151,62,151Sm
30,0.48450874890761214,151,62,151Sm
32,0.5004967433636891,151,62,151Sm
33,0.5164960254506189,151,62,151Sm
34,0.53250626062419,151,62,151Sm
35,0.5485271338122643,151,62,151Sm
36,0.5645583477568171,151,62,151Sm
37,0.5805996215393461,151,62,151Sm
37,0.5966506892649399,151,62,151Sm
38,0.6127112988842133,151,62,151Sm
39,0.6287812111354922,151,62,151Sm
40,0.6448601985922704,151,62,151Sm
42,0.6609480448031443,151,62,151Sm
42,0.6770445435132636,151,62,151Sm
44,0.6931494979578473,151,62,151Sm
45,0.7092627202196061,151,62,151Sm
46,0.7253840306430034,151,62,151Sm
47,0.7415132572991943,151,62,151Sm
47,0.7576502354962714,151,62,151Sm
48,0.7737948073301231,151,62,151Sm
49,0.7899468212717656,151,62,151Sm
50,0.8061061317875243,151,62,151Sm
52,0.8222725989888531,151,62,151Sm
52,0.838446088308951,151,62,151Sm
54,0.8546264702036638,151,62,151Sm
55,0.8708136198744224,151,62,151Sm
56,0.8870074170112305,151,62,151Sm
57,0.9032077455539161,151,62,151Sm
58,0.919414493470046,151,62,151Sm
59,0.9356275525480836,151,62,151Sm
60,0.9518468182044906,151,62,151Sm
61,0.9680721893036245,151,62,151Sm
62,0.9843035679893853,151,62,151Sm
63,1.000540859527665,151,62,151Sm
63,1.0167839721587466,151,62,151Sm
64,1.0330328169588852,151,62,151Sm
66,1.0492873077103546,151,62,151Sm
67,1.065547360779332,151,62,151Sm
68,1.0818128950010404,151,62,151Sm
68,1.098083831571597,151,62,151Sm
70,1.114360093946118,151,62,151Sm
70,1.1306416077425911,151,62,151Sm
72,1.1469283006511604,151,62,151Sm
73,1.1632201023484021,151,62,151Sm
74,1.1795169444162878,151,62,151Sm
75,1.1958187602654955,151,62,151Sm
76,1.212125485062793,151,62,151Sm
77,1.2284370556622228,151,62,151Sm
77,1.2447534105398412,151,62,151Sm
78,1.2610744897317872,151,62,151Sm
79,1.2774002347754687,151,62,151Sm
81,1.293730588653676,151,62,151Sm
82,1.310065495741439,151,62,151Sm
83,1.326404901755463,151,62,151Sm
83,1.3427487537059866,151,62,151Sm
84,1.3590969998509232,151,62,151Sm
85,1.3754495896521466,151,62,151Sm
86,1.391806473733798,151,62,151Sm
88,1.4081676038425013,151,62,151Sm
89,1.4245329328093763,151,62,151Sm
90,1.440902414513752,151,62,151Sm
91,1.4572760038484776,151,62,151Sm
92,1.4736536566867606,151,62,151Sm
92,1.490035329850425,151,62,151Sm
93,1.506420981079545,151,62,151Sm
95,1.5228105690033436,151,62,151Sm
96,1.5392040531123243,151,62,151Sm
96,1.5556013937315596,151,62,151Sm
98,1.572002551995059,151,62,151Sm
99,1.588407489821192,151,62,151Sm
100,1.6048161698890968,151,62,151Sm
101,1.6212285556160209,151,62,151Sm
101,1.6376446111355571,151,62,151Sm
102,1.6540643012767364,151,62,151Sm
103,1.6704875915439146,151,62,151Sm
105,1.6869144480974396,151,62,151Sm
106,1.7033448377350406,151,62,151Sm
107,1.7197787278739274,151,62,151Sm
108,1.73621608653355,151,62,151Sm
109,1.7526568823189892,151,62,151Sm
109,1.7691010844049573,151,62,151Sm
111,1.785548662520385,151,62,151Sm
111,1.801999586933538,151,62,151Sm
112,1.8184538284376934,151,62,151Sm
114,1.834911358337293,151,62,151Sm
115,1.851372148434589,151,62,151Sm
116,1.8678361710167706,151,62,151Sm
117,1.8843033988434916,151,62,151Sm
118,1.900773805134866,151,62,151Sm
118,1.9172473635598304,151,62,151Sm
119,1.933724048224928,151,62,151Sm
121,1.9502038336634426,151,62,151Sm
122,1.966686694824889,151,62,151Sm
123,1.983172607064865,151,62,151Sm
124,1.9996615461352163,151,62,151Sm
124,2.0161534881745173,151,62,151Sm
126,2.03264840969887,151,62,151Sm
126,2.0491462875929596,151,62,151Sm
127,2.065647099101434,151,62,151Sm
128,2.082150821820519,151,62,151Sm
130,2.0986574336899078,151,62,151Sm
131,2.1151669129848796,151,62,151Sm
132,2.1316792383086973,151,62,151Sm
133,2.1481943885851793,151,62,151Sm
134,2.1647123430515443,151,62,151Sm
135,2.1812330812514387,151,62,151Sm
135,2.1977565830281756,151,62,151Sm
136,2.214282828518175,151,62,151Sm
138,2.230811798144596,151,62,151Sm
138,2.2473434726111448,151,62,151Sm
140,2.263877832896068,151,62,151Sm
140,2.2804148602463123,151,62,151Sm
141,2.2969545361718495,151,62,151Sm
143,2.3134968424401627,151,62,151Sm
144,2.3300417610708775,151,62,151Sm
144,2.3465892743305554,151,62,151Sm
146,2.363139364727625,151,62,151Sm
146,2.3796920150074343,151,62,151Sm
148,2.396247208147471,151,62,151Sm
149,2.4128049273526764,151,62,151Sm
150,2.4293651560509075,151,62,151Sm
150,2.4459278778885056,151,62,151Sm
152,2.4624930767260005,151,62,151Sm
153,2.4790607366338993,151,62,151Sm
154,2.495630841888611,151,62,151Sm
154,2.5122033769684515,151,62,151Sm
156,2.528778326549786,151,62,151Sm
156,2.5453556755032274,151,62,151Sm
158,2.561935408889971,151,62,151Sm
158,2.5785175119581782,151,62,151Sm
159,2.5951019701395053,151,62,151Sm
160,2.6116887690456654,151,62,151Sm
161,2.6282778944651026,151,62,151Sm
162,2.6448693323597574,151,62,151Sm
164,2.6614630688618774,151,62,151Sm
165,2.678059090270934,151,62,151Sm
165,2.6946573830506124,151,62,151Sm
167,2.711257933825854,151,62,151Sm
168,2.7278607293799855,151,62,151Sm
168,2.744465756651911,151,62,151Sm
170,2.761073002733379,151,62,151Sm
170,2.777682454866283,151,62,151Sm
171,2.7942941004400765,151,62,151Sm
173,2.810907926989198,151,62,151Sm
174,2.8275239221905792,151,62,151Sm
175,2.8441420738612098,151,62,151Sm
176,2.8607623699557516,151,62,151Sm
177,2.8773847985642167,151,62,151Sm
178,2.8940093479096793,151,62,151Sm
179,2.910636006346053,151,62,151Sm
179,2.9272647623559203,151,62,151Sm
181,2.9438956045484024,151,62,151Sm
181,2.9605285216570687,151,62,151Sm
182,2.977163502537912,151,62,151Sm
183,2.9938005361673525,151,62,151Sm
184,3.0104396116402823,151,62,151Sm
186,3.027080718168167,151,62,151Sm
187,3.043723845077179,151,62,151Sm
188,3.0603689818063704,151,62,151Sm
189,3.0770161179058726,151,62,151Sm
189,3.0936652430351748,151,62,151Sm
191,3.110316346961377,151,62,151Sm
192,3.126969419557538,151,62,151Sm
193,3.1436244508010147,151,62,151Sm
193,3.1602814307718634,151,62,151Sm
194,3.1769403496512645,151,62,151Sm
195,3.193601197719971,151,62,151Sm
197,3.210263965356797,151,62,151Sm
197,3.226928643037137,151,62,151Sm
199,3.2435952213315233,151,62,151Sm
200,3.2602636909041802,151,62,151Sm
201,3.27693404251165,151,62,151Sm
202,3.293606267001415,151,62,151Sm
203,3.3102803553105615,151,62,151Sm
204,3.326956298464464,151,62,151Sm
204,3.3436340875754946,151,62,151Sm
205,3.3603137138417583,151,62,151Sm
207,3.3769951685458572,151,62,151Sm
207,3.3936784430536786,151,62,151Sm
209,3.410363528813197,151,62,151Sm
209,3.4270504173532923,151,62,151Sm
210,3.4437391002826394,151,62,151Sm
211,3.460429569288542,151,62,151Sm
212,3.4771218161358535,151,62,151Sm
214,3.4938158326658786,151,62,151Sm
215,3.510511610795316,151,62,151Sm
215,3.527209142515215,151,62,151Sm
217,3.543908419889957,151,62,151Sm
217,3.560609435056224,151,62,151Sm
219,3.5773121802220493,151,62,151Sm
219,3.5940166476658084,151,62,151Sm
220,3.610722829735294,151,62,151Sm
222,3.627430718846774,151,62,151Sm
223,3.6441403074840633,151,62,151Sm
223,3.6608515881976347,151,62,151Sm
225,3.6775645536037307,151,62,151Sm
225,3.694279196383479,151,62,151Sm
226,3.710995509282065,151,62,151Sm
228,3.7277134851078646,151,62,151Sm
228,3.7444331167316225,151,62,151Sm
230,3.7611543970856673,151,62,151Sm
231,3.7778773191630766,151,62,151Sm
232,3.7946018760169244,151,62,151Sm
232,3.8113280607594975,151,62,151Sm
234,3.8280558665615376,151,62,151Sm
235,3.844785286651498,151,62,151Sm
236,3.8615163143148226,151,62,151Sm
237,3.8782489428932165,151,62,151Sm
237,3.8949831657839296,151,62,151Sm
238,3.911718976439098,151,62,151Sm
239,3.928456368365017,151,62,151Sm
240,3.9451953351214915,151,62,151Sm
241,3.961935870321174,151,62,151Sm
242,3.9786779676289115,151,62,151Sm
243,3.995421620761104,151,62,151Sm
245,4.012166823485089,151,62,151Sm
246,4.028913569618491,151,62,151Sm
247,4.045661853028647,151,62,151Sm
248,4.062411667631993,151,62,151Sm
249,4.079163007393468,151,62,151Sm
249,4.0959158663259485,151,62,151Sm
250,4.112670238489663,151,62,151Sm
252,4.129426117991639,151,62,151Sm
253,4.146183498985153,151,62,151Sm
254,4.162942375669171,151,62,151Sm
254,4.179702742287835,151,62,151Sm
256,4.196464593129914,151,62,151Sm
257,4.213227922528298,151,62,151Sm
257,4.229992724859482,151,62,151Sm
259,4.246758994543071,151,62,151Sm
259,4.263526726041263,151,62,151Sm
260,4.280295913858398,151,62,151Sm
261,4.29706655254043,151,62,151Sm
263,4.313838636674502,151,62,151Sm
264,4.330612160888433,151,62,151Sm
265,4.347387119850301,151,62,151Sm
266,4.364163508267964,151,62,151Sm
267,4.380941320888633,151,62,151Sm
268,4.397720552498412,151,62,151Sm
269,4.414501197921878,151,62,151Sm
270,4.431283252021668,151,62,151Sm
271,4.448066709698025,151,62,151Sm
272,4.464851565888421,151,62,151Sm
273,4.481637815567136,151,62,151Sm
274,4.498425453744838,151,62,151Sm
275,4.515214475468218,151,62,151Sm
276,4.532004875819577,151,62,151Sm
277,4.548796649916467,151,62,151Sm
277,4.565589792911272,151,62,151Sm
278,4.582384299990881,151,62,151Sm
280,4.599180166376287,151,62,151Sm
280,4.6159773873222285,151,62,151Sm
281,4.63277595811685,151,62,151Sm
283,4.64957587408134,151,62,151Sm
283,4.666377130569567,151,62,151Sm
285,4.683179722967765,151,62,151Sm
286,4.699983646694168,151,62,151Sm
287,4.716788897198699,151,62,151Sm
288,4.73359546996263,151,62,151Sm
288,4.750403360498259,151,62,151Sm
290,4.7672125643486,151,62,151Sm
291,4.784023077087039,151,62,151Sm
292,4.800834894317065,151,62,151Sm
293,4.81764801167193,151,62,151Sm
294,4.834462424814364,151,62,151Sm
295,4.851278129436262,151,62,151Sm
296,4.8680951212584045,151,62,151Sm
296,4.884913396030158,151,62,151Sm
298,4.901732949529191,151,62,151Sm
298,4.918553777561199,151,62,151Sm
300,4.935375875959602,151,62,151Sm
301,4.952199240585299,151,62,151Sm
301,4.969023867326363,151,62,151Sm
302,4.985849752097823,151,62,151Sm
304,5.002676890841344,151,62,151Sm
305,5.0195052795249895,151,62,151Sm
306,5.036334914142982,151,62,151Sm
307,5.053165790715413,151,62,151Sm
308,5.069997905288019,151,62,151Sm
309,5.086831253931924,151,62,151Sm
309,5.103665832743395,151,62,151Sm
311,5.120501637843603,151,62,151Sm
312,5.137338665378384,151,62,151Sm
312,5.154176911517985,151,62,151Sm
313,5.171016372456877,151,62,151Sm
314,5.187857044413479,151,62,151Sm
316,5.204698923629954,151,62,151Sm
317,5.221542006371978,151,62,151Sm
317,5.238386288928525,151,62,151Sm
318,5.255231767611655,151,62,151Sm
319,5.2720784387562745,151,62,151Sm
320,5.288926298719949,151,62,151Sm
321,5.30577534388268,151,62,151Sm
323,5.322625570646709,151,62,151Sm
323,5.339476975436276,151,62,151Sm
325,5.3563295546974805,151,62,151Sm
325,5.373183304898026,151,62,151Sm
326,5.390038222527052,151,62,151Sm
328,5.406894304094919,151,62,151Sm
329,5.423751546133033,151,62,151Sm
330,5.440609945193647,151,62,151Sm
331,5.457469497849684,151,62,151Sm
331,5.4743302006945145,151,62,151Sm
332,5.491192050341835,151,62,151Sm
334,5.508055043425424,151,62,151Sm
334,5.524919176599006,151,62,151Sm
336,5.54178444653605,151,62,151Sm
336,5.558650849929605,151,62,151Sm
337,5.575518383492133,151,62,151Sm
338,5.592387043955313,151,62,151Sm
339,5.609256828069903,151,62,151Sm
340,5.626127732605552,151,62,151Sm
341,5.6429997543506545,151,62,151Sm
342,5.659872890112156,151,62,151Sm
343,5.676747136715423,151,62,151Sm
