Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.04709028582358888,165,66,165Dy
2,0.08332399349495083,165,66,165Dy
3,0.11634465904855798,165,66,165Dy
4,0.14743779466440868,165,66,165Dy
5,0.17717199798450148,165,66,165Dy
6,0.20586627250578637,165,66,165Dy
7,0.23372365044022944,165,66,165Dy
7,0.2608840789276569,165,66,165Dy
9,0.2874495121952432,165,66,165Dy
10,0.3134973200810982,165,66,165Dy
11,0.3390880884446719,165,66,165Dy
12,0.3642704572948077,165,66,165Dy
12,0.3890842760553444,165,66,165Dy
13,0.41356274629240747,165,66,165Dy
15,0.4377339261791648,165,66,165Dy
16,0.46162181679974407,165,66,165Dy
17,0.48524716543723867,165,66,165Dy
17,0.508628071912982,165,66,165Dy
18,0.5317804545336875,165,66,165Dy
20,0.5547184138355085,165,66,165Dy
21,0.5774545205336453,165,66,165Dy
21,0.6000000463285747,165,66,165Dy
22,0.6223651509906941,165,66,165Dy
23,0.6445590355459446,165,66,165Dy
25,0.6665900688607859,165,66,165Dy
26,0.6884658931244594,165,66,165Dy
27,0.7101935124224112,165,66,165Dy
28,0.7317793676368113,165,66,165Dy
29,0.753229400197423,165,66,165Dy
29,0.7745491066694962,165,66,165Dy
30,0.7957435857569688,165,66,165Dy
32,0.8168175789852917,165,66,165Dy
33,0.837775506084536,165,66,165Dy
34,0.8586214959027046,165,66,165Dy
35,0.8793594135286297,165,66,165Dy
36,0.8999928841841276,165,66,165Dy
37,0.920525314349216,165,66,165Dy
37,0.9409599105068674,165,66,165Dy
38,0.9612996958310682,165,66,165Dy
39,0.9815475250907426,165,66,165Dy
40,1.00170609800007,165,66,165Dy
42,1.021777971211057,165,66,165Dy
42,1.0417655691154455,165,66,165Dy
44,1.0616711935990997,165,66,165Dy
45,1.0814970328719105,165,66,165Dy
46,1.1012451694794254,165,66,165Dy
47,1.1209175875881539,165,66,165Dy
47,1.1405161796244312,165,66,165Dy
48,1.1600427523364587,165,66,165Dy
49,1.1794990323403785,165,66,165Dy
50,1.198886671203731,165,66,165Dy
52,1.218207250113182,165,66,165Dy
52,1.237462284167858,165,66,165Dy
54,1.2566532263348096,165,66,165Dy
55,1.2757814710989417,165,66,165Dy
56,1.2948483578361487,165,66,165Dy
57,1.3138551739351882,165,66,165Dy
58,1.3328031576911026,165,66,165Dy
59,1.3516935009905429,165,66,165Dy
60,1.3705273518072363,165,66,165Dy
61,1.3893058165239514,165,66,165Dy
62,1.4080299620956793,165,66,165Dy
63,1.426700818067263,165,66,165Dy
63,1.445319378457424,165,66,165Dy
64,1.463886603519982,165,66,165Dy
66,1.4824034213920354,165,66,165Dy
67,1.5008707296379589,165,66,165Dy
68,1.5192893966972614,165,66,165Dy
68,1.537660263243612,165,66,165Dy
70,1.5559841434616946,165,66,165Dy
70,1.5742618262479553,165,66,165Dy
72,1.5924940763407975,165,66,165Dy
73,1.6106816353852753,165,66,165Dy
74,1.6288252229369464,165,66,165Dy
75,1.6469255374091134,165,66,165Dy
76,1.6649832569673775,165,66,165Dy
77,1.682999040375075,165,66,165Dy
77,1.7009735277929037,165,66,165Dy
78,1.7189073415357747,165,66,165Dy
79,1.7368010867896864,165,66,165Dy
81,1.7546553522912132,165,66,165Dy
82,1.7724707109719828,165,66,165Dy
83,1.7902477205703684,165,66,165Dy
83,1.8079869242124198,165,66,165Dy
84,1.82568885096394,165,66,165Dy
85,1.8433540163554596,165,66,165Dy
86,1.86098292288174,165,66,165Dy
88,1.8785760604773096,165,66,165Dy
89,1.8961339069694634,165,66,165Dy
90,1.913656928510013,165,66,165Dy
91,1.9311455799870194,165,66,165Dy
92,1.9486003054176486,165,66,165Dy
92,1.9660215383232023,165,66,165Dy
93,1.9834097020873231,165,66,165Dy
95,2.0007652102982987,165,66,165Dy
96,2.0180884670763217,165,66,165Dy
96,2.0353798673865335,165,66,165Dy
98,2.052639797338594,165,66,165Dy
99,2.069868634473493,165,66,165Dy
100,2.0870667480382754,165,66,165Dy
101,2.1042344992492974,165,66,165Dy
101,2.1213722415446075,165,66,165Dy
102,2.1384803208260004,165,66,165Dy
103,2.155559075691265,165,66,165Dy
105,2.1726088376571058,165,66,165Dy
106,2.189629931373209,165,66,165Dy
107,2.206622674827882,165,66,165Dy
108,2.223587379545672,165,66,165Dy
109,2.2405243507773367,165,66,165Dy
109,2.2574338876825566,165,66,165Dy
111,2.2743162835057094,165,66,165Dy
111,2.2911718257450198,165,66,165Dy
112,2.308000796315443,165,66,165Dy
114,2.3248034717054873,165,66,165Dy
115,2.3415801231283244,165,66,165Dy
116,2.3583310166674116,165,66,165Dy
117,2.3750564134168664,165,66,165Dy
118,2.3917565696168386,165,66,165Dy
118,2.408431736784089,165,66,165Dy
119,2.425082161838001,165,66,165Dy
121,2.441708087222195,165,66,165Dy
122,2.4583097510219467,165,66,165Dy
123,2.4748873870776085,165,66,165Dy
124,2.491441225094156,165,66,165Dy
124,2.5079714907470687,165,66,165Dy
126,2.5244784057846603,165,66,165Dy
126,2.5409621881270246,165,66,165Dy
127,2.5574230519617287,165,66,165Dy
128,2.5738612078363916,165,66,165Dy
130,2.590276862748262,165,66,165Dy
131,2.6066702202309044,165,66,165Dy
132,2.6230414804381645,165,66,165Dy
133,2.6393908402254307,165,66,165Dy
134,2.655718493228384,165,66,165Dy
135,2.6720246299392683,165,66,165Dy
135,2.6883094377808208,165,66,165Dy
136,2.704573101177918,165,66,165Dy
138,2.720815801627055,165,66,165Dy
138,2.7370377177637075,165,66,165Dy
140,2.753239025427684,165,66,165Dy
140,2.7694198977265136,165,66,165Dy
141,2.7855805050969837,165,66,165Dy
143,2.8017210153648358,165,66,165Dy
144,2.817841593802742,165,66,165Dy
144,2.833942403186594,165,66,165Dy
146,2.8500236038501736,165,66,165Dy
146,2.866085353738249,165,66,165Dy
148,2.8821278084581894,165,66,165Dy
149,2.898151121330086,165,66,165Dy
150,2.9141554434355075,165,66,165Dy
150,2.9301409236648643,165,66,165Dy
152,2.9461077087635026,165,66,165Dy
153,2.9620559433764826,165,66,165Dy
154,2.9779857700921823,165,66,165Dy
154,2.993897329484693,165,66,165Dy
156,3.00979076015508,165,66,165Dy
156,3.025666198771533,165,66,165Dy
158,3.041523780108467,165,66,165Dy
158,3.0573636370845603,165,66,165Dy
159,3.073185900799828,165,66,165Dy
160,3.088990700571703,165,66,165Dy
161,3.104778163970189,165,66,165Dy
162,3.120548416852109,165,66,165Dy
164,3.1363015833944803,165,66,165Dy
165,3.1520377861270283,165,66,165Dy
165,3.1677571459638942,165,66,165Dy
167,3.183459782234532,165,66,165Dy
168,3.1991458127138306,165,66,165Dy
168,3.2148153536515074,165,66,165Dy
170,3.2304685198007554,165,66,165Dy
170,3.246105424446185,165,66,165Dy
171,3.261726179431116,165,66,165Dy
173,3.2773308951841633,165,66,165Dy
174,3.292919680745206,165,66,165Dy
175,3.3084926437907307,165,66,165Dy
176,3.324049890658578,165,66,165Dy
177,3.339591526372075,165,66,165Dy
178,3.3551176546636268,165,66,165Dy
179,3.370628377997747,165,66,165Dy
179,3.3861237975935374,165,66,165Dy
181,3.4016040134466707,165,66,165Dy
181,3.4170691243508364,165,66,165Dy
182,3.432519227918727,165,66,165Dy
183,3.447954420602518,165,66,165Dy
184,3.4633747977138998,165,66,165Dy
186,3.4787804534436546,165,66,165Dy
187,3.49417148088078,165,66,165Dy
188,3.5095479720312137,165,66,165Dy
189,3.5249100178361155,165,66,165Dy
189,3.540257708189757,165,66,165Dy
191,3.5555911319570215,165,66,165Dy
192,3.570910376990512,165,66,165Dy
193,3.5862155301472955,165,66,165Dy
193,3.6015066773052777,165,66,165Dy
194,3.6167839033792397,165,66,165Dy
195,3.632047292336507,165,66,165Dy
197,3.647296927212312,165,66,165Dy
197,3.6625328901248047,165,66,165Dy
199,3.6777552622897773,165,66,165Dy
200,3.692964124035039,165,66,165Dy
201,3.70815955481454,165,66,165Dy
202,3.7233416332221565,165,66,165Dy
203,3.738510437005225,165,66,165Dy
204,3.753666043077771,165,66,165Dy
204,3.768808527533491,165,66,165Dy
205,3.783937965658454,165,66,165Dy
207,3.799054431943552,165,66,165Dy
207,3.81415800009669,165,66,165Dy
209,3.829248743054757,165,66,165Dy
209,3.84432673299532,165,66,165Dy
210,3.8593920413481273,165,66,165Dy
211,3.8744447388063397,165,66,165Dy
212,3.8894848953375853,165,66,165Dy
214,3.9045125801947553,165,66,165Dy
215,3.9195278619266207,165,66,165Dy
215,3.934530808388234,165,66,165Dy
217,3.9495214867511335,165,66,165Dy
217,3.964499963513314,165,66,165Dy
219,3.9794663045090815,165,66,165Dy
219,3.9944205749186388,165,66,165Dy
220,4.009362839277556,165,66,165Dy
222,4.024293161486013,165,66,165Dy
223,4.0392116048178925,165,66,165Dy
223,4.054118231929708,165,66,165Dy
225,4.06901310486935,165,66,165Dy
225,4.083896285084657,165,66,165Dy
226,4.098767833431891,165,66,165Dy
228,4.113627810183971,165,66,165Dy
228,4.128476275038605,165,66,165Dy
230,4.1433132871262925,165,66,165Dy
231,4.158138905018126,165,66,165Dy
232,4.172953186733494,165,66,165Dy
232,4.187756189747631,165,66,165Dy
234,4.20254797099904,165,66,165Dy
235,4.21732858689676,165,66,165Dy
236,4.232098093327539,165,66,165Dy
237,4.246856545662851,165,66,165Dy
237,4.2616039987657945,165,66,165Dy
238,4.2763405069979,165,66,165Dy
239,4.291066124225765,165,66,165Dy
240,4.305780903827619,165,66,165Dy
241,4.320484898699755,165,66,165Dy
242,4.33517816126286,165,66,165Dy
243,4.349860743468208,165,66,165Dy
245,4.364532696803812,165,66,165Dy
246,4.379194072300368,165,66,165Dy
247,4.393844920537221,165,66,165Dy
248,4.408485291648128,165,66,165Dy
249,4.42311523532697,165,66,165Dy
249,4.4377348008333755,165,66,165Dy
250,4.452344036998229,165,66,165Dy
252,4.466942992229086,165,66,165Dy
253,4.481531714515518,165,66,165Dy
254,4.496110251434363,165,66,165Dy
254,4.5106786501548735,165,66,165Dy
256,4.525236957443805,165,66,165Dy
257,4.539785219670392,165,66,165Dy
257,4.554323482811279,165,66,165Dy
259,4.5688517924553445,165,66,165Dy
259,4.583370193808445,165,66,165Dy
260,4.5978787316981204,165,66,165Dy
261,4.612377450578162,165,66,165Dy
263,4.6268663945331765,165,66,165Dy
264,4.6413456072830135,165,66,165Dy
265,4.655815132187177,165,66,165Dy
266,4.6702750122491326,165,66,165Dy
267,4.684725290120557,165,66,165Dy
268,4.699166008105531,165,66,165Dy
269,4.713597208164644,165,66,165Dy
270,4.728018931919063,165,66,165Dy
271,4.74243122065452,165,66,165Dy
272,4.756834115325239,165,66,165Dy
273,4.771227656557812,165,66,165Dy
274,4.785611884655,165,66,165Dy
275,4.799986839599512,165,66,165Dy
276,4.8143525610576585,165,66,165Dy
277,4.828709088383035,165,66,165Dy
277,4.843056460620081,165,66,165Dy
278,4.85739471650762,165,66,165Dy
280,4.871723894482346,165,66,165Dy
280,4.886044032682219,165,66,165Dy
281,4.900355168949892,165,66,165Dy
