Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.20017156214445525,168,70,168Yb
2,0.3149066250876441,168,70,168Yb
3,0.4104784659744084,168,70,168Yb
4,0.4954059480863025,168,70,168Yb
5,0.5732050925158066,168,70,168Yb
6,0.6457580038161025,168,70,168Yb
7,0.7142200687619805,168,70,168Yb
7,0.7793645285518571,168,70,168Yb
9,0.8417408008591635,168,70,168Yb
10,0.901756869124796,168,70,168Yb
11,0.9597261376772244,168,70,168Yb
12,1.0158959216110397,168,70,168Yb
12,1.0704657011096497,168,70,168Yb
13,1.1235993215729145,168,70,168Yb
15,1.1754334359183831,168,70,168Yb
16,1.2260835194070878,168,70,168Yb
17,1.275648262724685,168,70,168Yb
17,1.3242128500043395,168,70,168Yb
18,1.3718514508633546,168,70,168Yb
20,1.4186291462358749,168,70,168Yb
21,1.4646034384343996,168,70,168Yb
21,1.509825450661329,168,70,168Yb
22,1.5543408910023444,168,70,168Yb
23,1.5981908353393741,168,70,168Yb
25,1.6414123693002098,168,70,168Yb
26,1.6840391192293855,168,70,168Yb
27,1.7261016948820882,168,70,168Yb
28,1.767628061232544,168,70,168Yb
29,1.8086438528650435,168,70,168Yb
29,1.8491726414819547,168,70,168Yb
30,1.889236164844628,168,70,168Yb
32,1.9288545237681358,168,70,168Yb
33,1.9680463524833574,168,70,168Yb
34,2.0068289666623578,168,70,168Yb
35,2.0452184926044303,168,70,168Yb
36,2.083229980448591,168,70,168Yb
37,2.120877503775074,168,70,168Yb
37,2.1581742475547427,168,70,168Yb
38,2.1951325860793864,168,70,168Yb
39,2.231764152241142,168,70,168Yb
40,2.268079899312993,168,70,168Yb
42,2.3040901562045972,168,70,168Yb
42,2.339804677021035,168,70,168Yb
44,2.3752326856303183,168,70,168Yb
45,2.4103829158440275,168,70,168Yb
46,2.445263647730535,168,70,168Yb
47,2.479882740508786,168,70,168Yb
47,2.514247662410352,168,70,168Yb
48,2.5483655178463533,168,70,168Yb
49,2.5822430721723806,168,70,168Yb
50,2.615886774307478,168,70,168Yb
52,2.6493027774314357,168,70,168Yb
52,2.6824969579574174,168,70,168Yb
54,2.715474932953345,168,70,168Yb
55,2.748242076165211,168,70,168Yb
56,2.78080353277782,168,70,168Yb
57,2.813164233033163,168,70,168Yb
58,2.8453289048132713,168,70,168Yb
59,2.8773020852827633,168,70,168Yb
60,2.909088131676035,168,70,168Yb
61,2.9406912313051388,168,70,168Yb
62,2.9721154108564556,168,70,168Yb
63,3.003364545037344,168,70,168Yb
63,3.034442364627786,168,70,168Yb
64,3.06535246398661,168,70,168Yb
66,3.096098308057038,168,70,168Yb
67,3.126683238912036,168,70,168Yb
68,3.1571104818760722,168,70,168Yb
68,3.187383151256537,168,70,168Yb
70,3.2175042557149793,168,70,168Yb
70,3.247476703305614,168,70,168Yb
72,3.277303306206109,168,70,168Yb
73,3.3069867851634176,168,70,168Yb
74,3.336529773675527,168,70,168Yb
75,3.3659348219281138,168,70,168Yb
76,3.395204400503579,168,70,168Yb
77,3.424340903878408,168,70,168Yb
