Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.1170843241305738,185,75,185Re
2,0.19997764235175935,185,75,185Re
3,0.27351119059613055,185,75,185Re
4,0.34155774257166727,185,75,185Re
5,0.40579514264067035,185,75,185Re
6,0.4671515461902409,185,75,185Re
7,0.5262113110331333,185,75,185Re
7,0.5833736718700093,185,75,185Re
9,0.638927302495983,185,75,185Re
10,0.6930898436290905,185,75,185Re
11,0.7460307420387401,185,75,185Re
12,0.7978853319759567,185,75,185Re
12,0.848763969904268,185,75,185Re
13,0.8987582081601295,185,75,185Re
15,0.9479451107220774,185,75,185Re
16,0.996390356923877,185,75,185Re
17,1.04415052803124,185,75,185Re
17,1.0912748272332695,185,75,185Re
18,1.1378063971116195,185,75,185Re
20,1.1837833450046142,185,75,185Re
21,1.2292395523871886,185,75,185Re
21,1.274205321870953,185,75,185Re
22,1.318707900293682,185,75,185Re
23,1.3627719059782957,185,75,185Re
25,1.4064196809738632,185,75,185Re
26,1.4496715839200303,185,75,185Re
27,1.492546235439365,185,75,185Re
28,1.5350607252232653,185,75,185Re
29,1.5772307879436338,185,75,185Re
29,1.6190709535946952,185,75,185Re
30,1.6605946767088016,185,75,185Re
32,1.701814447999483,185,75,185Re
33,1.7427418912951491,185,75,185Re
34,1.7833878480877445,185,75,185Re
35,1.8237624515959021,185,75,185Re
36,1.8638751919049346,185,75,185Re
37,1.9037349734763327,185,75,185Re
37,1.9433501661023445,185,75,185Re
38,1.9827286502053187,185,75,185Re
39,2.021877857238154,185,75,185Re
40,2.0608048058246684,185,75,185Re
42,2.099516134181893,185,75,185Re
42,2.138018129286062,185,75,185Re
44,2.1763167531773764,185,75,185Re
45,2.214417666742742,185,75,185Re
46,2.2523262512689124,185,75,185Re
47,2.290047628018875,185,75,185Re
47,2.32758667605094,185,75,185Re
48,2.364948048471534,185,75,185Re
49,2.4021361872884928,185,75,185Re
50,2.4391553370108965,185,75,185Re
52,2.4760095571236884,185,75,185Re
52,2.512702733549997,185,75,185Re
54,2.5492385892008436,185,75,185Re
55,2.5856206937003905,185,75,185Re
56,2.6218524723650054,185,75,185Re
57,2.6579372145056404,185,75,185Re
58,2.6938780811155025,185,75,185Re
59,2.7296781119983224,185,75,185Re
60,2.7653402323867105,185,75,185Re
61,2.8008672590949413,185,75,185Re
62,2.836261906246021,185,75,185Re
63,2.8715267906088644,185,75,185Re
63,2.9066644365778895,185,75,185Re
64,2.941677280824187,185,75,185Re
66,2.976567676644641,185,75,185Re
67,3.0113378980328958,185,75,185Re
68,3.045990143493832,185,75,185Re
68,3.0805265396212422,185,75,185Re
70,3.114949144456627,185,75,185Re
70,3.149259950645419,185,75,185Re
72,3.183460888405566,185,75,185Re
73,3.217553828322018,185,75,185Re
74,3.25154058397963,185,75,185Re
75,3.2854229144458422,185,75,185Re
76,3.3192025266136054,185,75,185Re
77,3.352881077414157,185,75,185Re
77,3.3864601759084585,185,75,185Re
78,3.419941385265433,185,75,185Re
79,3.4533262246344703,185,75,185Re
81,3.4866161709191115,185,75,185Re
82,3.519812660458263,185,75,185Re
83,3.5529170906208623,185,75,185Re
83,3.5859308213193963,185,75,185Re
84,3.6188551764473664,185,75,185Re
