Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.0513611857484236,191,76,191Os
2,0.08524074386543705,191,76,191Os
3,0.11464262233230259,191,76,191Os
4,0.14146839308428646,191,76,191Os
5,0.16652809942117938,191,76,191Os
6,0.19026473520599693,191,76,191Os
7,0.21295475638877193,191,76,191Os
7,0.23478568269469408,191,76,191Os
9,0.2558922786479935,191,76,191Os
10,0.27637561053766097,191,76,191Os
11,0.2963139966919272,191,76,191Os
12,0.3157697261850572,191,76,191Os
12,0.3347933985235523,191,76,191Os
13,0.3534268451895893,191,76,191Os
15,0.371705164736084,191,76,191Os
16,0.38965818156689364,191,76,191Os
17,0.4073115174109039,191,76,191Os
17,0.4246873950344134,191,76,191Os
18,0.44180525224657896,191,76,191Os
20,0.4586822185898932,191,76,191Os
21,0.47533349074392817,191,76,191Os
21,0.49177263195360993,191,76,191Os
22,0.5080118136062872,191,76,191Os
23,0.5240620121591677,191,76,191Os
25,0.5399331711823135,191,76,191Os
26,0.5556343358420461,191,76,191Os
27,0.571173765389454,191,76,191Os
28,0.5865590279309295,191,76,191Os
29,0.6017970808032306,191,76,191Os
29,0.6168943391596267,191,76,191Os
30,0.6318567348307245,191,76,191Os
32,0.6466897671075476,191,76,191Os
33,0.6613985467726549,191,76,191Os
34,0.6759878344539773,191,76,191Os
35,0.6904620741784739,191,76,191Os
36,0.7048254228460684,191,76,191Os
37,0.7190817762192119,191,76,191Os
37,0.7332347919228348,191,76,191Os
38,0.7472879098680406,191,76,191Os
39,0.7612443704466366,191,76,191Os
40,0.7751072307893344,191,76,191Os
42,0.7888793793358024,191,76,191Os
42,0.8025635489277864,191,76,191Os
44,0.8161623286058209,191,76,191Os
45,0.8296781742643686,191,76,191Os
46,0.8431134182987347,191,76,191Os
47,0.8564702783589512,191,76,191Os
47,0.8697508653105083,191,76,191Os
48,0.8829571904887942,191,76,191Os
49,0.8960911723230093,191,76,191Os
50,0.909154642395859,191,76,191Os
52,0.9221493509971731,191,76,191Os
52,0.9350769722226276,191,76,191Os
54,0.947939108662693,191,76,191Os
55,0.9607372957216972,191,76,191Os
56,0.9734730056023809,191,76,191Os
57,0.9861476509873375,191,76,191Os
58,0.9987625884453096,191,76,191Os
59,1.011319121587282,191,76,191Os
60,1.0238185039946774,191,76,191Os
61,1.0362619419396204,191,76,191Os
62,1.0486505969152056,191,76,191Os
63,1.0609855879918764,191,76,191Os
63,1.0732679940144387,191,76,191Os
64,1.085498855652798,191,76,191Os
66,1.097679177318264,191,76,191Os
67,1.1098099289561254,191,76,191Os
68,1.1218920477242194,191,76,191Os
68,1.133926439566306,191,76,191Os
70,1.1459139806882694,191,76,191Os
70,1.1578555189444437,191,76,191Os
72,1.169751875140734,191,76,191Os
73,1.1816038442605958,191,76,191Os
74,1.1934121966194415,191,76,191Os
75,1.2051776789525597,191,76,191Os
76,1.216901015441212,191,76,191Os
77,1.2285829086811815,191,76,191Os
77,1.2402240405977105,191,76,191Os
78,1.2518250733104428,191,76,191Os
79,1.263386649951695,191,76,191Os
81,1.274909395441131,191,76,191Os
82,1.2863939172196726,191,76,191Os
83,1.2978408059452542,191,76,191Os
