Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.596306054181397,202,80,202Hg
2,0.7667878508052534,202,80,202Hg
3,0.8882938200101546,202,80,202Hg
4,0.9860097914814734,202,80,202Hg
5,1.0691477065190276,202,80,202Hg
6,1.1422538885073497,202,80,202Hg
7,1.2079507643068108,202,80,202Hg
7,1.2679065113986256,202,80,202Hg
9,1.323256581306146,202,80,202Hg
10,1.3748132629653025,202,80,202Hg
11,1.4231803003046335,202,80,202Hg
12,1.468820244404318,202,80,202Hg
12,1.512096315654396,202,80,202Hg
13,1.5532996251613078,202,80,202Hg
15,1.5926675466722287,202,80,202Hg
16,1.6303965087726404,202,80,202Hg
17,1.6666511416047642,202,80,202Hg
17,1.7015709683453706,202,80,202Hg
18,1.7352753990393983,202,80,202Hg
20,1.7678675233557766,202,80,202Hg
21,1.7994370362100505,202,80,202Hg
21,1.8300625259910523,202,80,202Hg
22,1.8598132866666315,202,80,202Hg
23,1.8887507690529335,202,80,202Hg
25,1.916929755013306,202,80,202Hg
26,1.9443993163592268,202,80,202Hg
27,1.971203604624889,202,80,202Hg
28,1.9973825066544195,202,80,202Hg
29,2.022972192741697,202,80,202Hg
29,2.0480055780023516,202,80,202Hg
30,2.07251271312558,202,80,202Hg
32,2.0965211172279306,202,80,202Hg
33,2.120056062916024,202,80,202Hg
34,2.1431408216500847,202,80,202Hg
35,2.1657968759338875,202,80,202Hg
36,2.188044103629469,202,80,202Hg
37,2.2099009387259754,202,80,202Hg
37,2.231384512121492,202,80,202Hg
38,2.252510775359871,202,80,202Hg
39,2.2732946097676425,202,80,202Hg
40,2.2937499230333356,202,80,202Hg
42,2.3138897349433027,202,80,202Hg
42,2.3337262537191483,202,80,202Hg
44,2.353270944180345,202,80,202Hg
45,2.372534588772269,202,80,202Hg
46,2.3915273423474996,202,80,202Hg
47,2.4102587814609135,202,80,202Hg
47,2.4287379488323997,202,80,202Hg
48,2.4469733935411875,202,80,202Hg
49,2.4649732074398067,202,80,202Hg
50,2.4827450582113637,202,80,202Hg
52,2.5002962194389347,202,80,202Hg
52,2.5176335980091378,202,80,202Hg
54,2.5347637591317973,202,80,202Hg
55,2.551692949223169,202,80,202Hg
56,2.5684271168705037,202,80,202Hg
57,2.584971932070048,202,80,202Hg
58,2.601332803908315,202,80,202Hg
59,2.617514896837151,202,80,202Hg
60,2.6335231456762647,202,80,202Hg
61,2.6493622694621575,202,80,202Hg
62,2.66503678424955,202,80,202Hg
63,2.680551014960067,202,80,202Hg
63,2.6959091063630276,202,80,202Hg
64,2.711115033264413,202,80,202Hg
66,2.726172609972371,202,80,202Hg
67,2.741085499100756,202,80,202Hg
68,2.755857219766159,202,80,202Hg
68,2.770491155228459,202,80,202Hg
70,2.7849905600201876,202,80,202Hg
70,2.799358566605666,202,80,202Hg
72,2.8135981916071064,202,80,202Hg
73,2.827712341631429,202,80,202Hg
74,2.8417038187285053,202,80,202Hg
75,2.8555753255087803,202,80,202Hg
76,2.86932946994578,202,80,202Hg
77,2.882968769886774,202,80,202Hg
77,2.896495657292882,202,80,202Hg
78,2.909912482228099,202,80,202Hg
79,2.923221516615081,202,80,202Hg
81,2.936424957774067,202,80,202Hg
82,2.949524931759978,202,80,202Hg
83,2.962523496511502,202,80,202Hg
83,2.9754226448248997,202,80,202Hg
84,2.988224307164249,202,80,202Hg
85,3.0009303543189274,202,80,202Hg
86,3.0135425999183183,202,80,202Hg
88,3.0260628028129615,202,80,202Hg
89,3.0384926693306618,202,80,202Hg
90,3.050833855415464,202,80,202Hg
91,3.063087968656789,202,80,202Hg
92,3.07525657021553,202,80,202Hg
92,3.087341176653385,202,80,202Hg
93,3.0993432616712804,202,80,202Hg
95,3.1112642577623215,202,80,202Hg
96,3.123105557784314,202,80,202Hg
96,3.1348685164565793,202,80,202Hg
98,3.1465544517854402,202,80,202Hg
99,3.158164646422459,202,80,202Hg
100,3.1697003489592737,202,80,202Hg
101,3.181162775162557,202,80,202Hg
101,3.192553109152461,202,80,202Hg
102,3.203872504527647,202,80,202Hg
103,3.215122085439815,202,80,202Hg
105,3.2263029476204688,202,80,202Hg
106,3.2374161593624646,202,80,202Hg
107,3.2484627624587548,202,80,202Hg
108,3.259443773100554,202,80,202Hg
109,3.27036018273706,202,80,202Hg
109,3.2812129588987027,202,80,202Hg
111,3.292003045985785,202,80,202Hg
111,3.302731366024268,202,80,202Hg
112,3.313398819390354,202,80,202Hg
114,3.324006285505414,202,80,202Hg
115,3.334554623502725,202,80,202Hg
116,3.3450446728673984,202,80,202Hg
117,3.35547725405079,202,80,202Hg
118,3.365853169060628,202,80,202Hg
118,3.3761732020280073,202,80,202Hg
119,3.3864381197523494,202,80,202Hg
121,3.3966486722253615,202,80,202Hg
122,3.406805593134951,202,80,202Hg
123,3.4169096003500625,202,80,202Hg
124,3.426961396387258,202,80,202Hg
