Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.11204681258795289,232,90,232Th
2,0.18647022693492107,232,90,232Th
3,0.2511938775197902,232,90,232Th
4,0.3103269493352773,232,90,232Th
5,0.36562274395116684,232,90,232Th
6,0.41804115854710383,232,90,232Th
7,0.4681817369946774,232,90,232Th
7,0.5164514307013196,232,90,232Th
9,0.5631428743579592,232,90,232Th
10,0.6084756403367156,232,90,232Th
11,0.6526199563923835,232,90,232Th
12,0.6957112648003794,232,90,232Th
12,0.7378596301671073,232,90,232Th
13,0.7791560752846405,232,90,232Th
15,0.8196769960807769,232,90,232Th
16,0.8594873273003223,232,90,232Th
17,0.898642868373106,232,90,232Th
17,0.9371920285182913,232,90,232Th
18,0.9751771602741256,232,90,232Th
20,1.012635595045549,232,90,232Th
21,1.0496004588022372,232,90,232Th
21,1.0861013228307608,232,90,232Th
22,1.1221647288633527,232,90,232Th
23,1.1578146172312984,232,90,232Th
25,1.1930726792379418,232,90,232Th
26,1.2279586496525723,232,90,232Th
27,1.2624905514074851,232,90,232Th
28,1.2966849017860476,232,90,232Th
29,1.3305568873180882,232,90,232Th
29,1.3641205130448357,232,90,232Th
30,1.3973887306368167,232,90,232Th
32,1.4303735489447718,232,90,232Th
33,1.4630861298648412,232,90,232Th
34,1.4955368718538486,232,90,232Th
35,1.5277354830013452,232,90,232Th
36,1.5596910452247401,232,90,232Th
37,1.5914120708820072,232,90,232Th
37,1.6229065528778766,232,90,232Th
38,1.6541820091625004,232,90,232Th
39,1.685245522377534,232,90,232Th
40,1.7161037752866668,232,90,232Th
42,1.746763082530506,232,90,232Th
42,1.7772294191654008,232,90,232Th
44,1.8075084463790025,232,90,232Th
45,1.837605534719531,232,90,232Th
46,1.8675257851289553,232,90,232Th
47,1.8972740480308359,232,90,232Th
47,1.9268549406902271,232,90,232Th
48,1.9562728630347554,232,90,232Th
49,1.9855320121018156,232,90,232Th
50,2.014636395256258,232,90,232Th
52,2.043589842305195,232,90,232Th
52,2.072396016621369,232,90,232Th
54,2.1010584253733526,232,90,232Th
55,2.129580428949473,232,90,232Th
56,2.157965249652514,232,90,232Th
57,2.186215979733574,232,90,232Th
58,2.214335588826044,232,90,232Th
59,2.2423269308340146,232,90,232Th
60,2.2701927503237234,232,90,232Th
61,2.2979356884615685,232,90,232Th
62,2.3255582885377386,232,90,232Th
63,2.353063001110595,232,90,232Th
63,2.380452188803428,232,90,232Th
64,2.4077281307821603,232,90,232Th
66,2.434893026939757,232,90,232Th
67,2.461949001810728,232,90,232Th
68,2.488898108236888,232,90,232Th
68,2.51574233080359,232,90,232Th
70,2.5424835890639317,232,90,232Th
70,2.5691237405668415,232,90,232Th
72,2.5956645837035786,232,90,232Th
73,2.622107860385886,232,90,232Th
74,2.648455258567942,232,90,232Th
75,2.6747084146231743,232,90,232Th
76,2.700868915586144,232,90,232Th
77,2.726938301268807,232,90,232Th
77,2.752918066259743,232,90,232Th
78,2.778809661814232,232,90,232Th
79,2.804614497642442,232,90,232Th
81,2.83033394360244,232,90,232Th
82,2.8559693313041716,232,90,232Th
83,2.881521955630149,232,90,232Th
83,2.9069930761781126,232,90,232Th
84,2.932383918630532,232,90,232Th
85,2.957695676055508,232,90,232Th
86,2.982929510143234,232,90,232Th
88,3.0080865523819273,232,90,232Th
89,3.0331679051768585,232,90,232Th
90,3.058174642915813,232,90,232Th
91,3.083107812984135,232,90,232Th
92,3.1079684367322638,232,90,232Th
92,3.132757510398472,232,90,232Th
93,3.157476005989344,232,90,232Th
95,3.1821248721203514,232,90,232Th
96,3.206705034818743,232,90,232Th
96,3.23121739829081,232,90,232Th
98,3.25566284565546,232,90,232Th
99,3.280042239645893,232,90,232Th
100,3.3043564232811033,232,90,232Th
101,3.328606220508759,232,90,232Th
101,3.352792436820975,232,90,232Th
102,3.37691585984438,232,90,232Th
103,3.40097725990575,232,90,232Th
105,3.4249773905745067,232,90,232Th
106,3.4489169891831706,232,90,232Th
107,3.4727967773269297,232,90,232Th
108,3.4966174613433054,232,90,232Th
109,3.5203797327728807,232,90,232Th
109,3.5440842688020444,232,90,232Th
111,3.567731732688588,232,90,232Th
111,3.591322774170933,232,90,232Th
112,3.614858029861852,232,90,232Th
114,3.6383381236272845,232,90,232Th
115,3.6617636669510216,232,90,232Th
116,3.685135259285902,232,90,232Th
117,3.7084534883920632,232,90,232Th
118,3.7317189306629155,232,90,232Th
118,3.7549321514393172,232,90,232Th
119,3.7780937053125245,232,90,232Th
121,3.801204136416371,232,90,232Th
122,3.8242639787091477,232,90,232Th
123,3.8472737562456745,232,90,232Th
124,3.870233983439918,232,90,232Th
124,3.8931451653185842,232,90,232Th
126,3.9160077977660874,232,90,232Th
126,3.9388223677612135,232,90,232Th
127,3.9615893536058575,232,90,232Th
128,3.98430922514614,232,90,232Th
130,4.006982443986233,232,90,232Th
131,4.029609463695143,232,90,232Th
132,4.0521907300068145,232,90,232Th
133,4.0747266810137335,232,90,232Th
134,4.097217747354365,232,90,232Th
135,4.119664352394584,232,90,232Th
135,4.1420669124034335,232,90,232Th
136,4.16442583672333,232,90,232Th
138,4.186741527935001,232,90,232Th
138,4.2090143820173225,232,90,232Th
140,4.231244788502251,232,90,232Th
140,4.253433130625043,232,90,232Th
141,4.275579785469955,232,90,232Th
143,4.297685124111531,232,90,232Th
144,4.319749511751699,232,90,232Th
144,4.341773307852832,232,90,232Th
146,4.36375686626687,232,90,232Th
146,4.38570053536067,232,90,232Th
148,4.407604658137756,232,90,232Th
149,4.429469572356519,232,90,232Th
150,4.4512956106450785,232,90,232Th
150,4.473083100612844,232,90,232Th
152,4.494832364958966,232,90,232Th
153,4.516543721577703,232,90,232Th
154,4.538217483660889,232,90,232Th
154,4.5598539597975485,232,90,232Th
156,4.581453454070783,232,90,232Th
156,4.603016266151996,232,90,232Th
158,4.624542691392574,232,90,232Th
158,4.646033020913087,232,90,232Th
159,4.6674875416901,232,90,232Th
160,4.6889065366406815,232,90,232Th
161,4.710290284704649,232,90,232Th
162,4.731639060924682,232,90,232Th
164,4.752953136524322,232,90,232Th
165,4.774232778983952,232,90,232Th
165,4.795478252114804,232,90,232Th
167,4.816689816131091,232,90,232Th
168,4.837867727720255,232,90,232Th
168,4.859012240111482,232,90,232Th
170,4.880123603142462,232,90,232Th
170,4.901202063324456,232,90,232Th
171,4.922247863905806,232,90,232Th
173,4.943261244933799,232,90,232Th
174,4.964242443315042,232,90,232Th
175,4.985191692874359,232,90,232Th
176,5.006109224412259,232,90,232Th
177,5.026995265760976,232,90,232Th
178,5.047850041839211,232,90,232Th
179,5.068673774705524,232,90,232Th
179,5.089466683610473,232,90,232Th
181,5.110228985047517,232,90,232Th
181,5.130960892802702,232,90,232Th
182,5.151662618003222,232,90,232Th
183,5.17233436916481,232,90,232Th
184,5.192976352238051,232,90,232Th
186,5.2135887706536215,232,90,232Th
187,5.234171825366494,232,90,232Th
188,5.254725714899148,232,90,232Th
