Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.050353499334222826,233,92,233U
2,0.08353944937377634,233,92,233U
3,0.1123317707825979,233,92,233U
4,0.13859691369911528,233,92,233U
5,0.16312979802180272,233,92,233U
6,0.1863650868844689,233,92,233U
7,0.20857400850849178,233,92,233U
7,0.22994052068710297,233,92,233U
9,0.2505968183740108,233,92,233U
10,0.2706420344838797,233,92,233U
11,0.29015298479441964,233,92,233U
12,0.30919076025850584,233,92,233U
12,0.32780498482900716,233,92,233U
13,0.34603668175725755,233,92,233U
15,0.3639202701199807,233,92,233U
16,0.3814849958970878,233,92,233U
17,0.39875598306007737,233,92,233U
17,0.4157550219664036,233,92,233U
18,0.43250117164345303,233,92,233U
20,0.44901122736499594,233,92,233U
21,0.46530008886710367,233,92,233U
21,0.4813810540354896,233,92,233U
22,0.49726605584485245,233,92,233U
23,0.5129658555011233,233,92,233U
25,0.5284902013661585,233,92,233U
26,0.5438479608503067,233,92,233U
27,0.5590472307315002,233,92,233U
28,0.574095430096212,233,92,233U
29,0.588999379161326,233,92,233U
29,0.6037653665336536,233,92,233U
30,0.6183992069312056,233,92,233U
32,0.6329062909822475,233,92,233U
33,0.6472916284025014,233,92,233U
34,0.6615598856045601,233,92,233U
35,0.6757154185997781,233,92,233U
36,0.6897623018992451,233,92,233U
37,0.703704353997751,233,92,233U
37,0.717545159925971,233,92,233U
38,0.7312880912762755,233,92,233U
39,0.744936324042556,233,92,233U
40,0.7584928545612694,233,92,233U
42,0.7719605137970694,233,92,233U
42,0.7853419801801897,233,92,233U
44,0.7986397911725903,233,92,233U
45,0.8118563537147211,233,92,233U
46,0.8249939536836692,233,92,233U
47,0.8380547644756515,233,92,233U
47,0.8510408548107986,233,92,233U
48,0.8639541958454007,233,92,233U
49,0.8767966676659273,233,92,233U
50,0.8895700652298159,233,92,233U
52,0.9022761038100738,233,92,233U
52,0.9149164239938512,233,92,233U
54,0.927492596279254,233,92,233U
55,0.9400061253094915,233,92,233U
56,0.952458453779061,233,92,233U
57,0.9648509660427409,233,92,233U
58,0.9771849914548295,233,92,233U
59,0.9894618074630758,233,92,233U
60,1.0016826424791745,233,92,233U
61,1.0138486785454088,233,92,233U
62,1.0259610538150152,233,92,233U
63,1.0380208648620755,233,92,233U
63,1.0500291688351648,233,92,233U
64,1.0619869854675985,233,92,233U
66,1.0738952989558816,233,92,233U
67,1.0857550597168615,233,92,233U
68,1.0975671860331178,233,92,233U
68,1.1093325655952175,233,92,233U
70,1.121052056948715,233,92,233U
70,1.1327264908530446,233,92,233U
72,1.1443566715588385,233,92,233U
73,1.1559433780096298,233,92,233U
74,1.167487364973389,233,92,233U
75,1.178989364108881,233,92,233U
76,1.1904500849714206,233,92,233U
77,1.2018702159622132,233,92,233U
77,1.213250425225146,233,92,233U
78,1.2245913614945576,233,92,233U
79,1.235893654897275,233,92,233U
81,1.2471579177119019,233,92,233U
82,1.2583847450881487,233,92,233U
83,1.2695747157287665,233,92,233U
83,1.280728392536454,233,92,233U
84,1.2918463232279302,233,92,233U
85,1.302929040917208,233,92,233U
86,1.3139770646699533,233,92,233U
88,1.3249909000306754,233,92,233U
89,1.335971039524378,233,92,233U
90,1.3469179631341779,233,92,233U
91,1.3578321387562933,233,92,233U
92,1.36871402263372,233,92,233U
92,1.3795640597698033,233,92,233U
93,1.3903826843228533,233,92,233U
95,1.4011703199828562,233,92,233U
96,1.4119273803312793,233,92,233U
96,1.4226542691848938,233,92,233U
98,1.4333513809244862,233,92,233U
99,1.4440191008092638,233,92,233U
100,1.4546578052777164,233,92,233U
101,1.4652678622356554,233,92,233U
101,1.475849631332085,233,92,233U
102,1.4864034642235424,233,92,233U
103,1.4969297048274979,233,92,233U
105,1.5074286895653548,233,92,233U
106,1.5179007475955897,233,92,233U
107,1.5283462010375108,233,92,233U
108,1.5387653651860937,233,92,233U
109,1.5491585487183415,233,92,233U
109,1.559526053891562,233,92,233U
111,1.569868176733969,233,92,233U
111,1.5801852072279456,233,92,233U
112,1.590477429486348,233,92,233U
114,1.6007451219221374,233,92,233U
115,1.6109885574116727,233,92,233U
116,1.621208003451957,233,92,233U
117,1.6314037223120832,233,92,233U
118,1.6415759711791764,233,92,233U
118,1.6517250022990528,233,92,233U
119,1.6618510631118393,233,92,233U
121,1.6719543963827694,233,92,233U
122,1.682035240328376,233,92,233U
123,1.6920938287382672,233,92,233U
124,1.7021303910926795,233,92,233U
124,1.7121451526759894,233,92,233U
126,1.7221383346863528,233,92,233U
126,1.7321101543416257,233,92,233U
127,1.7420608249817398,233,92,233U
128,1.7519905561676539,233,92,233U
130,1.761899553777043,233,92,233U
131,1.7717880200968432,233,92,233U
132,1.7816561539127822,233,92,233U
133,1.7915041505960225,233,92,233U
134,1.8013322021870208,233,92,233U
135,1.8111404974767145,233,92,233U
135,1.820929222085156,233,92,233U
136,1.8306985585376654,233,92,233U
138,1.8404486863386222,233,92,233U
138,1.850179782042972,233,92,233U
140,1.8598920193255424,233,92,233U
140,1.8695855690482353,233,92,233U
141,1.8792605993252116,233,92,233U
143,1.8889172755860837,233,92,233U
144,1.898555760637253,233,92,233U
144,1.9081762147214099,233,92,233U
146,1.9177787955753,233,92,233U
146,1.9273636584857852,233,92,233U
148,1.9369309563442934,233,92,233U
149,1.9464808396996878,233,92,233U
150,1.9560134568096308,233,92,233U
150,1.9655289536904756,233,92,233U
152,1.9750274741657667,233,92,233U
153,1.9845091599133575,233,92,233U
154,1.993974150511235,233,92,233U
154,2.0034225834820543,233,92,233U
156,2.0128545943364675,233,92,233U
156,2.022270316615254,233,92,233U
158,2.03166988193031,233,92,233U
158,2.0410534200045327,233,92,233U
159,2.050421058710633,233,92,233U
160,2.059772924108914,233,92,233U
161,2.0691091404840454,233,92,233U
162,2.0784298303808764,233,92,233U
164,2.0877351146393046,233,92,233U
165,2.0970251124282377,233,92,233U
165,2.1062999412786834,233,92,233U
167,2.115559717115985,233,92,233U
168,2.1248045542912295,233,92,233U
168,2.134034565611866,233,92,233U
170,2.1432498623715466,233,92,233U
170,2.1524505543792136,233,92,233U
171,2.161636749987478,233,92,233U
173,2.170808556120271,233,92,233U
174,2.1799660782998305,233,92,233U
175,2.1891094206730175,233,92,233U
176,2.198238686037,233,92,233U
177,2.2073539758643026,233,92,233U
178,2.216455390327257,233,92,233U
179,2.225543028321873,233,92,233U
179,2.2346169874911292,233,92,233U
181,2.243677364247721,233,92,233U
181,2.252724253796264,233,92,233U
182,2.26175775015499,233,92,233U
183,2.270777946176919,233,92,233U
184,2.2797849335705567,233,92,233U
186,2.288778802920106,233,92,233U
187,2.2977596437052124,233,92,233U
188,2.306727544320273,233,92,233U
189,2.3156825920932866,233,92,233U
189,2.3246248733042987,233,92,233U
191,2.3335544732034164,233,92,233U
192,2.3424714760284306,233,92,233U
