Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.0123286042536006,243,96,243Cm
2,0.03256024980038317,243,96,243Cm
3,0.05746581816490983,243,96,243Cm
4,0.08599269189403388,243,96,243Cm
5,0.11755534632929511,243,96,243Cm
6,0.15176911805619844,243,96,243Cm
7,0.18835741024489877,243,96,243Cm
7,0.2271095309316459,243,96,243Cm
9,0.2678584038739039,243,96,243Cm
10,0.31046754061673565,243,96,243Cm
11,0.3548228560729611,243,96,243Cm
12,0.4008272383672668,243,96,243Cm
12,0.4483967882259587,243,96,243Cm
13,0.49745812284760493,243,96,243Cm
15,0.5479463869155615,243,96,243Cm
16,0.5998037496436459,243,96,243Cm
17,0.6529782456207625,243,96,243Cm
17,0.7074228648972233,243,96,243Cm
18,0.7630948276494818,243,96,243Cm
20,0.8199549981044439,243,96,243Cm
21,0.877967405270995,243,96,243Cm
21,0.9370988467933742,243,96,243Cm
22,0.9973185583439707,243,96,243Cm
23,1.0585979353035306,243,96,243Cm
25,1.1209102966026805,243,96,243Cm
26,1.1842306828903841,243,96,243Cm
27,1.2485356828989993,243,96,243Cm
28,1.3138032831589384,243,96,243Cm
29,1.3800127371940518,243,96,243Cm
29,1.4471444510823268,243,96,243Cm
30,1.5151798828527825,243,96,243Cm
32,1.5841014536499434,243,96,243Cm
33,1.6538924689619865,243,96,243Cm
34,1.7245370484999234,243,96,243Cm
35,1.7960200635494838,243,96,243Cm
36,1.8683270808071564,243,96,243Cm
37,1.9414443118666467,243,96,243Cm
37,2.015358567648968,243,96,243Cm
38,2.0900572171742042,243,96,243Cm
39,2.1655281501599166,243,96,243Cm
40,2.2417597430036764,243,96,243Cm
42,2.318740827767992,243,96,243Cm
42,2.3964606638371024,243,96,243Cm
44,2.4749089119583103,243,96,243Cm
45,2.5540756104173576,243,96,243Cm
46,2.6339511531286206,243,96,243Cm
47,2.714526269447781,243,96,243Cm
47,2.7957920055375522,243,96,243Cm
48,2.877739707137043,243,96,243Cm
49,2.9603610036023134,243,96,243Cm
50,3.0436477931007953,243,96,243Cm
52,3.127592228854943,243,96,243Cm
52,3.2121867063420266,243,96,243Cm
54,3.2974238513666885,243,96,243Cm
55,3.3832965089316325,243,96,243Cm
56,3.469797732839482,243,96,243Cm
57,3.556920775965477,243,96,243Cm
58,3.6446590811466684,243,96,243Cm
59,3.7330062726385957,243,96,243Cm
60,3.821956148094998,243,96,243Cm
61,3.911502671030325,243,96,243Cm
62,4.0016399637285485,243,96,243Cm
63,4.092362300565022,243,96,243Cm
63,4.183664101711151,243,96,243Cm
64,4.275539927194244,243,96,243Cm
66,4.367984471287365,243,96,243Cm
67,4.46099255720608,243,96,243Cm
68,4.554559132091039,243,96,243Cm
68,4.648679262256845,243,96,243Cm
70,4.743348128689618,243,96,243Cm
70,4.83856102277665,243,96,243Cm
72,4.934313342253258,243,96,243Cm
73,5.0306005873527635,243,96,243Cm
74,5.127418357146898,243,96,243Cm
75,5.224762346064638,243,96,243Cm
76,5.322628340578628,243,96,243Cm
77,5.421012216048907,243,96,243Cm
77,5.519909933714577,243,96,243Cm
78,5.6193175378246725,243,96,243Cm
79,5.719231152900047,243,96,243Cm
81,5.819646981118824,243,96,243Cm
82,5.920561299818256,243,96,243Cm
83,6.021970459106569,243,96,243Cm
83,6.123870879578555,243,96,243Cm
84,6.226259050129371,243,96,243Cm
85,6.329131525861047,243,96,243Cm
86,6.432484926076857,243,96,243Cm
88,6.536315932358886,243,96,243Cm
89,6.640621286724346,243,96,243Cm
90,6.745397789856687,243,96,243Cm
91,6.850642299407532,243,96,243Cm
92,6.956351728366014,243,96,243Cm
92,7.062523043491965,243,96,243Cm
93,7.169153263809946,243,96,243Cm
95,7.276239459160978,243,96,243Cm
96,7.383778748809376,243,96,243Cm
96,7.491768300101802,243,96,243Cm
98,7.600205327176292,243,96,243Cm
99,7.709087089718688,243,96,243Cm
100,7.818410891764445,243,96,243Cm
101,7.928174080543644,243,96,243Cm
101,8.038374045367213,243,96,243Cm
102,8.149008216552533,243,96,243Cm
103,8.260074064386714,243,96,243Cm
105,8.371569098125748,243,96,243Cm
106,8.483490865028037,243,96,243Cm
107,8.595836949420894,243,96,243Cm
108,8.708604971798382,243,96,243Cm
109,8.821792587949355,243,96,243Cm
109,8.9353974881143,243,96,243Cm
111,9.049417396169877,243,96,243Cm
111,9.16385006883981,243,96,243Cm
112,9.278693294931413,243,96,243Cm
114,9.39394489459623,243,96,243Cm
115,9.5096027186142,243,96,243Cm
116,9.625664647700278,243,96,243Cm
117,9.742128591832508,243,96,243Cm
118,9.8589924896009,243,96,243Cm
118,9.976254307576111,243,96,243Cm
119,10.093912039697372,243,96,243Cm
121,10.211963706678642,243,96,243Cm
122,10.330407355432602,243,96,243Cm
123,10.44924105851161,243,96,243Cm
124,10.568462913565003,243,96,243Cm
124,10.68807104281228,243,96,243Cm
126,10.808063592531363,243,96,243Cm
126,10.928438732561535,243,96,243Cm
127,11.049194655820592,243,96,243Cm
128,11.170329577835384,243,96,243Cm
130,11.291841736285704,243,96,243Cm
131,11.413729390560608,243,96,243Cm
132,11.535990821327127,243,96,243Cm
