Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.015669454775454485,251,98,251Cf
2,0.03469888597132187,251,98,251Cf
3,0.05524343155822185,251,98,251Cf
4,0.07683819921653118,251,98,251Cf
5,0.09924910571512235,251,98,251Cf
6,0.12233262482789008,251,98,251Cf
7,0.14599092753475965,251,98,251Cf
7,0.17015269204086247,251,98,251Cf
9,0.19476342821503342,251,98,251Cf
10,0.21978004029593387,251,98,251Cf
11,0.2451675243567284,251,98,251Cf
12,0.2708968410390872,251,98,251Cf
12,0.2969434806961063,251,98,251Cf
13,0.3232864589080261,251,98,251Cf
15,0.3499075913845292,251,98,251Cf
16,0.3767909568932714,251,98,251Cf
17,0.40392249063470786,251,98,251Cf
17,0.43128967049979305,251,98,251Cf
18,0.45888127096894477,251,98,251Cf
20,0.4866871672489286,251,98,251Cf
21,0.5146981773750898,251,98,251Cf
21,0.5429059334503011,251,98,251Cf
22,0.5713027755557385,251,98,251Cf
23,0.5998816635235447,251,98,251Cf
25,0.6286361029409735,251,98,251Cf
26,0.6575600826100063,251,98,251Cf
27,0.6866480213144355,251,98,251Cf
28,0.7158947222142046,251,98,251Cf
29,0.7452953335395986,251,98,251Cf
29,0.774845314526874,251,98,251Cf
30,0.8045404057442734,251,98,251Cf
32,0.8343766031186408,251,98,251Cf
33,0.8643501350995016,251,98,251Cf
34,0.8944574424976786,251,98,251Cf
35,0.9246951606154956,251,98,251Cf
36,0.9550601033498467,251,98,251Cf
37,0.9855492490014062,251,98,251Cf
37,1.016159727565559,251,98,251Cf
38,1.0468888093153017,251,98,251Cf
39,1.0777338945149357,251,98,251Cf
40,1.108692504126984,251,98,251Cf
42,1.1397622713945028,251,98,251Cf
42,1.170940934197375,251,98,251Cf
44,1.2022263280950478,251,98,251Cf
45,1.2336163799798092,251,98,251Cf
46,1.2651091022746386,251,98,251Cf
47,1.2967025876180438,251,98,251Cf
47,1.3283950039854922,251,98,251Cf
48,1.36018459020322,251,98,251Cf
49,1.3920696518154576,251,98,251Cf
50,1.4240485572707346,251,98,251Cf
52,1.45611973439681,251,98,251Cf
52,1.4882816671372658,251,98,251Cf
54,1.5205328925257597,251,98,251Cf
55,1.5528719978765193,251,98,251Cf
56,1.5852976181719987,251,98,251Cf
57,1.6178084336305496,251,98,251Cf
58,1.6504031674387822,251,98,251Cf
59,1.683080583634791,251,98,251Cf
60,1.7158394851298342,251,98,251Cf
61,1.748678711857242,251,98,251Cf
62,1.7815971390384182,251,98,251Cf
63,1.8145936755567547,251,98,251Cf
63,1.847667262431143,251,98,251Cf
64,1.8808168713815026,251,98,251Cf
66,1.914041503479457,251,98,251Cf
67,1.9473401878778984,251,98,251Cf
68,1.9807119806136935,251,98,251Cf
68,2.0141559634783275,251,98,251Cf
70,2.047671242951694,251,98,251Cf
70,2.0812569491946253,251,98,251Cf
72,2.114912235096196,251,98,251Cf
73,2.14863627537204,251,98,251Cf
74,2.1824282657103384,251,98,251Cf
75,2.2162874219623054,251,98,251Cf
76,2.250212979374334,251,98,251Cf
77,2.2842041918590894,251,98,251Cf
77,2.3182603313031342,251,98,251Cf
78,2.3523806869087887,251,98,251Cf
79,2.3865645645681215,251,98,251Cf
81,2.4208112862671225,251,98,251Cf
82,2.4551201895182535,251,98,251Cf
83,2.4894906268196944,251,98,251Cf
83,2.523921965139695,251,98,251Cf
84,2.5584135854246326,251,98,251Cf
85,2.592964882129371,251,98,251Cf
86,2.62757526276869,251,98,251Cf
88,2.662244147488605,251,98,251Cf
89,2.6969709686564496,251,98,251Cf
90,2.731755170468767,251,98,251Cf
91,2.7665962085759417,251,98,251Cf
92,2.8014935497228137,251,98,251Cf
92,2.8364466714042824,251,98,251Cf
93,2.8714550615352503,251,98,251Cf
95,2.906518218134079,251,98,251Cf
96,2.941635649018895,251,98,251Cf
96,2.9768068715161053,251,98,251Cf
98,3.012031412180503,251,98,251Cf
99,3.047308806526368,251,98,251Cf
100,3.08263859876907,251,98,251Cf
101,3.1180203415766057,251,98,251Cf
101,3.1534535958306478,251,98,251Cf
102,3.1889379303966128,251,98,251Cf
103,3.2244729219023465,251,98,251Cf
105,3.2600581545250016,251,98,251Cf
106,3.295693219785754,251,98,251Cf
107,3.3313777163519886,251,98,251Cf
108,3.367111249846616,251,98,251Cf
109,3.4028934326641602,251,98,251Cf
109,3.4387238837934153,251,98,251Cf
111,3.474602228646276,251,98,251Cf
111,3.5105280988925065,251,98,251Cf
112,3.546501132300242,251,98,251Cf
114,3.582520972581903,251,98,251Cf
115,3.6185872692452854,251,98,251Cf
116,3.6546996774497402,251,98,251Cf
117,3.6908578578670332,251,98,251Cf
118,3.7270614765468495,251,98,251Cf
118,3.7633102047866784,251,98,251Cf
119,3.799603719005908,251,98,251Cf
121,3.835941700623954,251,98,251Cf
122,3.8723238359423098,251,98,251Cf
123,3.9087498160302903,251,98,251Cf
124,3.9452193366143655,251,98,251Cf
124,3.981732097970942,251,98,251Cf
126,4.01828780482245,251,98,251Cf
126,4.054886166236601,251,98,251Cf
127,4.091526895528705,251,98,251Cf
128,4.128209710166948,251,98,251Cf
130,4.16493433168049,251,98,251Cf
131,4.201700485570252,251,98,251Cf
132,4.238507901222416,251,98,251Cf
133,4.275356311824356,251,98,251Cf
134,4.312245454283067,251,98,251Cf
135,4.349175069145912,251,98,251Cf
135,4.38614490052365,251,98,251Cf
136,4.423154696015639,251,98,251Cf
138,4.460204206637139,251,98,251Cf
138,4.497293186748645,251,98,251Cf
140,4.534421393987203,251,98,251Cf
140,4.571588589199575,251,98,251Cf
141,4.608794536377283,251,98,251Cf
143,4.646039002593362,251,98,251Cf
144,4.68332175794087,251,98,251Cf
144,4.720642575472988,251,98,251Cf
146,4.758001231144802,251,98,251Cf
146,4.795397503756486,251,98,251Cf
148,4.8328311748981285,251,98,251Cf
149,4.870302028895866,251,98,251Cf
150,4.907809852759508,251,98,251Cf
150,4.945354436131415,251,98,251Cf
152,4.982935571236798,251,98,251Cf
153,5.0205530528351545,251,98,251Cf
154,5.058206678173018,251,98,251Cf
154,5.095896246937847,251,98,251Cf
156,5.133621561213074,251,98,251Cf
156,5.171382425434276,251,98,251Cf
158,5.2091786463463885,251,98,251Cf
158,5.247010032961988,251,98,251Cf
159,5.2848763965206125,251,98,251Cf
160,5.32277755044899,251,98,251Cf
161,5.360713310322277,251,98,251Cf
162,5.398683493826216,251,98,251Cf
164,5.436687920720152,251,98,251Cf
165,5.474726412800953,251,98,251Cf
165,5.512798793867778,251,98,251Cf
167,5.55090488968762,251,98,251Cf
168,5.589044527961679,251,98,251Cf
168,5.627217538292514,251,98,251Cf
