Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,2.394123369572016,32,14,32Si
2,3.105190241828989,32,14,32Si
3,3.6153876008144747,32,14,32Si
4,4.027447607962516,32,14,32Si
5,4.3791417329848,32,14,32Si
6,4.689176189147479,32,14,32Si
7,4.968369948272592,32,14,32Si
7,5.223620123618916,32,14,32Si
9,5.459629888020214,32,14,32Si
10,5.679769200566025,32,14,32Si
11,5.886546354313773,32,14,32Si
12,6.081885474164411,32,14,32Si
12,6.267299217423477,32,14,32Si
13,6.444001206141011,32,14,32Si
15,6.612981989509049,32,14,32Si
16,6.775061987629575,32,14,32Si
17,6.930929381880479,32,14,32Si
17,7.08116785782384,32,14,32Si
18,7.226277326016036,32,14,32Si
20,7.366689670879945,32,14,32Si
21,7.502780907424606,32,14,32Si
21,7.634880695708152,32,14,32Si
22,7.76327988031489,32,14,32Si
23,7.888236532135284,32,14,32Si
25,8.009980839457434,32,14,32Si
26,8.12871910441474,32,14,32Si
27,8.244637036274776,32,14,32Si
28,8.357902486545775,32,14,32Si
29,8.468667736912048,32,14,32Si
29,8.57707142589114,32,14,32Si
30,8.683240181313517,32,14,32Si
32,8.787290011514607,32,14,32Si
33,8.889327497275195,32,14,32Si
34,8.989450818179195,32,14,32Si
35,9.087750640551766,32,14,32Si
36,9.18431088904095,32,14,32Si
37,9.279209419877773,32,14,32Si
37,9.372518610645518,32,14,32Si
38,9.464305878822639,32,14,32Si
39,9.554634139295857,32,14,32Si
40,9.643562209363175,32,14,32Si
42,9.731145168379735,32,14,32Si
42,9.81743467807875,32,14,32Si
44,9.902479268676776,32,14,32Si
45,9.986324595108245,32,14,32Si
46,10.06901366709874,32,14,32Si
47,10.150587056255583,32,14,32Si
47,10.231083082909036,32,14,32Si
48,10.310537985062544,32,14,32Si
49,10.388986071493347,32,14,32Si
50,10.466459860776052,32,14,32Si
52,10.542990207772696,32,14,32Si
52,10.618606418937372,32,14,32Si
54,10.693336357615893,32,14,32Si
55,10.767206540376888,32,14,32Si
56,10.840242225286673,32,14,32Si
57,10.912467492932713,32,14,32Si
58,10.983905320907596,32,14,32Si
59,11.054577652384438,32,14,32Si
60,11.124505459344194,32,14,32Si
61,11.193708800953718,32,14,32Si
62,11.262206877539548,32,14,32Si
63,11.33001808055512,32,14,32Si
63,11.39716003889737,32,14,32Si
64,11.46364966189206,32,14,32Si
66,11.529503179234869,32,14,32Si
67,11.594736178146373,32,14,32Si
68,11.65936363797396,32,14,32Si
68,11.723399962450706,32,14,32Si
70,11.786859009801608,32,14,32Si
70,11.849754120869207,32,14,32Si
