Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.142496574540794,39,18,39Ar
2,1.4601709900065327,39,18,39Ar
3,1.6855078274348791,39,18,39Ar
4,1.8661756783941492,39,18,39Ar
5,2.0195452116628556,39,18,39Ar
6,2.1541680630758604,39,18,39Ar
7,2.2749676772330667,39,18,39Ar
7,2.385071122810269,39,18,39Ar
9,2.486604073614934,39,18,39Ar
10,2.5810854901354556,39,18,39Ar
11,2.669643228725236,39,18,39Ar
12,2.753140607503522,39,18,39Ar
12,2.8322549996692326,39,18,39Ar
13,2.907528897260304,39,18,39Ar
15,2.97940434831022,39,18,39Ar
16,3.0482469184029166,39,18,39Ar
17,3.114362812693733,39,18,39Ar
17,3.1780113943746016,39,18,39Ar
18,3.239414521931382,39,18,39Ar
20,3.2987636369390403,39,18,39Ar
21,3.356225228665459,39,18,39Ar
21,3.411945106110055,39,18,39Ar
22,3.4660517796319916,39,18,39Ar
23,3.5186591680604327,39,18,39Ar
25,3.5698687880877658,39,18,39Ar
26,3.6197715415297385,39,18,39Ar
27,3.6684491868117863,39,18,39Ar
28,3.7159755600068896,39,18,39Ar
29,3.7624175954027623,39,18,39Ar
29,3.8078361842358115,39,18,39Ar
30,3.8522869017519463,39,18,39Ar
32,3.8958206263486908,39,18,39Ar
33,3.938484069664265,39,18,39Ar
34,3.9803202327134546,39,18,39Ar
35,4.021368800243839,39,18,39Ar
36,4.061666483193743,39,18,39Ar
37,4.10124731732399,39,18,39Ar
37,4.140142924657139,39,18,39Ar
38,4.178382743206736,39,18,39Ar
39,4.215994229551926,39,18,39Ar
40,4.2530030380615225,39,18,39Ar
42,4.2894331799594925,39,18,39Ar
42,4.325307164922265,39,18,39Ar
44,4.360646127485413,39,18,39Ar
45,4.395469940195503,39,18,39Ar
46,4.4297973151589884,39,18,39Ar
47,4.463645895402881,39,18,39Ar
47,4.497032337263181,39,18,39Ar
48,4.529972384849736,39,18,39Ar
49,4.562480937494848,39,18,39Ar
50,4.594572110973067,39,18,39Ar
52,4.6262592931776245,39,18,39Ar
52,4.657555194851834,39,18,39Ar
54,4.688471895899208,39,18,39Ar
55,4.719020887731955,39,18,39Ar
56,4.749213112062247,39,18,39Ar
57,4.779058996492953,39,18,39Ar
58,4.808568487223144,39,18,39Ar
59,4.8377510791477505,39,18,39Ar
60,4.866615843599428,39,18,39Ar
61,4.895171453953373,39,18,39Ar
62,4.923426209291881,39,18,39Ar
63,4.951388056304463,39,18,39Ar
63,4.979064609580868,39,18,39Ar
64,5.006463170438108,39,18,39Ar
66,5.033590744408212,39,18,39Ar
67,5.0604540575007535,39,18,39Ar
68,5.087059571342914,39,18,39Ar
68,5.113413497289849,39,18,39Ar
70,5.139521809589257,39,18,39Ar
70,5.165390257676073,39,18,39Ar
72,5.1910243776661735,39,18,39Ar
73,5.21642950311163,39,18,39Ar
74,5.24161077507439,39,18,39Ar
75,5.266573151570137,39,18,39Ar
76,5.291321416429597,39,18,39Ar
77,5.315860187620352,39,18,39Ar
77,5.340193925068565,39,18,39Ar
78,5.364326938016695,39,18,39Ar
79,5.388263391950201,39,18,39Ar
81,5.4120073151235575,39,18,39Ar
82,5.435562604713391,39,18,39Ar
83,5.458933032624331,39,18,39Ar
83,5.482122250971076,39,18,39Ar
84,5.505133797258414,39,18,39Ar
85,5.527971099279113,39,18,39Ar
86,5.550637479748207,39,18,39Ar
88,5.573136160690676,39,18,39Ar
89,5.595470267598305,39,18,39Ar
90,5.617642833370313,39,18,39Ar
91,5.639656802051261,39,18,39Ar
92,5.66151503237879,39,18,39Ar
92,5.683220301152793,39,18,39Ar
93,5.704775306436859,39,18,39Ar
95,5.726182670602002,39,18,39Ar
96,5.747444943222024,39,18,39Ar
96,5.768564603829231,39,18,39Ar
98,5.789544064538564,39,18,39Ar
99,5.810385672547735,39,18,39Ar
100,5.831091712520414,39,18,39Ar
101,5.851664408859021,39,18,39Ar
101,5.87210592787331,39,18,39Ar
102,5.892418379850482,39,18,39Ar
103,5.912603821032197,39,18,39Ar
105,5.9326642555035365,39,18,39Ar
106,5.952601636998642,39,18,39Ar
107,5.972417870627443,39,18,39Ar
108,5.992114814527621,39,18,39Ar
109,6.011694281445734,39,18,39Ar
109,6.031158040251121,39,18,39Ar
111,6.050507817386074,39,18,39Ar
111,6.0697452982554445,39,18,39Ar
112,6.088872128558821,39,18,39Ar
114,6.1078899155680375,39,18,39Ar
115,6.126800229352785,39,18,39Ar
116,6.145604603956851,39,18,39Ar
117,6.16430453852736,39,18,39Ar
118,6.182901498399301,39,18,39Ar
118,6.20139691613747,39,18,39Ar
119,6.219792192537836,39,18,39Ar
121,6.238088697590248,39,18,39Ar
122,6.256287771404251,39,18,39Ar
123,6.274390725099773,39,18,39Ar
124,6.292398841664224,39,18,39Ar
124,6.3103133767775725,39,18,39Ar
126,6.328135559606843,39,18,39Ar
126,6.345866593571371,39,18,39Ar
127,6.363507657080152,39,18,39Ar
128,6.381059904242483,39,18,39Ar
130,6.39852446555308,39,18,39Ar
131,6.415902448552749,39,18,39Ar
132,6.43319493846572,39,18,39Ar
133,6.450402998814563,39,18,39Ar
134,6.467527672013703,39,18,39Ar
135,6.484569979942385,39,18,39Ar
135,6.501530924497985,39,18,39Ar
136,6.518411488130449,39,18,39Ar
138,6.5352126343586585,39,18,39Ar
138,6.55193530826944,39,18,39Ar
140,6.56858043699995,39,18,39Ar
140,6.58514893020407,39,18,39Ar
141,6.601641680503491,39,18,39Ar
143,6.618059563924045,39,18,39Ar
144,6.634403440317902,39,18,39Ar
144,6.650674153772193,39,18,39Ar
146,6.6668725330045415,39,18,39Ar
146,6.682999391746055,39,18,39Ar
148,6.699055529112223,39,18,39Ar
149,6.715041729962211,39,18,39Ar
150,6.730958765246967,39,18,39Ar
150,6.746807392346565,39,18,39Ar
152,6.76258835539721,39,18,39Ar
153,6.778302385608235,39,18,39Ar
154,6.793950201569527,39,18,39Ar
154,6.809532509549675,39,18,39Ar
156,6.825050003785212,39,18,39Ar
156,6.840503366761245,39,18,39Ar
158,6.855893269483821,39,18,39Ar
