Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,2.263580042233156,39,19,39K
2,2.710563673903846,39,19,39K
3,3.01190297269707,39,19,39K
4,3.245812073443938,39,19,39K
5,3.439685009862984,39,19,39K
6,3.60665610881666,39,19,39K
7,3.754135997050049,39,19,39K
7,3.8867546693493247,39,19,39K
9,4.007615965721193,39,19,39K
10,4.118911221804213,39,19,39K
11,4.222250286263591,39,19,39K
12,4.318853696543978,39,19,39K
12,4.4096708454867155,39,19,39K
13,4.4954560787077815,39,19,39K
15,4.576819601275122,39,19,39K
16,4.654262636862949,39,19,39K
17,4.728202379210048,39,19,39K
17,4.79899011873424,39,19,39K
18,4.866924682229501,39,19,39K
20,4.93226257766564,39,19,39K
21,4.995225774419271,39,19,39K
21,5.056007755213,39,19,39K
22,5.114778283959625,39,19,39K
23,5.171687205374131,39,19,39K
25,5.226867504717754,39,19,39K
26,5.280437795279866,39,19,39K
27,5.332504358306494,39,19,39K
28,5.3831628293356495,39,19,39K
29,5.432499602551316,39,19,39K
29,5.480593008316335,39,19,39K
30,5.527514306790498,39,19,39K
32,5.573328531312958,39,19,39K
33,5.618095208209329,39,19,39K
34,5.661868974294658,39,19,39K
35,5.704700109168924,39,19,39K
36,5.746634996141512,39,19,39K
37,5.787716523055154,39,19,39K
37,5.827984432245881,39,19,39K
38,5.8674756272519755,39,19,39K
39,5.906224442580928,39,19,39K
40,5.9442628817894185,39,19,39K
42,5.9816208282748375,39,19,39K
42,6.018326232476749,39,19,39K
44,6.054405278611687,39,19,39K
45,6.089882533590066,39,19,39K
46,6.1247810803702,39,19,39K
47,6.1591226376766794,39,19,39K
47,6.192927667735862,39,19,39K
48,6.22621547345101,39,19,39K
49,6.259004286245185,39,19,39K
50,6.291311345635751,39,19,39K
52,6.32315297146459,39,19,39K
52,6.354544629589267,39,19,39K
54,6.385500991738602,39,19,39K
55,6.4160359901488455,39,19,39K
56,6.446162867521739,39,19,39K
57,6.475894222780874,39,19,39K
58,6.505242053046846,39,19,39K
59,6.534217792203161,39,19,39K
60,6.562832346382516,39,19,39K
61,6.591096126666384,39,19,39K
62,6.619019079258547,39,19,39K
63,6.646610713365147,39,19,39K
63,6.673880126988999,39,19,39K
