Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.5317128996251541,44,20,44Ca
2,1.9006151629645287,44,20,44Ca
3,2.1563289569836592,44,20,44Ca
4,2.358364938086442,44,20,44Ca
5,2.5280233840388777,44,20,44Ca
6,2.675665598289073,44,20,44Ca
7,2.807202521684348,44,20,44Ca
7,2.9263605224111693,44,20,44Ca
9,3.0356567290542102,44,20,44Ca
10,3.1368800100913408,44,20,44Ca
11,3.231352224310183,44,20,44Ca
12,3.3200808117339013,44,20,44Ca
12,3.403853125756571,44,20,44Ca
13,3.4832974766558613,44,20,44Ca
15,3.5589241484281438,44,20,44Ca
16,3.6311538425749306,44,20,44Ca
17,3.700337939739461,44,20,44Ca
17,3.7667732707661434,44,20,44Ca
18,3.830713104292327,44,20,44Ca
20,3.892375466080469,44,20,44Ca
21,3.9519495377409695,44,20,44Ca
21,4.009600647684087,44,20,44Ca
22,4.065474213315118,44,20,44Ca
23,4.119698890433896,44,20,44Ca
25,4.172389115356659,44,20,44Ca
26,4.223647176243252,44,20,44Ca
27,4.273564915411903,44,20,44Ca
28,4.322225139494731,44,20,44Ca
29,4.369702796129722,44,20,44Ca
29,4.416065962491075,44,20,44Ca
30,4.461376680963813,44,20,44Ca
32,4.5056916697272476,44,20,44Ca
33,4.549062930265064,44,20,44Ca
34,4.591538269399482,44,20,44Ca
35,4.633161750017029,44,20,44Ca
36,4.673974081970351,44,20,44Ca
37,4.714012962525472,44,20,44Ca
37,4.753313374044625,44,20,44Ca
38,4.791907845252501,44,20,44Ca
39,4.829826681353995,44,20,44Ca
40,4.86709816739758,44,20,44Ca
42,4.903748748567239,44,20,44Ca
42,4.9398031905037945,44,20,44Ca
44,4.975284722277741,44,20,44Ca
45,5.010215164240031,44,20,44Ca
46,5.044615042648628,44,20,44Ca
47,5.078503692694731,44,20,44Ca
47,5.111899351322941,44,20,44Ca
48,5.144819241046723,44,20,44Ca
49,5.1772796457976575,44,20,44Ca
50,5.20929597970882,44,20,44Ca
52,5.240882849615461,44,20,44Ca
52,5.272054111955902,44,20,44Ca
54,5.302822924670038,44,20,44Ca
55,5.333201794619155,44,20,44Ca
56,5.363202620987611,44,20,44Ca
57,5.392836735072085,44,20,44Ca
58,5.422114936816883,44,20,44Ca
59,5.451047528412647,44,20,44Ca
60,5.479644345239962,44,20,44Ca
61,5.5079147844083085,44,20,44Ca
62,5.535867831113312,44,20,44Ca
63,5.563512083011443,44,20,44Ca
63,5.59085577279024,44,20,44Ca
64,5.617906789093625,44,20,44Ca
66,5.644672695945508,44,20,44Ca
67,5.6711607508005075,44,20,44Ca
68,5.697377921337744,44,20,44Ca
68,5.723330901102365,44,20,44Ca
70,5.749026124089334,44,20,44Ca
70,5.774469778355032,44,20,44Ca
72,5.7996678187342035,44,20,44Ca
73,5.824625978732621,44,20,44Ca
74,5.849349781659378,44,20,44Ca
75,5.8738445510570445,44,20,44Ca
76,5.8981154204826405,44,20,44Ca
77,5.922167342687895,44,20,44Ca
77,5.946005098242903,44,20,44Ca
78,5.969633303643613,44,20,44Ca
79,5.993056418940209,44,20,44Ca
81,6.01627875492025,44,20,44Ca
82,6.039304479877734,44,20,44Ca
83,6.062137625996719,44,20,44Ca
83,6.084782095375758,44,20,44Ca
84,6.107241665717431,44,20,44Ca
85,6.129519995705261,44,20,44Ca
86,6.151620630088637,44,20,44Ca
88,6.173547004494753,44,20,44Ca
89,6.195302449985129,44,20,44Ca
90,6.216890197373015,44,20,44Ca
91,6.238313381316695,44,20,44Ca
92,6.259575044202676,44,20,44Ca
92,6.28067813983169,44,20,44Ca
93,6.301625536919546,44,20,44Ca
95,6.322420022423978,44,20,44Ca
96,6.3430643047078785,44,20,44Ca
96,6.363561016548585,44,20,44Ca
98,6.383912718002207,44,20,44Ca
99,6.404121899131392,44,20,44Ca
100,6.424190982604333,44,20,44Ca
101,6.444122326172327,44,20,44Ca
101,6.463918225032716,44,20,44Ca
102,6.483580914083559,44,20,44Ca
103,6.503112570075994,44,20,44Ca
105,6.522515313669906,44,20,44Ca
106,6.541791211398067,44,20,44Ca
107,6.560942277543687,44,20,44Ca
108,6.579970475935965,44,20,44Ca
109,6.59887772166789,44,20,44Ca
109,6.617665882740431,44,20,44Ca
111,6.636336781636822,44,20,44Ca
111,6.654892196830563,44,20,44Ca
112,6.673333864230484,44,20,44Ca
114,6.691663478566035,44,20,44Ca
115,6.709882694715733,44,20,44Ca
116,6.727993128981668,44,20,44Ca
117,6.745996360312596,44,20,44Ca
118,6.763893931478158,44,20,44Ca
118,6.781687350196611,44,20,44Ca
119,6.799378090218229,44,20,44Ca
121,6.816967592366479,44,20,44Ca
122,6.834457265538996,44,20,44Ca
123,6.851848487670169,44,20,44Ca
124,6.869142606657153,44,20,44Ca
124,6.886340941250957,44,20,44Ca
126,6.903444781914185,44,20,44Ca
126,6.920455391646959,44,20,44Ca
127,6.937374006782434,44,20,44Ca
128,6.954201837753242,44,20,44Ca
130,6.97094006983015,44,20,44Ca
131,6.987589863834146,44,20,44Ca
132,7.004152356823122,44,20,44Ca
133,7.0206286627541985,44,20,44Ca
134,7.037019873122791,44,20,44Ca
135,7.053327057579348,44,20,44Ca
135,7.069551264524723,44,20,44Ca
136,7.085693521685108,44,20,44Ca
138,7.101754836667273,44,20,44Ca
138,7.11773619749506,44,20,44Ca
140,7.133638573127768,44,20,44Ca
140,7.149462913961251,44,20,44Ca
141,7.165210152312381,44,20,44Ca
143,7.180881202887554,44,20,44Ca
144,7.196476963235871,44,20,44Ca
144,7.211998314187597,44,20,44Ca
146,7.227446120278484,44,20,44Ca
146,7.242821230160485,44,20,44Ca
148,7.258124476999412,44,20,44Ca
149,7.2733566788600035,44,20,44Ca
150,7.288518639078944,44,20,44Ca
150,7.303611146626188,44,20,44Ca
152,7.318634976455164,44,20,44Ca
153,7.333590889842119,44,20,44Ca
