Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.5576084375583839,46,22,46Ti
2,1.8901587043791925,46,22,46Ti
3,2.1166960880789083,46,22,46Ti
4,2.2937086379300715,46,22,46Ti
5,2.4411422122478434,46,22,46Ti
6,2.568611878913098,46,22,46Ti
7,2.6815650782339797,46,22,46Ti
7,2.783416706505071,46,22,46Ti
9,2.876462544278312,46,22,46Ti
10,2.9623274308532928,46,22,46Ti
11,3.0422076454007816,46,22,46Ti
12,3.1170119421733045,46,22,46Ti
12,3.187448445866964,46,22,46Ti
13,3.254080712305618,46,22,46Ti
15,3.3173652931728057,46,22,46Ti
16,3.377677719801015,46,22,46Ti
17,3.435330969016077,46,22,46Ti
17,3.490588895634802,46,22,46Ti
18,3.5436762039457026,46,22,46Ti
20,3.5947859831997895,46,22,46Ti
21,3.6440854929653144,46,22,46Ti
21,3.6917206679343484,46,22,46Ti
22,3.73781967034855,46,22,46Ti
23,3.782495723628825,46,22,46Ti
25,3.8258493962446365,46,22,46Ti
26,3.867970459995371,46,22,46Ti
27,3.908939415173904,46,22,46Ti
28,3.9488287523393426,46,22,46Ti
29,3.9877040038827696,46,22,46Ti
29,4.0256246263823785,46,22,46Ti
30,4.062644745659947,46,22,46Ti
32,4.098813789605095,46,22,46Ti
33,4.134177028623224,46,22,46Ti
34,4.1687760395595275,46,22,46Ti
35,4.202649105848395,46,22,46Ti
36,4.235831564212472,46,22,46Ti
37,4.268356106326076,46,22,46Ti
37,4.3002530423428835,46,22,46Ti
38,4.331550531978232,46,22,46Ti
39,4.36227478786414,46,22,46Ti
40,4.392450255109079,46,22,46Ti
42,4.422099770355252,46,22,46Ti
42,4.4512447031034705,46,22,46Ti
44,4.479905081646119,46,22,46Ti
45,4.508099705593959,46,22,46Ti
46,4.535846246688205,46,22,46Ti
47,4.563161339343938,46,22,46Ti
47,4.590060662165687,46,22,46Ti
48,4.616559011503478,46,22,46Ti
49,4.64267036797213,46,22,46Ti
50,4.66840795673341,46,22,46Ti
52,4.6937843022359695,46,22,46Ti
52,4.7188112780187605,46,22,46Ti
54,4.7435001521073366,46,22,46Ti
55,4.7678616284669415,46,22,46Ti
56,4.791905884919982,46,22,46Ti
57,4.815642607886829,46,22,46Ti
58,4.83908102426689,46,22,46Ti
59,4.86222993074027,46,22,46Ti
60,4.885097720738736,46,22,46Ti
61,4.9076924093068985,46,22,46Ti
62,4.9300216560503225,46,22,46Ti
63,4.952092786346158,46,22,46Ti
63,4.973912810973162,46,22,46Ti
64,4.9954884443016345,46,22,46Ti
66,5.016826121169359,46,22,46Ti
67,5.0379320125568094,46,22,46Ti
68,5.05881204016366,46,22,46Ti
68,5.079471889978518,46,22,46Ti
70,5.099917024924964,46,22,46Ti
70,5.120152696658976,46,22,46Ti
72,5.140183956585836,46,22,46Ti
73,5.1600156661581655,46,22,46Ti
74,5.179652506511222,46,22,46Ti
75,5.199098987486406,46,22,46Ti
76,5.218359456089449,46,22,46Ti
77,5.237438104425635,46,22,46Ti
77,5.256338977150727,46,22,46Ti
78,5.275065978472978,46,22,46Ti
79,5.293622878738571,46,22,46Ti
81,5.312013320630156,46,22,46Ti
82,5.330240825005693,46,22,46Ti
83,5.348308796402589,46,22,46Ti
83,5.366220528230096,46,22,46Ti
84,5.383979207671115,46,22,46Ti
85,5.40158792031289,46,22,46Ti
86,5.4190496545245335,46,22,46Ti
88,5.436367305598004,46,22,46Ti
89,5.453543679667793,46,22,46Ti
90,5.470581497423549,46,22,46Ti
91,5.487483397628708,46,22,46Ti
92,5.504251940457303,46,22,46Ti
92,5.520889610660196,46,22,46Ti
93,5.537398820571208,46,22,46Ti
95,5.553781912962834,46,22,46Ti
96,5.5700411637605765,46,22,46Ti
96,5.586178784624294,46,22,46Ti
98,5.602196925404381,46,22,46Ti
99,5.6180976764800405,46,22,46Ti
100,5.633883070986474,46,22,46Ti
101,5.649555086937278,46,22,46Ti
101,5.665115649248006,46,22,46Ti
102,5.680566631666387,46,22,46Ti
103,5.695909858614376,46,22,46Ti
105,5.7111471069468855,46,22,46Ti
106,5.726280107631698,46,22,46Ti
107,5.7413105473548205,46,22,46Ti
108,5.756240070055242,46,22,46Ti
109,5.771070278392813,46,22,46Ti
109,5.785802735152777,46,22,46Ti
111,5.80043896459021,46,22,46Ti
111,5.81498045371745,46,22,46Ti
112,5.829428653537449,46,22,46Ti
