Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.9727789801309145,57,27,57Co
2,1.2365528368131669,57,27,57Co
3,1.4228689211513337,57,27,57Co
4,1.571850286099842,57,27,57Co
5,1.698070054158898,57,27,57Co
6,1.8086869029861115,57,27,57Co
7,1.9078154020659395,57,27,57Co
7,1.9980653057087767,57,27,57Co
9,2.0812085870789474,57,27,57Co
10,2.1585101913849876,57,27,57Co
11,2.230908532269087,57,27,57Co
12,2.2991213487089426,57,27,57Co
12,2.3637113850215217,57,27,57Co
13,2.425129033136597,57,27,57Co
15,2.4837410710450385,57,27,57Co
16,2.5398506468341373,57,27,57Co
17,2.593711550378628,57,27,57Co
17,2.645538642298846,57,27,57Co
18,2.6955156288378066,57,27,57Co
20,2.7438009609212926,57,27,57Co
21,2.790532380261897,57,27,57Co
21,2.835830471868118,57,27,57Co
22,2.879801475003053,57,27,57Co
23,2.9225395326090964,57,27,57Co
25,2.9641285098935373,57,27,57Co
26,3.0046434783804554,57,27,57Co
27,3.044151937359286,57,27,57Co
28,3.082714827122868,57,27,57Co
29,3.1203873755955835,57,27,57Co
29,3.1572198105028852,57,27,57Co
30,3.193257962171941,57,27,57Co
32,3.2285437767187837,57,27,57Co
33,3.263115755307369,57,27,57Co
34,3.297009332031561,57,27,57Co
35,3.3302572005362516,57,27,57Co
36,3.3628895975869466,57,27,57Co
37,3.394934550292422,57,27,57Co
37,3.426418092489056,57,27,57Co
38,3.4573644548385265,57,27,57Co
39,3.4877962324199414,57,27,57Co
40,3.5177345329732668,57,27,57Co
42,3.547199108442359,57,27,57Co
42,3.576208472049364,57,27,57Co
44,3.6047800027893535,57,27,57Co
45,3.632930038950378,57,27,57Co
46,3.6606739620283864,57,27,57Co
47,3.688026272209695,57,27,57Co
47,3.715000656428717,57,27,57Co
48,3.7416100498699008,57,27,57Co
49,3.767866691665531,57,27,57Co
50,3.793782175441671,57,27,57Co
52,3.819367495279887,57,27,57Co
52,3.844633087590233,57,27,57Co
54,3.8695888693291227,57,27,57Co
55,3.894244272942558,57,27,57Co
56,3.9186082783694522,57,27,57Co
57,3.9426894424002192,57,27,57Co
58,3.966495925651518,57,27,57Co
59,3.9900355173882827,57,27,57Co
60,4.013315658398242,57,27,57Co
61,4.036343462101491,57,27,57Co
62,4.05912573405785,57,27,57Co
63,4.081668990017402,57,27,57Co
63,4.103979472644276,57,27,57Co
64,4.126063167030334,57,27,57Co
66,4.147925815103491,57,27,57Co
67,4.169572929024922,57,27,57Co
68,4.191009803660074,57,27,57Co
68,4.212241528200136,57,27,57Co
70,4.233272997003267,57,27,57Co
70,4.254108919718305,57,27,57Co
72,4.274753830747866,57,27,57Co
73,4.2952120981024455,57,27,57Co
74,4.315487931692528,57,27,57Co
75,4.335585391101415,57,27,57Co
76,4.355508392877798,57,27,57Co
77,4.375260717383611,57,27,57Co
77,4.394846015229729,57,27,57Co
78,4.4142678133292215,57,27,57Co
79,4.433529520595461,57,27,57Co
81,4.452634433310057,57,27,57Co
82,4.471585740183591,57,27,57Co
83,4.490386527130249,57,27,57Co
83,4.50903978177575,57,27,57Co
84,4.527548397716482,57,27,57Co
85,4.545915178546308,57,27,57Co
86,4.56414284166627,57,27,57Co
88,4.582234021891253,57,27,57Co
89,4.600191274866589,57,27,57Co
90,4.618017080306663,57,27,57Co
91,4.635713845066626,57,27,57Co
92,4.6532839060575855,57,27,57Co
92,4.670729533014815,57,27,57Co
93,4.688052931127945,57,27,57Co
95,4.705256243541348,57,27,57Co
96,4.722341553732467,57,27,57Co
96,4.739310887775219,57,27,57Co
98,4.756166216495168,57,27,57Co
99,4.772909457522687,57,27,57Co
100,4.789542477249904,57,27,57Co
101,4.8060670926968845,57,27,57Co
101,4.8224850732920785,57,27,57Co
102,4.838798142571796,57,27,57Co
103,4.8550079798031325,57,27,57Co
105,4.871116221534494,57,27,57Co
106,4.887124463077597,57,27,57Co
107,4.9030342599246275,57,27,57Co
108,4.918847129103915,57,27,57Co
109,4.934564550477372,57,27,57Co
109,4.950187967982712,57,27,57Co
111,4.965718790823257,57,27,57Co
111,4.9811583946079905,57,27,57Co
112,4.996508122444401,57,27,57Co
114,5.011769285986424,57,27,57Co
115,5.026943166439729,57,27,57Co
116,5.042031015526445,57,27,57Co
117,5.057034056411278,57,27,57Co
118,5.071953484590899,57,27,57Co
118,5.086790468748346,57,27,57Co
119,5.101546151574103,57,27,57Co
121,5.116221650555427,57,27,57Co
122,5.130818058735377,57,27,57Co
123,5.1453364454429975,57,27,57Co
124,5.159777856995917,57,27,57Co
124,5.1741433173766564,57,27,57Co
126,5.188433828883834,57,27,57Co
126,5.202650372759348,57,27,57Co
127,5.216793909792674,57,27,57Co
128,5.230865380903216,57,27,57Co
130,5.244865707701713,57,27,57Co
131,5.258795793031597,57,27,57Co
132,5.2726565214911645,57,27,57Co
133,5.2864487599373815,57,27,57Co
134,5.300173357972111,57,27,57Co
135,5.31383114841147,57,27,57Co
135,5.327422947739086,57,27,57Co
136,5.340949556543834,57,27,57Co
138,5.354411759942776,57,27,57Co
138,5.367810327989841,57,27,57Co
140,5.381146016070883,57,27,57Co
140,5.394419565285605,57,27,57Co
141,5.407631702816943,57,27,57Co
143,5.420783142288329,57,27,57Co
144,5.433874584109387,57,27,57Co
144,5.446906715810465,57,27,57Co
146,5.459880212366469,57,27,57Co
146,5.472795736510367,57,27,57Co
148,5.4856539390368315,57,27,57Co
149,5.49845545909631,57,27,57Co
150,5.511200924479971,57,27,57Co
150,5.523890951895802,57,27,57Co
152,5.536526147236227,57,27,57Co
153,5.549107105837539,57,27,57Co
154,5.56163441273147,57,27,57Co
154,5.574108642889166,57,27,57Co
156,5.586530361457856,57,27,57Co
156,5.598900123990472,57,27,57Co
158,5.611218476668476,57,27,57Co
158,5.623485956518138,57,27,57Co
159,5.635703091620505,57,27,57Co
160,5.647870401315256,57,27,57Co
161,5.659988396398699,57,27,57Co
162,5.672057579316072,57,27,57Co
164,5.684078444348372,57,27,57Co
165,5.6960514777938975,57,27,57Co
165,5.707977158144676,57,27,57Co
167,5.71985595625795,57,27,57Co
168,5.7316883355229,57,27,57Co
168,5.743474752022764,57,27,57Co
170,5.755215654692481,57,27,57Co
170,5.766911485472043,57,27,57Co
171,5.77856267945569,57,27,57Co
173,5.7901696650370456,57,27,57Co
174,5.801732864050379,57,27,57Co
175,5.813252691908098,57,27,57Co
176,5.824729557734578,57,27,57Co
177,5.836163864496466,57,27,57Co
178,5.847556009129565,57,27,57Co
179,5.858906382662405,57,27,57Co
179,5.870215370336605,57,27,57Co
181,5.881483351724143,57,27,57Co
181,5.892710700841592,57,27,57Co
182,5.90389778626146,57,27,57Co
183,5.915044971220693,57,27,57Co
184,5.926152613726447,57,27,57Co
186,5.937221066659193,57,27,57Co
187,5.948250677873252,57,27,57Co
188,5.959241790294844,57,27,57Co
189,5.970194742017688,57,27,57Co
189,5.981109866396276,57,27,57Co
191,5.991987492136856,57,27,57Co
192,6.0028279433861975,57,27,57Co
193,6.013631539818225,57,27,57Co
193,6.024398596718541,57,27,57Co
194,6.035129425066956,57,27,57Co
195,6.045824331618022,57,27,57Co
197,6.056483618979674,57,27,57Co
197,6.0671075856900165,57,27,57Co
199,6.077696526292307,57,27,57Co
200,6.088250731408168,57,27,57Co
201,6.098770487809144,57,27,57Co
202,6.109256078486557,57,27,57Co
203,6.119707782719781,57,27,57Co
204,6.130125876142955,57,27,57Co
204,6.140510630810155,57,27,57Co
205,6.150862315259114,57,27,57Co
207,6.161181194573495,57,27,57Co
207,6.171467530443752,57,27,57Co
209,6.181721581226663,57,27,57Co
209,6.191943602003504,57,27,57Co
210,6.202133844636967,57,27,57Co
211,6.2122925578268005,57,27,57Co
212,6.222419987164242,57,27,57Co
214,6.232516375185263,57,27,57Co
215,6.242581961422655,57,27,57Co
215,6.252616982456988,57,27,57Co
217,6.262621671966488,57,27,57Co
217,6.272596260775812,57,27,57Co
219,6.282540976903828,57,27,57Co
219,6.2924560456103364,57,27,57Co
220,6.302341689441848,57,27,57Co
222,6.312198128276364,57,27,57Co
223,6.322025579367231,57,27,57Co
223,6.3318242573860966,57,27,57Co
225,6.341594374464948,57,27,57Co
225,6.351336140237294,57,27,57Co
226,6.361049761878522,57,27,57Co
228,6.370735444145381,57,27,57Co
228,6.3803933894146985,57,27,57Co
230,6.390023797721311,57,27,57Co
231,6.399626866795194,57,27,57Co
232,6.409202792097892,57,27,57Co
232,6.418751766858176,57,27,57Co
234,6.428273982107022,57,27,57Co
235,6.437769626711875,57,27,57Co
236,6.447238887410239,57,27,57Co
237,6.456681948842618,57,27,57Co
237,6.466098993584792,57,27,57Co
238,6.475490202179481,57,27,57Co
239,6.484855753167376,57,27,57Co
240,6.49419582311758,57,27,57Co
241,6.503510586657464,57,27,57Co
242,6.512800216501943,57,27,57Co
243,6.522064883482187,57,27,57Co
245,6.531304756573808,57,27,57Co
246,6.540520002924473,57,27,57Co
247,6.549710787881046,57,27,57Co
248,6.558877275016172,57,27,57Co
249,6.568019626154394,57,27,57Co
249,6.577138001397762,57,27,57Co
250,6.586232559150987,57,27,57Co
252,6.595303456146108,57,27,57Co
253,6.604350847466716,57,27,57Co
254,6.613374886571733,57,27,57Co
254,6.622375725318752,57,27,57Co
256,6.631353513986953,57,27,57Co
257,6.640308401299602,57,27,57Co
257,6.649240534446145,57,27,57Co
259,6.658150059103908,57,27,57Co
259,6.667037119459383,57,27,57Co
260,6.6759018582291905,57,27,57Co
261,6.684744416680587,57,27,57Co
263,6.69356493465169,57,27,57Co
264,6.702363550571279,57,27,57Co
265,6.711140401478302,57,27,57Co
266,6.719895623040998,57,27,57Co
267,6.728629349575714,57,27,57Co
268,6.737341714065373,57,27,57Co
269,6.74603284817764,57,27,57Co
270,6.754702882282761,57,27,57Co
271,6.763351945471101,57,27,57Co
272,6.771980165570375,57,27,57Co
273,6.780587669162603,57,27,57Co
274,6.78917458160075,57,27,57Co
275,6.797741027025096,57,27,57Co
276,6.806287128379335,57,27,57Co
277,6.8148130074264035,57,27,57Co
277,6.823318784764019,57,27,57Co
278,6.8318045798399964,57,27,57Co
280,6.840270510967282,57,27,57Co
280,6.848716695338735,57,27,57Co
281,6.857143249041696,57,27,57Co
283,6.865550287072284,57,27,57Co
283,6.873937923349463,57,27,57Co
285,6.882306270728899,57,27,57Co
286,6.89065544101656,57,27,57Co
287,6.898985544982126,57,27,57Co
288,6.90729669237216,57,27,57Co
288,6.915588991923073,57,27,57Co
290,6.923862551373888,57,27,57Co
291,6.93211747747878,57,27,57Co
292,6.940353876019443,57,27,57Co
293,6.948571851817234,57,27,57Co
294,6.95677150874514,57,27,57Co
295,6.964952949739552,57,27,57Co
296,6.973116276811855,57,27,57Co
296,6.981261591059823,57,27,57Co
298,6.989388992678864,57,27,57Co
298,6.997498580973053,57,27,57Co
300,7.00559045436603,57,27,57Co
301,7.013664710411698,57,27,57Co
301,7.021721445804775,57,27,57Co
302,7.029760756391183,57,27,57Co
304,7.037782737178268,57,27,57Co
305,7.045787482344855,57,27,57Co
306,7.053775085251194,57,27,57Co
307,7.061745638448692,57,27,57Co
308,7.069699233689551,57,27,57Co
309,7.077635961936228,57,27,57Co
309,7.085555913370772,57,27,57Co
311,7.093459177404,57,27,57Co
312,7.101345842684565,57,27,57Co
312,7.109215997107856,57,27,57Co
313,7.117069727824797,57,27,57Co
314,7.124907121250492,57,27,57Co
316,7.132728263072752,57,27,57Co
317,7.140533238260501,57,27,57Co
317,7.148322131072045,57,27,57Co
318,7.15609502506324,57,27,57Co
319,7.163852003095521,57,27,57Co
320,7.171593147343825,57,27,57Co
321,7.1793185393044,57,27,57Co
323,7.187028259802494,57,27,57Co
323,7.194722388999941,57,27,57Co
325,7.20240100640264,57,27,57Co
325,7.21006419086791,57,27,57Co
326,7.217712020611763,57,27,57Co
328,7.225344573216056,57,27,57Co
329,7.232961925635553,57,27,57Co
330,7.2405641542048755,57,27,57Co
331,7.248151334645377,57,27,57Co
331,7.255723542071887,57,27,57Co
332,7.263280850999395,57,27,57Co
334,7.270823335349619,57,27,57Co
334,7.278351068457486,57,27,57Co
336,7.285864123077533,57,27,57Co
336,7.293362571390209,57,27,57Co
337,7.3008464850080985,57,27,57Co
338,7.3083159349820415,57,27,57Co
339,7.315770991807196,57,27,57Co
340,7.323211725429001,57,27,57Co
341,7.330638205249053,57,27,57Co
342,7.33805050013092,57,27,57Co
343,7.345448678405863,57,27,57Co
344,7.352832807878489,57,27,57Co
346,7.360202955832316,57,27,57Co
346,7.3675591890352745,57,27,57Co
347,7.37490157374514,57,27,57Co
348,7.382230175714867,57,27,57Co
350,7.389545060197886,57,27,57Co
350,7.396846291953298,57,27,57Co
352,7.404133935251035,57,27,57Co
352,7.411408053876908,57,27,57Co
353,7.418668711137641,57,27,57Co
355,7.42591596986579,57,27,57Co
356,7.433149892424627,57,27,57Co
357,7.440370540712953,57,27,57Co
358,7.447577976169849,57,27,57Co
359,7.454772259779357,57,27,57Co
360,7.461953452075111,57,27,57Co
360,7.469121613144909,57,27,57Co
362,7.47627680263522,57,27,57Co
362,7.483419079755615,57,27,57Co
363,7.490548503283197,57,27,57Co
364,7.497665131566907,57,27,57Co
365,7.50476902253182,57,27,57Co
367,7.511860233683376,57,27,57Co
368,7.518938822111544,57,27,57Co
368,7.526004844494945,57,27,57Co
370,7.533058357104936,57,27,57Co
371,7.540099415809609,57,27,57Co
371,7.547128076077765,57,27,57Co
373,7.554144392982848,57,27,57Co
374,7.561148421206788,57,27,57Co
375,7.568140215043841,57,27,57Co
375,7.575119828404361,57,27,57Co
377,7.582087314818526,57,27,57Co
378,7.589042727440009,57,27,57Co
378,7.595986119049628,57,27,57Co
379,7.6029175420589405,57,27,57Co
381,7.609837048513776,57,27,57Co
382,7.616744690097746,57,27,57Co
383,7.62364051813571,57,27,57Co
384,7.630524583597197,57,27,57Co
384,7.637396937099773,57,27,57Co
386,7.644257628912391,57,27,57Co
387,7.651106708958677,57,27,57Co
388,7.657944226820196,57,27,57Co
389,7.664770231739664,57,27,57Co
389,7.671584772624136,57,27,57Co
390,7.678387898048142,57,27,57Co
391,7.68517965625679,57,27,57Co
392,7.6919600951688425,57,27,57Co
