Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.6293230530780725,58,28,58Ni
2,2.0051186650851927,58,28,58Ni
3,2.263937499375534,58,28,58Ni
4,2.467589747458372,58,28,58Ni
5,2.6380879041184206,58,28,58Ni
6,2.786103914756714,58,28,58Ni
7,2.917710372725257,58,28,58Ni
7,3.0367275851491637,58,28,58Ni
9,3.145731591654556,58,28,58Ni
10,3.246550330635907,58,28,58Ni
11,3.3405327071872932,58,28,58Ni
12,3.428705530061585,58,28,58Ni
12,3.511870409667805,58,28,58Ni
13,3.5906663915493957,58,28,58Ni
15,3.6656119984920625,58,28,58Ni
16,3.7371343578908442,58,28,58Ni
17,3.8055899322812796,58,28,58Ni
17,3.871279619998393,58,28,58Ni
18,3.934459979441454,58,28,58Ni
20,3.9953517215622636,58,28,58Ni
21,4.054146237390259,58,28,58Ni
21,4.111010686220157,58,28,58Ni
22,4.166092012192064,58,28,58Ni
23,4.219520151279584,58,28,58Ni
25,4.27141061848245,58,28,58Ni
26,4.321866614777393,58,28,58Ni
27,4.370980757844701,58,28,58Ni
28,4.418836515071883,58,28,58Ni
29,4.465509398760066,58,28,58Ni
29,4.511067969762825,58,28,58Ni
30,4.555574685570331,58,28,58Ni
32,4.599086621147215,58,28,58Ni
33,4.641656084963893,58,28,58Ni
34,4.68333114814883,58,28,58Ni
35,4.724156101189421,58,28,58Ni
36,4.7641718498723895,58,28,58Ni
37,4.803416259998103,58,28,58Ni
37,4.841924458691583,58,28,58Ni
38,4.8797290987653446,58,28,58Ni
39,4.916860591489391,58,28,58Ni
40,4.953347312233857,58,28,58Ni
42,4.989215782725804,58,28,58Ni
42,5.024490833069401,58,28,58Ni
44,5.05919574619174,58,28,58Ni
45,5.0933523869740664,58,28,58Ni
46,5.126981317994252,58,28,58Ni
47,5.16010190352777,58,28,58Ni
47,5.192732403221192,58,28,58Ni
48,5.224890056656331,58,28,58Ni
49,5.256591159857511,58,28,58Ni
50,5.28785113465448,58,28,58Ni
52,5.318684591694329,58,28,58Ni
52,5.349105387794153,58,28,58Ni
54,5.37912667823934,58,28,58Ni
55,5.408760964557766,58,28,58Ni
56,5.438020138235949,58,28,58Ni
57,5.4669155207877544,58,28,58Ni
58,5.495457900538354,58,28,58Ni
59,5.523657566444356,58,28,58Ni
60,5.551524339234882,58,28,58Ni
61,5.579067600126672,58,28,58Ni
62,5.606296317338721,58,28,58Ni
63,5.63321907060762,58,28,58Ni
63,5.6598440738836056,58,28,58Ni
64,5.6861791963684345,58,28,58Ni
66,5.712231982039841,58,28,58Ni
67,5.738009667792547,58,28,58Ni
