Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.16133691416156407,59,26,59Fe
2,0.2940974060681855,59,26,59Fe
3,0.4178539605578859,59,26,59Fe
4,0.5361034993480794,59,26,59Fe
5,0.6504198553622244,59,26,59Fe
6,0.7616965190764055,59,26,59Fe
7,0.8705073675519672,59,26,59Fe
7,0.9772509246362473,59,26,59Fe
9,1.0822193622661178,59,26,59Fe
10,1.1856356204118201,59,26,59Fe
11,1.2876751256975876,59,26,59Fe
12,1.3884793299517846,59,26,59Fe
12,1.488164579171186,59,26,59Fe
13,1.5868281607512569,59,26,59Fe
15,1.684552565052965,59,26,59Fe
16,1.7814085729038094,59,26,59Fe
17,1.8774575458644693,59,26,59Fe
17,1.9727531600146089,59,26,59Fe
18,2.0673427419320913,59,26,59Fe
20,2.1612683143051616,59,26,59Fe
21,2.2545674256677035,59,26,59Fe
21,2.3472738169948517,59,26,59Fe
22,2.439417963197836,59,26,59Fe
23,2.5310275174173023,59,26,59Fe
25,2.622127678888015,59,26,59Fe
26,2.712741500054458,59,26,59Fe
27,2.802890144920466,59,26,59Fe
28,2.8925931078956624,59,26,59Fe
29,2.9818684003741045,59,26,59Fe
29,3.0707327107512743,59,26,59Fe
30,3.1592015424200266,59,26,59Fe
32,3.2472893333883497,59,26,59Fe
33,3.335009560464215,59,26,59Fe
34,3.4223748304058246,59,26,59Fe
35,3.5093969600032686,59,26,59Fe
36,3.5960870467134036,59,26,59Fe
37,3.682455531193687,59,26,59Fe
37,3.7685122528577835,59,26,59Fe
38,3.85426649939473,59,26,59Fe
39,3.939727051045426,59,26,59Fe
40,4.024902220308632,59,26,59Fe
42,4.109799887648171,59,26,59Fe
42,4.194427533689626,59,26,59Fe
44,4.278792268325248,59,26,59Fe
45,4.362900857087419,59,26,59Fe
46,4.4467597451020024,59,26,59Fe
47,4.5303750788914225,59,26,59Fe
47,4.613752726262085,59,26,59Fe
48,4.696898294480864,59,26,59Fe
49,4.77981714691971,59,26,59Fe
50,4.862514418325552,59,26,59Fe
52,4.944995028853729,59,26,59Fe
52,5.027263696986892,59,26,59Fe
54,5.109324951447294,59,26,59Fe
55,5.1911831421980095,59,26,59Fe
56,5.272842450618114,59,26,59Fe
57,5.354306898927425,59,26,59Fe
58,5.435580358928396,59,26,59Fe
59,5.516666560125492,59,26,59Fe
60,5.597569097276223,59,26,59Fe
61,5.67829143742239,59,26,59Fe
62,5.758836926445236,59,26,59Fe
63,5.839208795183976,59,26,59Fe
63,5.91941016515313,59,26,59Fe
64,5.999444053890935,59,26,59Fe
66,6.079313379967876,59,26,59Fe
67,6.159020967681765,59,26,59Fe
68,6.238569551463412,59,26,59Fe
68,6.317961780014655,59,26,59Fe
70,6.3972002201987035,59,26,59Fe
70,6.476287360700887,59,26,59Fe
72,6.555225615476474,59,26,59Fe
73,6.63401732700066,59,26,59Fe
74,6.712664769334686,59,26,59Fe
75,6.791170151020767,59,26,59Fe
76,6.869535617817619,59,26,59Fe
77,6.947763255287293,59,26,59Fe
77,7.025855091243223,59,26,59Fe
78,7.1038130980686365,59,26,59Fe
79,7.181639194913741,59,26,59Fe
81,7.259335249779447,59,26,59Fe
82,7.33690308149485,59,26,59Fe
