Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.9011175059116248,74,32,74Ge
2,1.1340352177673332,74,32,74Ge
3,1.29727542214569,74,32,74Ge
4,1.427156687890079,74,32,74Ge
5,1.536790279028426,74,32,74Ge
6,1.6325906512812518,74,32,74Ge
7,1.718233183721605,74,32,74Ge
7,1.7960431738613425,74,32,74Ge
9,1.8675960791603212,74,32,74Ge
10,1.9340144734815983,74,32,74Ge
11,1.996129785276261,74,32,74Ge
12,2.054576992017976,74,32,74Ge
12,2.1098532854656145,74,32,74Ge
13,2.162356107714866,74,32,74Ge
15,2.21240875346119,74,32,74Ge
16,2.260278152879579,74,32,74Ge
17,2.306187557935749,74,32,74Ge
17,2.35032580372454,74,32,74Ge
18,2.3928542065293565,74,32,74Ge
20,2.433911793091917,74,32,74Ge
21,2.473619327262059,74,32,74Ge
21,2.5120824541606788,74,32,74Ge
22,2.549394186212129,74,32,74Ge
23,2.5856368911685137,74,32,74Ge
25,2.6208838982958222,74,32,74Ge
26,2.655200808267036,74,32,74Ge
27,2.688646570614899,74,32,74Ge
28,2.721274376999446,74,32,74Ge
29,2.7531324071749967,74,32,74Ge
29,2.7842644561471594,74,32,74Ge
30,2.8147104647407923,74,32,74Ge
32,2.8445069710663495,74,32,74Ge
33,2.873687496762281,74,32,74Ge
34,2.902282879112629,74,32,74Ge
35,2.930321557981578,74,32,74Ge
36,2.95782982481792,74,32,74Ge
37,2.9848320396503523,74,32,74Ge
37,3.0113508209362516,74,32,74Ge
38,3.037407212280157,74,32,74Ge
39,3.063020829356929,74,32,74Ge
40,3.0882099898228588,74,32,74Ge
42,3.1129918285487457,74,32,74Ge
42,3.137382400141137,74,32,74Ge
44,3.1613967704151915,74,32,74Ge
45,3.1850490982323283,74,32,74Ge
46,3.208352708907848,74,32,74Ge
47,3.2313201602202204,74,32,74Ge
47,3.25396330190827,74,32,74Ge
48,3.276293329420265,74,32,74Ge
49,3.2983208325755133,74,32,74Ge
50,3.3200558397115936,74,32,74Ge
52,3.3415078578158424,74,32,74Ge
52,3.3626859090761485,74,32,74Ge
54,3.3835985642317405,74,32,74Ge
55,3.4042539730578807,74,32,74Ge
56,3.424659892278118,74,32,74Ge
57,3.444823711163034,74,32,74Ge
58,3.4647524750442464,74,32,74Ge
59,3.48445290694627,74,32,74Ge
60,3.5039314275161257,74,32,74Ge
61,3.523194173410605,74,32,74Ge
62,3.5422470142837996,74,32,74Ge
63,3.561095568502182,74,32,74Ge
63,3.5797452177011477,74,32,74Ge
64,3.5982011202851214,74,32,74Ge
66,3.6164682239628827,74,32,74Ge
67,3.634551277400582,74,32,74Ge
68,3.652454841066733,74,32,74Ge
68,3.6701832973362083,74,32,74Ge
70,3.6877408599138404,74,32,74Ge
70,3.705131582632448,74,32,74Ge
72,3.722359367675039,74,32,74Ge
73,3.7394279732662863,74,32,74Ge
74,3.756341020874329,74,32,74Ge
75,3.773102001960223,74,32,74Ge
76,3.789714284309107,74,32,74Ge
77,3.8061811179741136,74,32,74Ge
77,3.822505640861461,74,32,74Ge
78,3.8386908839826366,74,32,74Ge
79,3.854739776397516,74,32,74Ge
81,3.8706551498701818,74,32,74Ge
82,3.886439743257507,74,32,74Ge
