Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.8845004900132403,80,34,80Se
2,1.1535490453957493,80,34,80Se
3,1.3474245658386625,80,34,80Se
4,1.5044371542558732,80,34,80Se
5,1.6387193753426956,80,34,80Se
6,1.7572859927332594,80,34,80Se
7,1.8642010203356256,80,34,80Se
7,1.9620588826624414,80,34,80Se
9,2.052630813803541,80,34,80Se
10,2.1371872513827417,80,34,80Se
11,2.216674648645087,80,34,80Se
12,2.291819622818331,80,34,80Se
12,2.363193825766736,80,34,80Se
13,2.431256208124602,80,34,80Se
15,2.496381593660263,80,34,80Se
16,2.5588806073715458,80,34,80Se
17,2.619013945760879,80,34,80Se
17,2.677002831030123,80,34,80Se
18,2.7330368231333293,80,34,80Se
20,2.787279760158893,80,34,80Se
21,2.8398743458289344,80,34,80Se
21,2.8909457414310995,80,34,80Se
22,2.9406044132927263,80,34,80Se
23,2.988948415485623,80,34,80Se
25,3.0360652384526734,80,34,80Se
26,3.082033320023984,80,34,80Se
27,3.1269232909920675,80,34,80Se
28,3.170799009905175,80,34,80Se
29,3.2137184289458145,80,34,80Se
29,3.2557343232983498,80,34,80Se
30,3.2968949093276003,80,34,80Se
32,3.3372443715333118,80,34,80Se
33,3.3768233141526762,80,34,80Se
34,3.415669150127201,80,34,80Se
35,3.45381643769568,80,34,80Se
36,3.491297172950454,80,34,80Se
37,3.5281410451736597,80,34,80Se
37,3.564375660560336,80,34,80Se
38,3.600026738966179,80,34,80Se
39,3.635118287536566,80,34,80Se
40,3.6696727544399868,80,34,80Se
42,3.7037111654124777,80,34,80Se
42,3.7372532453960896,80,34,80Se
44,3.7703175272054756,80,34,80Se
45,3.8029214488676617,80,34,80Se
46,3.835081441039761,80,34,80Se
47,3.866813005708542,80,34,80Se
47,3.898130787207326,80,34,80Se
48,3.9290486364437927,80,34,80Se
49,3.9595796691123075,80,34,80Se
50,3.9897363185626156,80,34,80Se
52,4.019530383910064,80,34,80Se
52,4.048973073898435,80,34,80Se
54,4.078075046963106,80,34,80Se
55,4.106846447887542,80,34,80Se
56,4.135296941399263,80,34,80Se
57,4.163435743010589,80,34,80Se
58,4.191271647374303,80,34,80Se
59,4.218813054393673,80,34,80Se
60,4.246067993299549,80,34,80Se
61,4.273044144883927,80,34,80Se
62,4.299748862058888,80,34,80Se
63,4.326189188891945,80,34,80Se
63,4.352371878252958,80,34,80Se
64,4.378303408193942,80,34,80Se
66,4.403989997170743,80,34,80Se
67,4.429437618204719,80,34,80Se
68,4.454652012072896,80,34,80Se
68,4.479638699606482,80,34,80Se
70,4.504402993170032,80,34,80Se
70,4.528950007386724,80,34,80Se
72,4.553284669169136,80,34,80Se
73,4.577411727109468,80,34,80Se
74,4.60133576027834,80,34,80Se
75,4.625061186476802,80,34,80Se
76,4.648592269982428,80,34,80Se
77,4.671933128826675,80,34,80Se
77,4.695087741637592,80,34,80Se
78,4.718059954079066,80,34,80Se
79,4.74085348491516,80,34,80Se
81,4.763471931725802,80,34,80Se
82,4.785918776297875,80,34,80Se
83,4.808197389713884,80,34,80Se
83,4.830311037158597,80,34,80Se
84,4.852262882462429,80,34,80Se
85,4.874055992398931,80,34,80Se
86,4.895693340752363,80,34,80Se
88,4.917177812170159,80,34,80Se
89,4.938512205813973,80,34,80Se
90,4.959699238821952,80,34,80Se
91,4.980741549594003,80,34,80Se
92,5.001641700910927,80,34,80Se
92,5.022402182897537,80,34,80Se
93,5.043025415839154,80,34,80Se
95,5.063513752860208,80,34,80Se
96,5.083869482473075,80,34,80Se
96,5.104094831004718,80,34,80Se
98,5.124191964908197,80,34,80Se
99,5.144162992965593,80,34,80Se
100,5.164009968388537,80,34,80Se
101,5.18373489082204,80,34,80Se
101,5.20333970825699,80,34,80Se
102,5.222826318856352,80,34,80Se
103,5.242196572699756,80,34,80Se
105,5.261452273450832,80,34,80Se
106,5.280595179951475,80,34,80Se
107,5.299627007746852,80,34,80Se
108,5.318549430544802,80,34,80Se
109,5.337364081613004,80,34,80Se
109,5.356072555117161,80,34,80Se
111,5.374676407403147,80,34,80Se
111,5.393177158225966,80,34,80Se
112,5.411576291928222,80,34,80Se
114,5.429875258570534,80,34,80Se
115,5.448075475016297,80,34,80Se
116,5.466178325973027,80,34,80Se
117,5.484185164992356,80,34,80Se
118,5.502097315430653,80,34,80Se
118,5.519916071372192,80,34,80Se
119,5.537642698516561,80,34,80Se
121,5.555278435032032,80,34,80Se
122,5.572824492376443,80,34,80Se
123,5.590282056087107,80,34,80Se
124,5.607652286541124,80,34,80Se
124,5.624936319687467,80,34,80Se
126,5.6421352677520975,80,34,80Se
126,5.6592502199172845,80,34,80Se
127,5.676282242976314,80,34,80Se
128,5.693232381964626,80,34,80Se
130,5.710101660768413,80,34,80Se
131,5.72689108271166,80,34,80Se
132,5.743601631122546,80,34,80Se
133,5.7602342698800815,80,34,80Se
134,5.776789943941795,80,34,80Se
135,5.793269579853305,80,34,80Se
135,5.809674086240497,80,34,80Se
136,5.8260043542850095,80,34,80Se
138,5.842261258183768,80,34,80Se
138,5.8584456555931395,80,34,80Se
140,5.874558388058401,80,34,80Se
140,5.890600281429049,80,34,80Se
141,5.906572146260566,80,34,80Se
143,5.922474778203123,80,34,80Se
144,5.9383089583777755,80,34,80Se
144,5.95407545374063,80,34,80Se
146,5.969775017435429,80,34,80Se
146,5.985408389135,80,34,80Se
148,6.000976295372035,80,34,80Se
149,6.016479449859526,80,34,80Se
150,6.031918553801346,80,34,80Se
150,6.047294296193237,80,34,80Se
152,6.062607354114658,80,34,80Se
153,6.07785839301175,80,34,80Se
154,6.093048066971806,80,34,80Se
154,6.108177018989514,80,34,80Se
156,6.123245881225298,80,34,80Se
156,6.138255275256002,80,34,80Se
158,6.15320581231826,80,34,80Se
158,6.1680980935447165,80,34,80Se
159,6.1829327101934455,80,34,80Se
160,6.197710243870735,80,34,80Se
161,6.212431266747508,80,34,80Se
162,6.2270963417695775,80,34,80Se
164,6.241706022861972,80,34,80Se
165,6.256260855127497,80,34,80Se
165,6.270761375039778,80,34,80Se
167,6.285208110630925,80,34,80Se
168,6.2996015816740165,80,34,80Se
168,6.313942299860597,80,34,80Se
170,6.3282307689733175,80,34,80Se
170,6.342467485053891,80,34,80Se
171,6.356652936566554,80,34,80Se
173,6.370787604557097,80,34,80Se
174,6.384871962807707,80,34,80Se
175,6.398906477987677,80,34,80Se
176,6.41289160980017,80,34,80Se
177,6.426827811125108,80,34,80Se
178,6.440715528158372,80,34,80Se
179,6.454555200547391,80,34,80Se
179,6.468347261523218,80,34,80Se
181,6.482092138029254,80,34,80Se
181,6.495790250846668,80,34,80Se
