Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,2.1595967778264042,88,38,88Sr
2,2.5174070157962487,88,38,88Sr
3,2.7535989691050196,88,38,88Sr
4,2.9345006198604318,88,38,88Sr
5,3.0829637992390997,88,38,88Sr
6,3.2098257576079354,88,38,88Sr
7,3.321150190122213,88,38,88Sr
7,3.420699884415604,88,38,88Sr
9,3.5109828651845296,88,38,88Sr
10,3.5937610100815913,88,38,88Sr
11,3.670322978701232,88,38,88Sr
12,3.7416419419825875,88,38,88Sr
12,3.8084721746247037,88,38,88Sr
13,3.8714110314341115,88,38,88Sr
15,3.930940269283581,88,38,88Sr
16,3.9874544990886553,88,38,88Sr
17,4.041281320160917,88,38,88Sr
17,4.0926959087482135,88,38,88Sr
18,4.1419318078085405,88,38,88Sr
20,4.189189052680479,88,38,88Sr
21,4.234640389197035,88,38,88Sr
21,4.278436100520699,88,38,88Sr
22,4.320707802369517,88,38,88Sr
23,4.361571461884084,88,38,88Sr
25,4.401129824330014,88,38,88Sr
26,4.439474382581108,88,38,88Sr
27,4.476686989618504,88,38,88Sr
28,4.512841189442929,88,38,88Sr
29,4.548003323773598,88,38,88Sr
29,4.582233458660003,88,38,88Sr
30,4.61558616528018,88,38,88Sr
32,4.64811118179071,88,38,88Sr
33,4.679853977466243,88,38,88Sr
34,4.710856236051118,88,38,88Sr
35,4.741156271907478,88,38,88Sr
36,4.770789389940247,88,38,88Sr
37,4.7997881982326165,88,38,88Sr
37,4.828182880704877,88,38,88Sr
38,4.856001435817439,88,38,88Sr
39,4.883269886302078,88,38,88Sr
40,4.910012464068515,88,38,88Sr
42,4.936251773753889,88,38,88Sr
42,4.962008937827862,88,38,88Sr
44,4.987303725710841,88,38,88Sr
45,5.012154668987363,88,38,88Sr
46,5.036579164485559,88,38,88Sr
47,5.060593566734798,88,38,88Sr
47,5.084213271097171,88,38,88Sr
48,5.107452788686946,88,38,88Sr
49,5.130325814039109,88,38,88Sr
50,5.152845286358815,88,38,88Sr
52,5.175023445073765,88,38,88Sr
52,5.196871880318114,88,38,88Sr
54,5.218401578896644,88,38,88Sr
55,5.239622966209526,88,38,88Sr
56,5.260545944559252,88,38,88Sr
57,5.281179928210506,88,38,88Sr
58,5.301533875530091,88,38,88Sr
59,5.321616318495905,88,38,88Sr
60,5.341435389831024,88,38,88Sr
61,5.360998847990235,88,38,88Sr
62,5.380314100201176,88,38,88Sr
63,5.399388223740322,88,38,88Sr
63,5.418227985604778,88,38,88Sr
64,5.436839860723845,88,38,88Sr
66,5.45523004883947,88,38,88Sr
67,5.473404490171425,88,38,88Sr
68,5.491368879971478,88,38,88Sr
68,5.509128682060424,88,38,88Sr
70,5.526689141432718,88,38,88Sr
70,5.54405529600524,88,38,88Sr
72,5.561231987579531,88,38,88Sr
73,5.578223872080236,88,38,88Sr
74,5.595035429126806,88,38,88Sr
75,5.611670970990235,88,38,88Sr
76,5.6281346509819725,88,38,88Sr
