Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.40310411587722633,91,39,91Y
2,0.6122933420152767,91,39,91Y
3,0.7819067772415559,91,39,91Y
4,0.9300404583078509,91,39,91Y
5,1.0640092651752069,91,39,91Y
6,1.1876740894589175,91,39,91Y
7,1.3033795858548745,91,39,91Y
7,1.4126811362059464,91,39,91Y
9,1.516675678108144,91,39,91Y
10,1.6161725054372047,91,39,91Y
11,1.711789747024966,91,39,91Y
12,1.8040126826222649,91,39,91Y
12,1.893230910749655,91,39,91Y
13,1.979763071386329,91,39,91Y
15,2.0638738795256844,91,39,91Y
16,2.1457862125945733,91,39,91Y
17,2.225689906253291,91,39,91Y
17,2.3037482951053794,91,39,91Y
18,2.3801031691467114,91,39,91Y
20,2.4548785925290417,91,39,91Y
21,2.5281838893667192,91,39,91Y
21,2.6001160091171758,91,39,91Y
22,2.670761422675281,91,39,91Y
23,2.740197658555179,91,39,91Y
25,2.808494559563101,91,39,91Y
26,2.8757153199164915,91,39,91Y
27,2.9419173481011556,91,39,91Y
28,3.007152990089448,91,39,91Y
29,3.0714701396771282,91,39,91Y
29,3.1349127568265773,91,39,91Y
30,3.1975213104740687,91,39,91Y
32,3.2593331588804575,91,39,91Y
33,3.3203828780033713,91,39,91Y
34,3.3807025463479934,91,39,91Y
35,3.440321993170101,91,39,91Y
36,3.4992690156547224,91,39,91Y
37,3.5575695696992007,91,39,91Y
37,3.6152479381328093,91,39,91Y
38,3.672326879562856,91,39,91Y
39,3.728827760516261,91,39,91Y
40,3.784770673120575,91,39,91Y
42,3.840174540219782,91,39,91Y
42,3.895057209532719,91,39,91Y
44,3.949435538223742,91,39,91Y
45,4.003325469056878,91,39,91Y
46,4.056742099138933,91,39,91Y
47,4.1096997421176535,91,39,91Y
47,4.162211984583648,91,39,91Y
48,4.214291737325322,91,39,91Y
49,4.265951282001695,91,39,91Y
50,4.317202313725842,91,39,91Y
52,4.3680559799902445,91,39,91Y
52,4.418522916312339,91,39,91Y
54,4.468613278933141,91,39,91Y
55,4.518336774862452,91,39,91Y
56,4.5677026895302,91,39,91Y
57,4.616719912273808,91,39,91Y
58,4.665396959865886,91,39,91Y
59,4.713741998263992,91,39,91Y
60,4.761762862744594,91,39,91Y
61,4.809467076566136,91,39,91Y
62,4.856861868290944,91,39,91Y
63,4.903954187882395,91,39,91Y
63,4.950750721681904,91,39,91Y
64,4.997257906360003,91,39,91Y
66,5.043481941926372,91,39,91Y
67,5.0894288038756015,91,39,91Y
68,5.135104254538112,91,39,91Y
68,5.180513853699107,91,39,91Y
70,5.2256629685427285,91,39,91Y
70,5.270556782973204,91,39,91Y
72,5.315200306360317,91,39,91Y
73,5.359598381752172,91,39,91Y
74,5.403755693594585,91,39,91Y
75,5.447676774992936,91,39,91Y
76,5.491366014549381,91,39,91Y
77,5.534827662805484,91,39,91Y
77,5.578065838317844,91,39,91Y
78,5.621084533392058,91,39,91Y
79,5.663887619498328,91,39,91Y
81,5.706478852390096,91,39,91Y
82,5.748861876945493,91,39,91Y
83,5.791040231749773,91,39,91Y
83,5.833017353435531,91,39,91Y
84,5.874796580796286,91,39,91Y
85,5.916381158687704,91,39,91Y
86,5.957774241729828,91,39,91Y
88,5.998978897822602,91,39,91Y
89,6.039998111486123,91,39,91Y
90,6.080834787036205,91,39,91Y
91,6.121491751605165,91,39,91Y
92,6.161971758016914,91,39,91Y
92,6.202277487524965,91,39,91Y
93,6.242411552421218,91,39,91Y
95,6.2823764985229875,91,39,91Y
96,6.322174807545143,91,39,91Y
96,6.361808899363824,91,39,91Y
98,6.401281134177743,91,39,91Y
99,6.440593814572694,91,39,91Y
100,6.479749187494563,91,39,91Y
101,6.518749446135748,91,39,91Y
101,6.557596731739601,91,39,91Y
102,6.596293135327246,91,39,91Y
103,6.634840699350798,91,39,91Y
105,6.673241419276845,91,39,91Y
106,6.711497245103708,91,39,91Y
107,6.749610082815896,91,39,91Y
108,6.787581795778917,91,39,91Y
109,6.825414206077357,91,39,91Y
109,6.8631090957991265,91,39,91Y
111,6.900668208268438,91,39,91Y
111,6.938093249230005,91,39,91Y
112,6.975385887986901,91,39,91Y
114,7.012547758494138,91,39,91Y
115,7.049580460410181,91,39,91Y
116,7.086485560108321,91,39,91Y
117,7.123264591649772,91,39,91Y
118,7.159919057720258,91,39,91Y
118,7.196450430531755,91,39,91Y
119,7.232860152690982,91,39,91Y
121,7.269149638036087,91,39,91Y
122,7.30532027244302,91,39,91Y
123,7.341373414602871,91,39,91Y
