Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.4844032884575458,96,40,96Zr
2,1.7728865701214518,96,40,96Zr
3,1.966973675563034,96,40,96Zr
4,2.1174345374719907,96,40,96Zr
5,2.2420226630214253,96,40,96Zr
6,2.349241099305115,96,40,96Zr
7,2.4438835301428026,96,40,96Zr
7,2.528942965692429,96,40,96Zr
9,2.606424730019456,96,40,96Zr
10,2.677743912376343,96,40,96Zr
11,2.7439396529380113,96,40,96Zr
12,2.805799493521206,96,40,96Zr
12,2.8639358091987996,96,40,96Zr
13,2.918835011497009,96,40,96Zr
15,2.970890453066388,96,40,96Zr
16,3.0204251468198313,96,40,96Zr
17,3.0677078846204986,96,40,96Zr
17,3.112964944105945,96,40,96Zr
18,3.156388766450187,96,40,96Zr
20,3.198144505196754,96,40,96Zr
21,3.2383750476112168,96,40,96Zr
21,3.277204919811554,96,40,96Zr
22,3.31474336272513,96,40,96Zr
23,3.35108678294981,96,40,96Zr
25,3.386320726037281,96,40,96Zr
26,3.4205214804491995,96,40,96Zr
27,3.4537573927177303,96,40,96Zr
28,3.4860899544762365,96,40,96Zr
29,3.517574707589522,96,40,96Zr
29,3.5482620029873866,96,40,96Zr
30,3.5781976408918927,96,40,96Zr
32,3.607423414170874,96,40,96Zr
33,3.6359775720188314,96,40,96Zr
34,3.663895217687614,96,40,96Zr
35,3.691208651294817,96,40,96Zr
36,3.717947666633822,96,40,96Zr
37,3.7441398092537046,96,40,96Zr
37,3.769810601764776,96,40,96Zr
38,3.7949837412782506,96,40,96Zr
39,3.819681273047248,96,40,96Zr
40,3.843923743696589,96,40,96Zr
42,3.8677303368764027,96,40,96Zr
42,3.8911189937231176,96,40,96Zr
44,3.914106520140616,96,40,96Zr
45,3.9367086826082915,96,40,96Zr
46,3.9589402939689573,96,40,96Zr
47,3.980815290438188,96,40,96Zr
47,4.002346800899812,96,40,96Zr
48,4.023547209403843,96,40,96Zr
49,4.044428211657873,96,40,96Zr
50,4.065000866197056,96,40,96Zr
52,4.085275640827826,96,40,96Zr
52,4.105262454863827,96,40,96Zr
54,4.124970717607022,96,40,96Zr
55,4.14440936347071,96,40,96Zr
56,4.163586884092911,96,40,96Zr
57,4.182511357746808,96,40,96Zr
58,4.201190476318939,96,40,96Zr
59,4.219631570094516,96,40,96Zr
60,4.237841630562039,96,40,96Zr
61,4.255827331425738,96,40,96Zr
62,4.273595047993544,96,40,96Zr
63,4.291150875090256,96,40,96Zr
63,4.308500643629592,96,40,96Zr
64,4.325649935964795,96,40,96Zr
66,4.342604100125147,96,40,96Zr
67,4.359368263034817,96,40,96Zr
68,4.375947342800812,96,40,96Zr
68,4.392346060148259,96,40,96Zr
70,4.408568949073613,96,40,96Zr
70,4.424620366779638,96,40,96Zr
72,4.440504502949981,96,40,96Zr
73,4.456225388415742,96,40,96Zr
74,4.471786903261656,96,40,96Zr
75,4.487192784415158,96,40,96Zr
76,4.5024466327577715,96,40,96Zr
77,4.517551919794709,96,40,96Zr
77,4.532511993915525,96,40,96Zr
78,4.547330086275768,96,40,96Zr
79,4.562009316327079,96,40,96Zr
81,4.576552697020847,96,40,96Zr
82,4.590963139708487,96,40,96Zr
83,4.6052434587594755,96,40,96Zr
83,4.619396375916614,96,40,96Zr
84,4.633424524406382,96,40,96Zr
85,4.647330452820882,96,40,96Zr
86,4.661116628786566,96,40,96Zr
88,4.674785442433741,96,40,96Zr
89,4.688339209679835,96,40,96Zr
90,4.701780175338356,96,40,96Zr
91,4.7151105160646685,96,40,96Zr
92,4.72833234314879,96,40,96Zr
92,4.741447705164794,96,40,96Zr
93,4.754458590485558,96,40,96Zr
95,4.767366929671118,96,40,96Zr
96,4.780174597738216,96,40,96Zr
96,4.792883416318121,96,40,96Zr
98,4.805495155709319,96,40,96Zr
99,4.818011536831206,96,40,96Zr
100,4.830434233084519,96,40,96Zr
101,4.842764872123828,96,40,96Zr
101,4.855005037547076,96,40,96Zr
102,4.867156270506828,96,40,96Zr
103,4.879220071247574,96,40,96Zr
105,4.891197900573156,96,40,96Zr
106,4.903091181248122,96,40,96Zr
107,4.9149012993365915,96,40,96Zr
108,4.926629605481969,96,40,96Zr
109,4.938277416130615,96,40,96Zr
109,4.949846014702464,96,40,96Zr
111,4.961336652711322,96,40,96Zr
111,4.9727505508374215,96,40,96Zr
112,4.9840888999547435,96,40,96Zr
114,4.995352862115293,96,40,96Zr
115,5.0065435714925925,96,40,96Zr
116,5.017662135286367,96,40,96Zr
117,5.028709634590334,96,40,96Zr
118,5.039687125224943,96,40,96Zr
118,5.050595638536725,96,40,96Zr
119,5.061436182165878,96,40,96Zr
121,5.0722097407836015,96,40,96Zr
122,5.082917276800617,96,40,96Zr
123,5.093559731048212,96,40,96Zr
124,5.104138023433102,96,40,96Zr
124,5.114653053567314,96,40,96Zr
126,5.125105701374235,96,40,96Zr
126,5.135496827671899,96,40,96Zr
127,5.145827274734575,96,40,96Zr
128,5.156097866833574,96,40,96Zr
130,5.166309410758244,96,40,96Zr
131,5.176462696317991,96,40,96Zr
132,5.186558496826192,96,40,96Zr
133,5.196597569566747,96,40,96Zr
134,5.206580656244045,96,40,96Zr
135,5.216508483417041,96,40,96Zr
135,5.226381762918127,96,40,96Zr
136,5.236201192257421,96,40,96Zr
138,5.2459674550131075,96,40,96Zr
138,5.255681221208384,96,40,96Zr
140,5.2653431476755905,96,40,96Zr
140,5.274953878408004,96,40,96Zr
141,5.284514044899882,96,40,96Zr
143,5.294024266475109,96,40,96Zr
144,5.303485150605021,96,40,96Zr
144,5.312897293215763,96,40,96Zr
146,5.322261278985622,96,40,96Zr
146,5.331577681632719,96,40,96Zr
148,5.340847064193449,96,40,96Zr
149,5.350069979292006,96,40,96Zr
150,5.359246969401361,96,40,96Zr
150,5.368378567095999,96,40,96Zr
152,5.377465295296739,96,40,96Zr
153,5.38650766750792,96,40,96Zr
154,5.395506188047282,96,40,96Zr
154,5.404461352268735,96,40,96Zr
156,5.413373646778377,96,40,96Zr
156,5.422243549643912,96,40,96Zr
158,5.431071530597801,96,40,96Zr
158,5.439858051234283,96,40,96Zr
159,5.448603565200564,96,40,96Zr
160,5.4573085183823355,96,40,96Zr
161,5.465973349083848,96,40,96Zr
162,5.474598488202711,96,40,96Zr
164,5.48318435939963,96,40,96Zr
165,5.491731379263232,96,40,96Zr
165,5.500239957470188,96,40,96Zr
167,5.50871049694073,96,40,96Zr
168,5.517143393989791,96,40,96Zr
168,5.5255390384738865,96,40,96Zr
170,5.533897813933863,96,40,96Zr
170,5.5422200977336775,96,40,96Zr
171,5.550506261195357,96,40,96Zr
173,5.558756669730214,96,40,96Zr
174,5.566971682966479,96,40,96Zr
175,5.575151654873485,96,40,96Zr
176,5.583296933882456,96,40,96Zr
177,5.591407863004074,96,40,96Zr
178,5.599484779942889,96,40,96Zr
179,5.607528017208686,96,40,96Zr
179,5.6155379022249186,96,40,96Zr
181,5.623514757434273,96,40,96Zr
