Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.8323886868396341,98,42,98Mo
2,1.0506232509722537,98,42,98Mo
3,1.2039235409571927,98,42,98Mo
4,1.3260742642651564,98,42,98Mo
5,1.429293720167823,98,42,98Mo
6,1.5195666213639445,98,42,98Mo
7,1.6003252348913506,98,42,98Mo
7,1.6737426596252019,98,42,98Mo
9,1.7412921576025087,98,42,98Mo
10,1.8040240558510248,98,42,98Mo
11,1.8627166477528088,98,42,98Mo
12,1.9179645867939186,98,42,98Mo
12,1.970233672714541,98,42,98Mo
13,2.0198963867206055,98,42,98Mo
15,2.067255819136141,98,42,98Mo
16,2.112562294692935,98,42,98Mo
17,2.1560252366904433,98,42,98Mo
17,2.1978218306387114,98,42,98Mo
18,2.2381034788797907,98,42,98Mo
20,2.2770006949355714,98,42,98Mo
21,2.314626873160199,98,42,98Mo
21,2.3510812328943,98,42,98Mo
22,2.386451146852949,98,42,98Mo
23,2.420814003464824,98,42,98Mo
25,2.454238711805981,98,42,98Mo
26,2.4867869291466604,98,42,98Mo
27,2.5185140708497955,98,42,98Mo
28,2.549470147775278,98,42,98Mo
29,2.579700465710341,98,42,98Mo
29,2.6092462134946772,98,42,98Mo
30,2.638144960643601,98,42,98Mo
32,2.6664310808434863,98,42,98Mo
33,2.694136114315692,98,42,98Mo
34,2.721289079444611,98,42,98Mo
35,2.747916742045986,98,42,98Mo
36,2.7740438490705914,98,42,98Mo
37,2.7996933322911204,98,42,98Mo
37,2.8248864865291137,98,42,98Mo
38,2.849643126186037,98,42,98Mo
39,2.873981723204486,98,42,98Mo
40,2.897919529068685,98,42,98Mo
42,2.9214726830325306,98,42,98Mo
42,2.944656308418773,98,42,98Mo
44,2.967484598549269,98,42,98Mo
45,2.989970893631612,98,42,98Mo
46,3.0121277497325614,98,42,98Mo
47,3.033967000806004,98,42,98Mo
47,3.055499814606885,98,42,98Mo
48,3.0767367432078765,98,42,98Mo
49,3.0976877687386435,98,42,98Mo
50,3.118362344885529,98,42,98Mo
52,3.13876943461958,98,42,98Mo
52,3.1589175445612545,98,42,98Mo
54,3.178814756339128,98,42,98Mo
55,3.1984687552560094,98,42,98Mo
56,3.2178868565382297,98,42,98Mo
57,3.237076029411109,98,42,98Mo
58,3.2560429192154476,98,42,98Mo
59,3.27479386775531,98,42,98Mo
60,3.293334932045947,98,42,98Mo
61,3.3116719016121454,98,42,98Mo
62,3.329810314470838,98,42,98Mo
63,3.3477554719176124,98,42,98Mo
63,3.3655124522240865,98,42,98Mo
64,3.383086123342053,98,42,98Mo
66,3.400481154700543,98,42,98Mo
67,3.417702028173265,98,42,98Mo
68,3.434753048286211,98,42,98Mo
68,3.4516383517284415,98,42,98Mo
70,3.4683619162229733,98,42,98Mo
70,3.4849275688093235,98,42,98Mo
72,3.501338993584406,98,42,98Mo
73,3.5175997389442393,98,42,98Mo
74,3.5337132243650093,98,42,98Mo
75,3.5496827467585756,98,42,98Mo
76,3.565511486434453,98,42,98Mo
77,3.5812025126974665,98,42,98Mo
77,3.596758789107748,98,42,98Mo
78,3.612183178427508,98,42,98Mo
79,3.6274784472769523,98,42,98Mo
81,3.642647270519855,98,42,98Mo
82,3.65769223539759,98,42,98Mo
83,3.67261584542897,98,42,98Mo
83,3.6874205240917783,98,42,98Mo
84,3.7021086183006795,98,42,98Mo
85,3.716682401695011,98,42,98Mo
86,3.731144077748934,98,42,98Mo
88,3.7454957827154813,98,42,98Mo
89,3.7597395884151252,98,42,98Mo
90,3.7738775048787523,98,42,98Mo
91,3.7879114828541627,98,42,98Mo
92,3.801843416184547,98,42,98Mo
92,3.8156751440668275,98,42,98Mo
93,3.8294084531971158,98,42,98Mo
95,3.8430450798100964,98,42,98Mo
96,3.856586711618619,98,42,98Mo
96,3.8700349896593833,98,42,98Mo
98,3.8833915100501692,98,42,98Mo
99,3.896657825663711,98,42,98Mo
100,3.909835447722977,98,42,98Mo
101,3.922925847322276,98,42,98Mo
101,3.935930456878355,98,42,98Mo
102,3.948850671515356,98,42,98Mo
103,3.961687850387239,98,42,98Mo
105,3.974443317941107,98,42,98Mo
106,3.987118365124577,98,42,98Mo
107,3.9997142505401846,98,42,98Mo
108,4.012232201549627,98,42,98Mo
109,4.024673415330458,98,42,98Mo
109,4.037039059887716,98,42,98Mo
111,4.049330275022759,98,42,98Mo
111,4.061548173261532,98,42,98Mo
112,4.073693840744284,98,42,98Mo
114,4.085768338078666,98,42,98Mo
115,4.097772701158013,98,42,98Mo
116,4.109707941946571,98,42,98Mo
117,4.1215750492331935,98,42,98Mo
118,4.133374989355108,98,42,98Mo
118,4.145108706893137,98,42,98Mo
119,4.15677712533977,98,42,98Mo
121,4.168381147741292,98,42,98Mo
122,4.179921657315287,98,42,98Mo
123,4.191399518044544,98,42,98Mo
124,4.202815575248541,98,42,98Mo
124,4.214170656133467,98,42,98Mo
126,4.225465570321784,98,42,98Mo
126,4.236701110362231,98,42,98Mo
127,4.247878052221157,98,42,98Mo
128,4.2589971557559885,98,42,98Mo
130,4.270059165171618,98,42,98Mo
131,4.281064809460467,98,42,98Mo
132,4.29201480282692,98,42,98Mo
133,4.30290984509679,98,42,98Mo
134,4.313750622112481,98,42,98Mo
135,4.324537806114394,98,42,98Mo
135,4.3352720561092255,98,42,98Mo
136,4.345954018225638,98,42,98Mo
138,4.356584326057876,98,42,98Mo
138,4.367163600997758,98,42,98Mo
140,4.377692452555606,98,42,98Mo
140,4.388171478670458,98,42,98Mo
141,4.39860126601008,98,42,98Mo
143,4.408982390261132,98,42,98Mo
144,4.4193154164098765,98,42,98Mo
144,4.429600899013846,98,42,98Mo
146,4.43983938246478,98,42,98Mo
146,4.450031401243155,98,42,98Mo
148,4.460177480164713,98,42,98Mo
149,4.470278134619167,98,42,98Mo
150,4.480333870801523,98,42,98Mo
150,4.490345185936162,98,42,98Mo
152,4.500312568494068,98,42,98Mo
153,4.5102364984033585,98,42,98Mo
154,4.520117447253448,98,42,98Mo
154,4.529955878493023,98,42,98Mo
156,4.539752247622067,98,42,98Mo
156,4.549507002378178,98,42,98Mo
158,4.559220582917342,98,42,98Mo
158,4.568893421989384,98,42,98Mo
159,4.578525945108304,98,42,98Mo
160,4.588118570717621,98,42,98Mo
161,4.597671710350968,98,42,98Mo
162,4.607185768788067,98,42,98Mo
164,4.61666114420623,98,42,98Mo
165,4.6260982283275895,98,42,98Mo
165,4.6354974065621475,98,42,98Mo
167,4.644859058146842,98,42,98Mo
168,4.6541835562807075,98,42,98Mo
168,4.663471268256306,98,42,98Mo
170,4.672722555587549,98,42,98Mo
170,4.681937774133989,98,42,98Mo
171,4.69111727422176,98,42,98Mo
173,4.700261400761225,98,42,98Mo
174,4.70937049336145,98,42,98Mo
175,4.7184448864416515,98,42,98Mo
176,4.727484909339635,98,42,98Mo
177,4.7364908864174,98,42,98Mo
178,4.745463137163941,98,42,98Mo
179,4.754401976295379,98,42,98Mo
179,4.763307713852489,98,42,98Mo
181,4.772180655295678,98,42,98Mo
