Z,A,Element,Temperature_MeV,Temperature_U,Black_Shift,Black_Shift_U,N_Lev_ENSDF,N_Max_Lev_Complete,Min_Lev_Complete,Num_Lev_Unique_Spin,E_Max_N_Max,E_Num_Lev_U_Spin,Chi,Fit,Flag,Nox,Xm_Ex,Sigma,Element_w_A
0,1,n,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,1n
1,1,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,1H
1,2,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,2H
1,3,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,3H
2,3,He,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,3He
3,3,Li,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,3Li
1,4,H,0.0,0.0,0.0,0.0,4,1,1,4,0.0,2.83,           ,  ,  ,0,            ,0.0,4H
2,4,He,0.0,0.0,0.0,0.0,16,1,1,16,0.0,29.89,           ,  ,  ,0,            ,0.0,4He
3,4,Li,0.0,0.0,0.0,0.0,4,1,1,4,0.0,2.85,           ,  ,  ,0,            ,0.0,4Li
1,5,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,5H
2,5,He,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,5He
3,5,Li,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,5Li
4,5,Be,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,5Be
1,6,H,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,           ,  ,  ,0,            ,0.0,6H
2,6,He,0.0,0.0,0.0,0.0,8,1,1,2,0.0,1.797,           ,  ,  ,0,            ,0.0,6He
