  1 |  0.000000 |  1.0|  1|  2.456E+01|  0| u|    |           |       1+  |2| AP 1.0000E+02 %B-     =  3.0000E-01 %EC                                                                                                                                                                                      0.000000       
  2 |  0.001112 |  2.0| -1|  6.600E-07|  1| u|    |           |       2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.001|  1.071E-03| | 1.000E+00  9.330E+02
  3 |  0.117590 |  6.0|  1|  2.159E+07|  1| u|    |           |       6+  |2| =  9.8670E+01 %B-     =  1.3300E+00 %IT                                                                                                                                                                                      0.000000       
    |           |     |   |           |   |  |   2|      0.116|  8.017E-05| | 1.330E-02  1.649E+02
  4 |  0.118719 |  3.0|  1|  3.660E-08|  2| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.118|  9.065E-01| | 1.000E+00  1.032E-01
    |           |     |   |           |   |  |   1|      0.119|  0.000E+00| | 0.000E+00  9.600E-01
  5 |  0.191622 |  3.0|  1|           |  2| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.073|  3.149E-01| | 6.395E-01  1.031E+00
    |           |     |   |           |   |  |   1|      0.191|  3.149E-01| | 3.605E-01  1.447E-01
  6 |  0.198689 |  2.0|  1|  8.000E-11|  2| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.198|  0.000E+00| | 0.000E+00  2.700E-02
    |           |     |   |           |   |  |   1|      0.199|  9.401E-01| | 1.000E+00  6.370E-02
  7 |  0.236859 |  1.0| -1|  2.400E-10|  1| u|    |           |       1-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.236|  9.611E-01| | 1.000E+00  4.050E-02
  8 |  0.237069 |  2.0|  1|  4.300E-10|  2| c|    |           | (1,2,3+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.236|  0.000E+00| | 0.000E+00  1.600E-02
    |           |     |   |           |   |  |   1|      0.237|  9.488E-01| | 1.000E+00  5.400E-02
  9 |  0.242090 |  6.0| -1|           |  1| u|    |           |     (6-)  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |   3|      0.125|  9.058E-01| | 1.000E+00  1.040E-01
 10 |  0.267229 |  2.0|  1|  8.000E-11|  3| c|    |           |    1+,2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.069|  7.078E-02| | 3.114E-01  3.400E+00
    |           |     |   |           |   |  |   2|      0.266|  5.445E-01| | 5.507E-01  1.140E-02
    |           |     |   |           |   |  |   1|      0.267|  1.339E-01| | 1.379E-01  2.920E-02
 11 |  0.269000 |  2.0| -1|           |  0| c|    |           | 1-,2-,3-  |0|                                                                                                                                                                                                                              0.000000       
 12 |  0.271470 |  2.0|  1|           |  2| c|    |           | 2+,3+,4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      0.080|  3.015E-01| | 9.044E-01  2.000E+00
