  1 |  0.000000 |  3.0| -1|  5.201E+06|  0| u|    |           |       3-  |1| =  1.0000E+02 %B-                                                                                                                                                                                                            0.000000       
  2 |  0.010863 |  5.0|  1|  9.300E+01|  1| u|    |           |       5+  |2| =  7.5000E+01 %IT     =  2.5000E+01 %B-                                                                                                                                                                                      0.000000       
    |           |     |   |           |   |  |   1|      0.011|  3.425E-05| | 7.500E-01  2.190E+04
  3 |  0.036844 |  8.0| -1|  1.212E+03|  1| u|    |           |     (8)-  |1| =  1.0000E+02 %IT                                                                                                                                                                                                            0.000000       
    |           |     |   |           |   |  |   2|      0.026|  3.367E-05| | 1.000E+00  2.970E+04
  4 |  0.040804 |  4.0|  1|  3.200E-06|  2| c|    |           |    3+,4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.030|  3.208E-03| | 4.460E-01  1.380E+02
    |           |     |   |           |   |  |   1|      0.041|  1.689E-01| | 5.540E-01  2.281E+00
  5 |  0.080764 |  3.0|  1|  4.000E-09|  2| c|    |           |    3+,4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.040|  9.960E-02| | 9.910E-01  8.950E+00
    |           |     |   |           |   |  |   1|      0.081|  6.673E-03| | 8.982E-03  3.460E-01
  6 |  0.087602 |  4.0| -1|           |  1| u|    |           |     (4)-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.088|  5.233E-01| | 1.000E+00  9.110E-01
  7 |  0.103651 |  2.0| -1|           |  1| c|    |           | 2-,3-,4-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.104|  6.390E-01| | 1.000E+00  5.650E-01
  8 |  0.125229 |  6.0| -1|  8.600E-08|  3| u|    |           |     (6)-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.038|  4.112E-03| | 2.500E-01  5.980E+01
    |           |     |   |           |   |  |   3|      0.088|  2.056E-01| | 7.340E-01  2.570E+00
    |           |     |   |           |   |  |   2|      0.114|  1.419E-02| | 1.603E-02  1.297E-01
  9 |  0.131693 |  5.0| -1|           |  1| c|    |           | 3-,4-,5-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.044|  1.299E-01| | 1.000E+00  6.700E+00
