  1 |  0.000000 |  1.5|  1| -1.000E+00|  0| u|    |           |     3/2+  |0|                                                                                                                                                                                                                              0.000000       
  2 |  0.840982 |  0.5|  1|  1.150E-12|  1| u|    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.841|  1.000E+00| | 1.000E+00  4.790E-05
  3 |  1.967190 |  2.5|  1|  9.400E-14|  2| u|    |           |     5/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.126|  6.975E-02| | 6.975E-02  3.880E-05
    |           |     |   |           |   |  |   1|      1.967|  9.300E-01| | 9.302E-01  2.610E-04
  4 |  2.313399 |  1.5|  1|  1.090E-13|  3| u|    |           |     3/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.346|  1.130E-02| | 1.131E-02  8.000E-04
    |           |     |   |           |   |  |   2|      1.472|  7.061E-01| | 7.061E-01  7.320E-05
    |           |     |   |           |   |  |   1|      2.313|  2.824E-01| | 2.825E-01  3.910E-04
  5 |  2.867626 |  2.5|  1|  1.080E-14|  4| u|    |           |     5/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.554|  1.913E-02| | 1.913E-02  1.800E-04
    |           |     |   |           |   |  |   3|      0.900|  9.564E-03| | 9.564E-03  5.200E-05
    |           |     |   |           |   |  |   2|      2.027|  1.435E-02| | 1.435E-02  3.360E-04
    |           |     |   |           |   |  |   1|      2.867|  9.564E-01| | 9.570E-01  6.160E-04
  6 |  2.934740 |  3.5| -1|  2.820E-11|  4| u|    |           |     7/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.621|  2.926E-02| | 2.927E-02  3.600E-04
    |           |     |   |           |   |  |   3|      0.968|  4.877E-01| | 4.877E-01  2.250E-05
    |           |     |   |           |   |  |   2|      2.094|  2.926E-02| | 2.927E-02  2.180E-04
    |           |     |   |           |   |  |   1|      2.935|  4.536E-01| | 4.538E-01  4.500E-04
  7 |  2.969180 |  3.5|  1|  5.900E-14|  4| u|    |           |     7/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.656|  1.538E-02| | 1.538E-02  1.560E-04
    |           |     |   |           |   |  |   3|      1.002|  8.456E-02| | 8.457E-02  3.350E-05
    |           |     |   |           |   |  |   2|      2.128|  1.307E-01| | 1.307E-01  1.241E-04
    |           |     |   |           |   |  |   1|      2.969|  7.688E-01| | 7.694E-01  7.770E-04
  8 |  3.220692 |  1.5| -1|  2.700E-14|  7| u|    |           |     3/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      0.252|  2.841E-02| | 2.875E-02  1.200E-02
    |           |     |   |           |   |  |   6|      0.286|  2.841E-02| | 2.849E-02  2.670E-03
    |           |     |   |           |   |  |   5|      0.353|  3.693E-03| | 3.694E-03  2.680E-04
    |           |     |   |           |   |  |   4|      0.907|  3.693E-03| | 3.693E-03  2.610E-05
    |           |     |   |           |   |  |   3|      1.254|  2.500E-03| | 2.500E-03  1.061E-04
    |           |     |   |           |   |  |   2|      2.380|  5.682E-01| | 5.687E-01  8.990E-04
    |           |     |   |           |   |  |   1|      3.220|  3.637E-01| | 3.641E-01  1.346E-03
  9 |  3.537200 |  2.5|  1|           |  1| g|    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.603|  9.999E-01| | 1.000E+00  6.510E-05
 10 |  3.779900 |  4.5|  1|           |  1| u|    |           |   (9/2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.845|  1.000E+00| | 1.000E+00  3.030E-05
 11 |  3.831600 |  2.5|  1|  3.000E-14|  8| u|    |           |     5/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.611|  3.789E-02| | 3.790E-02  6.290E-05
    |           |     |   |           |   |  |   7|      0.862|  9.000E-02| | 9.000E-02  5.700E-05
    |           |     |   |           |   |  |   6|      0.897|  7.579E-02| | 7.579E-02  2.680E-05
    |           |     |   |           |   |  |   5|      0.964|  4.737E-02| | 4.737E-02  4.400E-05
    |           |     |   |           |   |  |   4|      1.519|  1.468E-01| | 1.469E-01  1.000E-04
    |           |     |   |           |   |  |   3|      1.864|  6.158E-02| | 6.159E-02  2.300E-04
    |           |     |   |           |   |  |   2|      2.991|  6.631E-02| | 6.637E-02  7.820E-04
    |           |     |   |           |   |  |   1|      3.832|  4.737E-01| | 4.741E-01  9.930E-04
 12 |  3.934730 |  1.5|  1|  2.400E-14|  8| u|    |           |     3/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.714|  4.784E-02| | 4.784E-02  4.370E-05
    |           |     |   |           |   |  |   7|      0.966|  2.658E-02| | 2.658E-02  5.350E-05
    |           |     |   |           |   |  |   6|      1.000|  5.315E-02| | 5.316E-02  8.700E-05
    |           |     |   |           |   |  |   5|      1.067|  5.315E-02| | 5.316E-02  3.500E-05
    |           |     |   |           |   |  |   4|      1.621|  3.721E-02| | 3.721E-02  1.360E-04
    |           |     |   |           |   |  |   3|      1.968|  1.063E-01| | 1.063E-01  2.800E-04
    |           |     |   |           |   |  |   2|      3.094|  1.435E-01| | 1.436E-01  7.700E-04
    |           |     |   |           |   |  |   1|      3.935|  5.315E-01| | 5.321E-01  1.018E-03
 13 |  4.048560 |  4.5|  1|  2.110E-13|  9| u|    |           |     9/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.217|  1.682E-02| | 1.695E-02  7.670E-03
    |           |     |   |           |   |  |   8|      0.828|  1.682E-02| | 1.682E-02  1.860E-04
    |           |     |   |           |   |  |   7|      1.079|  8.409E-02| | 8.409E-02  3.020E-05
    |           |     |   |           |   |  |   6|      1.114|  2.486E-02| | 2.486E-02  3.330E-05
    |           |     |   |           |   |  |   5|      1.181|  1.682E-02| | 1.682E-02  3.960E-05
    |           |     |   |           |   |  |   4|      1.735|  2.486E-02| | 2.486E-02  6.810E-05
    |           |     |   |           |   |  |   3|      2.082|  7.312E-01| | 7.315E-01  3.640E-04
    |           |     |   |           |   |  |   2|      3.207|  5.045E-02| | 5.045E-02  9.530E-06
    |           |     |   |           |   |  |   1|      4.048|  3.364E-02| | 3.366E-02  6.280E-04
 14 |  4.055350 |  0.5|  1|  1.200E-14|  6| u|    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.835|  0.000E+00| | 0.000E+00  3.110E-05
    |           |     |   |           |   |  |   7|      1.086|  1.388E-01| | 1.388E-01  1.191E-04
    |           |     |   |           |   |  |   5|      1.188|  1.388E-01| | 1.388E-01  4.010E-05
    |           |     |   |           |   |  |   4|      1.742|  1.666E-01| | 1.666E-01  1.820E-04
    |           |     |   |           |   |  |   2|      3.214|  0.000E+00| | 0.000E+00  7.510E-04
    |           |     |   |           |   |  |   1|      4.055|  5.552E-01| | 5.558E-01  1.120E-03
 15 |  4.095090 |  3.5|  1|  3.100E-14|  9| u|    |           |     7/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.264|  1.750E-02| | 1.754E-02  2.100E-03
    |           |     |   |           |   |  |   8|      0.874|  1.184E-02| | 1.184E-02  1.300E-04
    |           |     |   |           |   |  |   7|      1.126|  1.750E-01| | 1.750E-01  3.300E-05
    |           |     |   |           |   |  |   6|      1.160|  1.750E-02| | 1.750E-02  5.040E-05
    |           |     |   |           |   |  |   5|      1.227|  4.118E-02| | 4.118E-02  3.800E-05
    |           |     |   |           |   |  |   4|      1.782|  1.750E-01| | 1.751E-01  2.220E-04
    |           |     |   |           |   |  |   3|      2.128|  5.148E-01| | 5.149E-01  3.110E-04
    |           |     |   |           |   |  |   2|      3.254|  1.750E-02| | 1.751E-02  4.100E-04
    |           |     |   |           |   |  |   1|      4.096|  2.934E-02| | 2.938E-02  1.201E-03
 16 |  4.144320 |  2.5|  1|  2.400E-14|  9| u|    |           |      5/2  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.313|  5.201E-02| | 5.207E-02  1.100E-03
    |           |     |   |           |   |  |   8|      0.923|  4.565E-02| | 4.566E-02  2.520E-05
    |           |     |   |           |   |  |   7|      1.175|  5.201E-02| | 5.201E-02  3.400E-05
    |           |     |   |           |   |  |   6|      1.209|  5.201E-02| | 5.202E-02  7.740E-05
    |           |     |   |           |   |  |   5|      1.277|  5.779E-02| | 5.779E-02  4.400E-05
