  1 |  0.000000 |  1.5|  1| -1.000E+00|  0| u|    |           |     3/2+  |0|                                                                                                                                                                                                                              0.000000       
  2 |  0.980476 |  0.5|  1|  2.900E-13|  1| u|    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.980|  9.999E-01| | 1.000E+00  6.040E-05
  3 |  1.293609 |  3.5| -1|  7.350E-09|  1| u|    |           |     7/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      1.294|  9.999E-01| | 1.000E+00  7.440E-05
  4 |  1.559903 |  1.5|  1|  3.900E-13|  2| u|    |           |     3/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.579|  1.810E-01| | 1.810E-01  1.762E-04
    |           |     |   |           |   |  |   1|      1.560|  8.189E-01| | 8.190E-01  1.104E-04
  5 |  1.582001 |  1.5| -1|  9.300E-12|  3| u|    |           |     3/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.288|  8.127E-03| | 8.161E-03  4.110E-03
    |           |     |   |           |   |  |   2|      0.602|  1.788E-01| | 1.788E-01  1.052E-04
    |           |     |   |           |   |  |   1|      1.582|  8.127E-01| | 8.130E-01  3.430E-04
  6 |  1.593107 |  0.5|  1|  9.000E-14|  2| u|    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.613|  3.939E-01| | 3.939E-01  1.543E-04
    |           |     |   |           |   |  |   1|      1.593|  6.060E-01| | 6.061E-01  1.360E-04
  7 |  1.677235 |  3.5|  1|  1.400E-12|  2| u|    |           |     7/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.384|  7.147E-03| | 7.150E-03  3.460E-04
    |           |     |   |           |   |  |   1|      1.677|  9.927E-01| | 9.929E-01  1.870E-04
  8 |  1.698005 |  2.5|  1|  8.500E-13|  1| u|    |           |     5/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      1.698|  9.998E-01| | 1.000E+00  1.890E-04
  9 |  2.143820 |  2.5|  1|  2.600E-13|  6| u|    |           |     5/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.446|  3.510E-02| | 3.513E-02  6.000E-04
    |           |     |   |           |   |  |   6|      0.551|  1.334E-03| | 1.335E-03  4.360E-04
    |           |     |   |           |   |  |   5|      0.562|  2.106E-03| | 2.107E-03  1.270E-04
    |           |     |   |           |   |  |   4|      0.584|  2.106E-01| | 2.107E-01  2.600E-04
    |           |     |   |           |   |  |   2|      1.163|  4.844E-02| | 4.845E-02  6.120E-05
    |           |     |   |           |   |  |   1|      2.144|  7.021E-01| | 7.023E-01  3.250E-04
 10 |  2.166700 |  1.5| -1|  1.900E-12|  5| u|    |           |     3/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.574|  3.762E-02| | 3.762E-02  1.210E-04
    |           |     |   |           |   |  |   5|      0.585|  1.600E-01| | 1.600E-01  2.600E-04
    |           |     |   |           |   |  |   4|      0.607|  1.946E-02| | 1.946E-02  1.050E-04
    |           |     |   |           |   |  |   2|      1.186|  4.324E-01| | 4.324E-01  7.290E-05
    |           |     |   |           |   |  |   1|      2.167|  3.502E-01| | 3.505E-01  7.600E-04
 11 |  2.316620 |  2.5| -1|  3.600E-13|  4| u|    |           |     5/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      0.639|  2.550E-03| | 2.551E-03  9.300E-05
    |           |     |   |           |   |  |   5|      0.735|  5.556E-02| | 5.557E-02  1.075E-04
    |           |     |   |           |   |  |   3|      1.023|  9.108E-01| | 9.109E-01  5.530E-05
    |           |     |   |           |   |  |   1|      2.317|  3.097E-02| | 3.099E-02  8.570E-04
 12 |  2.440100 |  1.5|  1|  1.300E-13|  5| c|    |          (|3/2,5/2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.742|  1.446E-01| | 1.446E-01  1.400E-04
    |           |     |   |           |   |  |   6|      0.847|  0.000E+00| | 0.000E+00  1.000E-04
    |           |     |   |           |   |  |   4|      0.880|  6.287E-02| | 6.288E-02  9.200E-05
    |           |     |   |           |   |  |   2|      1.459|  1.635E-01| | 1.635E-01  9.400E-05
    |           |     |   |           |   |  |   1|      2.440|  6.287E-01| | 6.290E-01  4.900E-04
 13 |  2.447830 |  3.5|  1|           |  1| c|    |     (3/2+,|5/2,7/2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      2.448|  9.995E-01| | 1.000E+00  5.420E-04
 14 |  2.494910 |  4.5|  1|  3.000E-12|  3| u|    |           |     9/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.797|  1.942E-01| | 1.942E-01  1.460E-04
    |           |     |   |           |   |  |   7|      0.818|  4.854E-01| | 4.854E-01  9.150E-05
    |           |     |   |           |   |  |   3|      1.201|  3.204E-01| | 3.204E-01  8.140E-05
 15 |  2.507930 |  3.5|  1|  2.000E-13|  6| u|    |           |     7/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.191|  1.105E-03| | 1.108E-03  2.700E-03
    |           |     |   |           |   |  |   9|      0.364|  2.651E-02| | 2.654E-02  1.100E-03
    |           |     |   |           |   |  |   7|      0.831|  3.667E-01| | 3.668E-01  8.800E-05
    |           |     |   |           |   |  |   4|      0.948|  7.069E-02| | 7.070E-02  9.260E-05
    |           |     |   |           |   |  |   3|      1.214|  9.279E-02| | 9.280E-02  8.920E-05
    |           |     |   |           |   |  |   1|      2.508|  4.418E-01| | 4.421E-01  5.700E-04
 16 |  2.527660 |  5.5|  1|  1.510E-10|  1| u|    |           |    11/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      0.850|  9.999E-01| | 1.000E+00  1.230E-04
 17 |  2.593970 |  0.5| -1|  1.900E-13|  3| c|    |           |1/2-,3/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.895|  8.724E-03| | 8.726E-03  2.000E-04
    |           |     |   |           |   |  |   5|      1.012|  8.724E-01| | 8.725E-01  6.700E-05
