  1 |  0.000000 |  0.0|  1| -1.000E+00|  0| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
  2 |  1.553778 |  2.0|  1|  1.061E-12|  1| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      1.554|  9.998E-01| | 1.000E+00  1.548E-04
  3 |  2.674910 |  4.0|  1|  5.300E-12|  1| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.121|  9.999E-01| | 1.000E+00  9.610E-05
  4 |  3.198706 |  6.0|  1|  4.180E-10|  1| u|    |           |       6+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.524|  9.992E-01| | 1.000E+00  7.700E-04
  5 |  3.862790 |  2.0|  1|           |  1| u|    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.309|  9.996E-01| | 1.000E+00  4.400E-04
  6 |  3.868200 |  0.0|  1|  5.000E-13|  1| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.314|  9.995E-01| | 1.000E+00  4.890E-04
  7 |  3.974900 |  4.0| -1|           |  1| g|    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.300|  9.998E-01| | 1.000E+00  1.543E-04
  8 |  4.147000 |  3.0| -1|           |  0| c|    |           |    3-,4-  |0|                                                                                                                                                                                                                              0.000000       
  9 |  4.147189 |  4.0|  1|  3.300E-14|  1| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.472|  9.999E-01| | 1.000E+00  1.150E-04
 10 |  4.171968 |  3.0|  1|  8.300E-13|  2| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.497|  3.242E-01| | 3.242E-01  1.220E-04
    |           |     |   |           |   |  |   2|      2.618|  6.754E-01| | 6.758E-01  5.800E-04
 11 |  4.172500 |  2.0|  1|  1.100E-14|  1| u|    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.619|  9.994E-01| | 1.000E+00  5.800E-04
 12 |  4.309850 |  2.0|  1|  6.100E-15|  2| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.756|  8.355E-01| | 8.360E-01  5.940E-04
    |           |     |   |           |   |  |   1|      4.310|  1.638E-01| | 1.640E-01  1.286E-03
 13 |  4.409990 |  3.0| -1|  2.800E-09|  2| u|    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.735|  2.030E-01| | 2.031E-01  4.630E-04
    |           |     |   |           |   |  |   2|      2.856|  7.960E-01| | 7.969E-01  1.171E-03
 14 |  4.486710 |  2.0|  1|           |  2| u|    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.933|  8.540E-01| | 8.546E-01  7.100E-04
    |           |     |   |           |   |  |   1|      4.486|  1.452E-01| | 1.454E-01  1.343E-03
 15 |  4.536000 |  1.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 16 |  4.576000 |  2.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 17 |  4.789950 |  2.0|  1|  1.400E-14|  2| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      3.236|  8.977E-01| | 8.984E-01  8.400E-04
    |           |     |   |           |   |  |   1|      4.789|  1.014E-01| | 1.016E-01  1.435E-03
 18 |  4.880676 |  5.0|  1|  2.150E-13|  3| u|    |           |       5+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   9|      0.734|  1.919E-02| | 1.920E-02  2.200E-04
    |           |     |   |           |   |  |   4|      1.682|  7.514E-02| | 7.515E-02  1.820E-04
    |           |     |   |           |   |  |   3|      2.206|  9.053E-01| | 9.057E-01  4.000E-04
