  1 |  0.000000 |  0.5| -1|  3.194E+09|  0| u|    |           |     1/2-  |1| =  1.0000E+02 %B-                                                                                                                                                                                                            0.000000       
  2 |  0.087150 |  2.5| -1|  1.670E-06|  1| u|    |           |     5/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.087|  5.005E-01| | 1.000E+00  9.980E-01
  3 |  0.155550 |  1.5| -1|           |  1| u|    |           |     3/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.156|  9.852E-01| | 1.000E+00  1.498E-02
  4 |  0.517550 |  1.5| -1|           |  3| u|    |           |     3/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.362|  8.715E-01| | 8.744E-01  3.300E-03
    |           |     |   |           |   |  |   2|      0.431|  2.092E-02| | 2.096E-02  2.000E-03
    |           |     |   |           |   |  |   1|      0.517|  1.046E-01| | 1.047E-01  1.100E-03
  5 |  1.001100 |  0.5| -1|  2.900E-13|  3| u|    |           |     1/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.483|  4.574E-01| | 4.581E-01  1.400E-03
    |           |     |   |           |   |  |   3|      0.846|  5.082E-01| | 5.084E-01  3.200E-04
    |           |     |   |           |   |  |   1|      1.001|  3.354E-02| | 3.355E-02  1.990E-04
  6 |  1.068990 |  2.5| -1|           |  3| u|    |           |   (5/2)-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.914|  1.420E-01| | 1.421E-01  2.700E-04
    |           |     |   |           |   |  |   2|      0.982|  5.681E-01| | 5.682E-01  2.300E-04
    |           |     |   |           |   |  |   1|      1.069|  2.897E-01| | 2.898E-01  2.120E-04
  7 |  1.251100 |  1.5|  1|           |  2| g|    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.096|  2.957E-01| | 2.958E-01  9.100E-05
    |           |     |   |           |   |  |   2|      1.164|  7.042E-01| | 7.042E-01  1.120E-04
  8 |  1.291830 |  4.5|  1|  3.330E-09|  1| u|    |           |   (9/2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.205|  9.997E-01| | 1.000E+00  2.980E-04
  9 |  1.324040 |  1.5| -1|           |  3| u|    |           |     3/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.168|  5.987E-01| | 5.988E-01  1.620E-04
    |           |     |   |           |   |  |   2|      1.237|  1.557E-01| | 1.557E-01  1.530E-04
    |           |     |   |           |   |  |   1|      1.324|  2.455E-01| | 2.455E-01  1.510E-04
