  1 |  0.000000 |  0.0|  1| -1.000E+00|  0| u|    |           |       0+  |1| ?  0.0000E+00 %2B-                                                                                                                                                                                                           0.000000       
  2 |  1.564750 |  2.0|  1|  3.080E-13|  1| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      1.565|  9.997E-01| | 1.000E+00  3.000E-04
  3 |  2.250000 |  4.0|  1|  3.100E-09|  1| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.685|  9.987E-01| | 1.000E+00  1.340E-03
  4 |  2.349780 |  2.0|  1|           |  2| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.785|  3.149E-01| | 3.151E-01  8.400E-04
    |           |     |   |           |   |  |   1|      2.350|  6.845E-01| | 6.849E-01  5.680E-04
  5 |  2.724000 |  0.0|  1|           |  0| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
  6 |  2.850460 |  2.0|  1|           |  2| c|    |           |   (2,3)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.499|  1.378E-01| | 1.382E-01  2.700E-03
    |           |     |   |           |   |  |   2|      1.286|  8.615E-01| | 8.618E-01  3.020E-04
  7 |  2.926320 |  2.0|  1|           |  2| u|    |           |     (2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.362|  8.029E-01| | 8.031E-01  2.870E-04
    |           |     |   |           |   |  |   1|      2.926|  1.967E-01| | 1.969E-01  8.070E-04
  8 |  3.010000 |  1.0|  1|           |  0| c|    |           |   (1:5)+  |0|                                                                                                                                                                                                                              0.000000       
  9 |  3.098980 |  3.0| -1|           |  1| u|    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.535|  9.996E-01| | 1.000E+00  3.760E-04
 10 |  3.325000 |  2.0| -1|           |  0| n|    |           |      (+)  |0|                                                                                                                                                                                                                              0.000000       
 11 |  3.540000 |  0.0|  1|           |  0| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
 12 |  3.575000 |  2.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 13 |  3.783000 |  3.0|  1|           |  0| u|    |           |(LE 3)(+)  |0|                                                                                                                                                                                                                              0.000000       
 14 |  3.816480 |  5.0|  1|           |  1| c|    |           |  (5+,6+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.566|  9.997E-01| | 1.000E+00  2.890E-04
