  1 |  0.000000 |  0.5| -1|  5.055E+06|  0| u|    |           |     1/2-  |1| =  1.0000E+02 %B-                                                                                                                                                                                                            0.000000       
  2 |  0.555580 |  4.5|  1|  2.983E+03|  1| u|    |           |     9/2+  |2| AP 1.0000E+02 %IT     LT 1.5000E+00 %B-                                                                                                                                                                                      0.000000  0    
    |           |     |   |           |   |  |   1|      0.556|  9.496E-01| | 1.000E+00  5.310E-02
  3 |  0.653020 |  1.5| -1|           |  1| u|    |           |     3/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.653|  9.983E-01| | 1.000E+00  1.700E-03
  4 |  0.925740 |  2.5| -1|           |  2| u|    |           |     5/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.273|  6.354E-02| | 6.487E-02  2.100E-02
    |           |     |   |           |   |  |   1|      0.926|  9.344E-01| | 9.351E-01  7.800E-04
  5 |  1.186880 |  3.5| -1|           |  3| u|    |           |   (7/2)-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.261|  4.104E-01| | 4.202E-01  2.400E-02
    |           |     |   |           |   |  |   3|      0.534|  7.068E-02| | 7.092E-02  3.420E-03
    |           |     |   |           |   |  |   2|      0.631|  5.085E-01| | 5.089E-01  7.400E-04
  6 |  1.305390 |  2.5|  1|           |  5| u|    |           |   (5/2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      0.119|  2.734E-03| | 2.912E-03  6.530E-02
    |           |     |   |           |   |  |   4|      0.380|  5.467E-03| | 5.482E-03  2.610E-03
    |           |     |   |           |   |  |   3|      0.652|  1.108E-01| | 1.108E-01  6.900E-04
    |           |     |   |           |   |  |   2|      0.750|  8.790E-01| | 8.802E-01  1.320E-03
    |           |     |   |           |   |  |   1|      1.305|  6.241E-04| | 6.245E-04  7.100E-04
  7 |  1.473690 |  1.5| -1|           |  2| u|    |           |     3/2-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.821|  4.895E-01| | 4.900E-01  9.700E-04
    |           |     |   |           |   |  |   1|      1.474|  5.099E-01| | 5.100E-01  3.410E-04
  8 |  1.485090 |  6.5|  1|           |  1| u|    |           |  (13/2+)  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |   2|      0.930|  9.992E-01| | 1.000E+00  7.700E-04
  9 |  1.545900 |  2.5| -1|           |  4| u|    |           |   (5/2)-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      0.359|  2.554E-02| | 2.577E-02  8.800E-03
    |           |     |   |           |   |  |   4|      0.620|  9.026E-01| | 9.044E-01  2.040E-03
    |           |     |   |           |   |  |   3|      0.893|  3.574E-02| | 3.577E-02  7.990E-04
    |           |     |   |           |   |  |   1|      1.546|  3.403E-02| | 3.404E-02  3.540E-04
 10 |  1.547000 |  3.5| -1|           |  0| c|    |           |7/2-,9/2-  |0|                                                                                                                                                                                                                              0.000000       
 11 |  1.579930 |  2.5|  1|           |  4| c|    |           |5/2+,7/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.275|  2.959E-02| | 2.995E-02  1.245E-02
    |           |     |   |           |   |  |   5|      0.393|  1.436E-03| | 1.440E-03  2.380E-03
    |           |     |   |           |   |  |   4|      0.653|  1.053E-02| | 1.054E-02  6.900E-04
    |           |     |   |           |   |  |   2|      1.024|  9.575E-01| | 9.581E-01  6.120E-04
 12 |  1.980410 |  2.5| -1|           |  4| u|    |           |   (5/2)-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      0.507|  1.170E-01| | 1.174E-01  3.300E-03
    |           |     |   |           |   |  |   5|      0.794|  1.712E-01| | 1.714E-01  1.050E-03
    |           |     |   |           |   |  |   4|      1.055|  6.029E-01| | 6.033E-01  5.510E-04
    |           |     |   |           |   |  |   3|      1.327|  1.079E-01| | 1.080E-01  3.680E-04
 13 |  2.066620 |  2.5|  1|           |  7| u|    |           |   (5/2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.487|  3.865E-02| | 3.879E-02  3.700E-03
    |           |     |   |           |   |  |   9|      0.521|  1.603E-02| | 1.604E-02  1.170E-03
    |           |     |   |           |   |  |   7|      0.593|  4.525E-02| | 4.529E-02  8.600E-04
    |           |     |   |           |   |  |   6|      0.761|  2.767E-01| | 2.770E-01  1.160E-03
