  1 |  0.000000 |  0.0|  1|  9.576E+03|  0| u|    |           |       0+  |1| =  1.0000E+02 %B-                                                                                                                                                                                                            0.000000  0    
  2 |  0.814980 |  2.0|  1|  8.000E-12|  1| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |   1|      0.815|  9.991E-01| | 1.000E+00  9.490E-04
  3 |  1.384790 |  2.0|  1|  5.100E-12|  2| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.570|  6.053E-01| | 6.064E-01  1.960E-03
    |           |     |   |           |   |  |   1|      1.385|  3.934E-01| | 3.936E-01  3.320E-04
  4 |  1.673300 |  4.0|  1|           |  1| u|    |           |     (4)+  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |   2|      0.858|  9.991E-01| | 1.000E+00  8.700E-04
  5 |  1.778330 |  2.0|  1|  5.000E-12|  3| u|    |           |     2(+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.394|  3.998E-01| | 4.023E-01  6.200E-03
    |           |     |   |           |   |  |   2|      0.964|  4.817E-01| | 4.820E-01  6.250E-04
    |           |     |   |           |   |  |   1|      1.778|  1.156E-01| | 1.157E-01  3.770E-04
  6 |  2.053900 |  2.0|  1|           |  1| u|    |           |     (2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.239|  9.996E-01| | 1.000E+00  3.720E-04
  7 |  2.088390 |  0.0|  1|           |  2| u|    |           |     0(+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.704|  3.195E-01| | 3.200E-01  1.389E-03
    |           |     |   |           |   |  |   2|      1.273|  6.798E-01| | 6.800E-01  3.600E-04
  8 |  2.140820 |  1.0|  1|  7.100E-12|  2| u|    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.756|  4.472E-01| | 4.477E-01  1.026E-03
    |           |     |   |           |   |  |   2|      1.326|  5.521E-01| | 5.523E-01  3.390E-04
  9 |  2.185000 |  3.0| -1|           |  2| u|    |           |     (3-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.512|  0.000E+00| | 0.000E+00  1.130E-03
    |           |     |   |           |   |  |   2|      1.370|  0.000E+00| | 0.000E+00  2.980E-04
 10 |  2.527180 |  0.0|  1|  6.000E-12|  2|  |    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   8|      0.386|  5.479E-02| | 5.505E-02  4.850E-03
    |           |     |   |           |   |  |   2|      1.712|  9.446E-01| | 9.449E-01  3.600E-04
 11 |  2.765700 |  5.0| -1|           |  2|  |    |           |     (5-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   9|      0.581|  3.667E-01| | 3.676E-01  2.490E-03
    |           |     |   |           |   |  |   4|      1.092|  6.322E-01| | 6.324E-01  2.190E-04
 12 |  2.783600 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.399|  4.318E-01| | 4.318E-01  0.000E+00
    |           |     |   |           |   |  |   2|      1.969|  5.682E-01| | 5.682E-01  0.000E+00
 13 |  2.820890 | -1.0|  0|           |  2|  |    |           | 2(+),(1)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      2.007|  1.071E-01| | 1.071E-01  0.000E+00
    |           |     |   |           |   |  |   1|      2.821|  8.929E-01| | 8.929E-01  0.000E+00
 14 |  2.849600 | -1.0|  0|           |  2|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      1.071|  2.481E-01| | 2.481E-01  0.000E+00
    |           |     |   |           |   |  |   3|      1.465|  7.519E-01| | 7.519E-01  0.000E+00
 15 |  2.924800 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.251|  1.000E+00| | 1.000E+00  0.000E+00
 16 |  3.014600 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.341|  1.000E+00| | 1.000E+00  0.000E+00
 17 |  3.128800 |  6.0|  1|           |  1|  |    |           |     (6+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      1.455|  9.997E-01| | 1.000E+00  3.320E-04
 18 |  3.362400 |  5.0| -1|           |  3|  |    |           |     (5-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.597|  0.000E+00| | 0.000E+00  1.960E-03
    |           |     |   |           |   |  |   9|      1.177|  7.328E-01| | 7.331E-01  4.190E-04
    |           |     |   |           |   |  |   4|      1.689|  2.667E-01| | 2.669E-01  4.950E-04
 19 |  3.558500 | -1.0|  0|           |  1|  |    |           |  (6-,7-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  11|      0.793|  1.000E+00| | 1.000E+00  0.000E+00
 20 |  3.786000 | -1.0|  0|           |  2|  |    |           |  (6-,7-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  16|      0.771|  1.935E-01| | 1.935E-01  0.000E+00
    |           |     |   |           |   |  |  11|      1.021|  8.065E-01| | 8.065E-01  0.000E+00
 21 |  4.021400 | -1.0|  0|           |  2|  |    |           |  (6-,7-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  20|      0.235|  3.734E-01| | 3.734E-01  0.000E+00
    |           |     |   |           |   |  |  18|      0.659|  6.266E-01| | 6.266E-01  0.000E+00
 22 |  4.637800 |  1.0|  0|           |  4|  |    |           |        1  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  13|      1.817|  1.742E-01| | 1.742E-01  0.000E+00
    |           |     |   |           |   |  |   5|      2.860|  7.742E-02| | 7.742E-02  0.000E+00
    |           |     |   |           |   |  |   2|      3.824|  1.032E-01| | 1.032E-01  0.000E+00
    |           |     |   |           |   |  |   1|      4.638|  6.452E-01| | 6.452E-01  0.000E+00
 23 |  4.928500 | -1.0|  0|           |  2|  |    |           |  (8-,9-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  20|      1.143|  7.634E-01| | 7.634E-01  0.000E+00
    |           |     |   |           |   |  |  17|      1.800|  2.366E-01| | 2.366E-01  0.000E+00
 24 |  5.053800 |  1.0|  0|           |  4|  |    |           |        1  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  13|      2.232|  3.472E-01| | 3.472E-01  0.000E+00
    |           |     |   |           |   |  |   8|      2.913|  3.194E-01| | 3.194E-01  0.000E+00
    |           |     |   |           |   |  |   3|      3.671|  1.875E-01| | 1.875E-01  0.000E+00
    |           |     |   |           |   |  |   2|      4.240|  1.458E-01| | 1.458E-01  0.000E+00
 25 |  5.056700 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  21|      1.035|  1.000E+00| | 1.000E+00  0.000E+00
 26 |  5.727200 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  23|      0.799|  1.000E+00| | 1.000E+00  0.000E+00
 27 |  5.738400 |  1.0|  0|           |  2|  |    |           |        1  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      4.923|  6.098E-01| | 6.098E-01  0.000E+00
    |           |     |   |           |   |  |   1|      5.739|  3.902E-01| | 3.902E-01  0.000E+00
 28 |  5.893600 |  1.0| -1|           |  2|  |    |           |     1(-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  12|      3.110|  6.131E-01| | 6.131E-01  0.000E+00
    |           |     |   |           |   |  |   3|      4.508|  3.862E-01| | 3.869E-01  1.870E-03
 29 |  5.901100 |  1.0| -1|           |  2|  |    |           |     1(-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      5.086|  4.808E-01| | 4.818E-01  2.050E-03
    |           |     |   |           |   |  |   1|      5.901|  5.170E-01| | 5.182E-01  2.280E-03
 30 |  6.003500 |  1.0| -1|           |  2|  |    |           |       1-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      5.188|  8.051E-01| | 8.068E-01  2.080E-03
    |           |     |   |           |   |  |   1|      6.004|  1.932E-01| | 1.932E-01  0.000E+00
 31 |  6.030000 |  1.0| -1|           |  3|  |    |           |       1-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      3.502|  1.600E-01| | 1.602E-01  1.504E-03
    |           |     |   |           |   |  |   2|      5.215|  4.848E-01| | 4.858E-01  2.090E-03
    |           |     |   |           |   |  |   1|      6.030|  3.539E-01| | 3.539E-01  0.000E+00
 32 |  6.116100 |  1.0| -1|           |  2|  |    |           |       1-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      5.302|  4.995E-01| | 5.005E-01  2.110E-03
    |           |     |   |           |   |  |   1|      6.115|  4.995E-01| | 4.995E-01  0.000E+00
 33 |  6.527700 | -1.0|  0|           |  1|  |    |           |           |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  26|      0.801|  1.000E+00| | 1.000E+00  0.000E+00
 34 |  6.949100 | -1.0|  0|           |  2|  |    |           |    0-,1-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  24|      1.895|  3.464E-01| | 3.464E-01  0.000E+00
    |           |     |   |           |   |  |   8|      4.809|  6.536E-01| | 6.536E-01  0.000E+00
 35 |  7.363000 |  1.0| -1|           |  2|  |    |           |       1-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  10|      4.836|  3.819E-01| | 3.827E-01  1.980E-03
    |           |     |   |           |   |  |   5|      5.584|  6.160E-01| | 6.173E-01  2.190E-03
