  1 |  0.000000 |  0.0|  1| -1.000E+00|  0| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000  0    
  2 |  0.871098 |  2.0|  1|  2.770E-12|  1| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |   1|      0.871|  9.989E-01| | 1.000E+00  1.080E-03
  3 |  1.573760 |  4.0|  1|  5.000E-12|  1| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |   2|      0.703|  9.981E-01| | 1.000E+00  1.860E-03
  4 |  1.741650 |  0.0|  1|           |  1| u|    |           |       0+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.871|  9.989E-01| | 1.000E+00  1.067E-03
  5 |  1.864310 |  2.0|  1|  2.000E-13|  2| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      0.993|  9.176E-01| | 9.183E-01  8.000E-04
    |           |     |   |           |   |  |   1|      1.864|  8.166E-02| | 8.170E-02  4.550E-04
  6 |  2.067350 |  2.0|  1|  3.500E-14|  2| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   2|      1.196|  8.684E-01| | 8.688E-01  4.800E-04
    |           |     |   |           |   |  |   1|      2.067|  1.311E-01| | 1.312E-01  5.160E-04
  7 |  2.121000 |  4.0| -1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
  8 |  2.294790 |  4.0|  1|  7.600E-14|  2| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.721|  8.813E-01| | 8.828E-01  1.680E-03
    |           |     |   |           |   |  |   2|      1.424|  1.172E-01| | 1.172E-01  3.200E-04
  9 |  2.322000 |  6.0|  1|           |  0| u|    |           |     (6+)  |0|                                                                                                                                                                                                                              0.000000       
 10 |  2.393020 |  2.0|  1|  8.300E-14|  4| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.326|  5.422E-03| | 5.504E-03  1.500E-02
    |           |     |   |           |   |  |   5|      0.529|  6.400E-03| | 6.424E-03  3.700E-03
    |           |     |   |           |   |  |   2|      1.522|  8.889E-01| | 8.893E-01  4.110E-04
    |           |     |   |           |   |  |   1|      2.393|  9.876E-02| | 9.882E-02  6.330E-04
 11 |  2.423450 |  6.0|  1|           |  1| u|    |           |       6+  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |   3|      0.850|  9.988E-01| | 1.000E+00  1.160E-03
 12 |  2.533870 |  3.0| -1|  5.200E-13|  4| u|    |           |       3-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.466|  2.115E-01| | 2.134E-01  9.000E-03
    |           |     |   |           |   |  |   5|      0.670|  1.178E-01| | 1.178E-01  7.700E-04
    |           |     |   |           |   |  |   3|      0.960|  2.990E-01| | 2.994E-01  1.300E-03
    |           |     |   |           |   |  |   2|      1.663|  3.691E-01| | 3.693E-01  5.050E-04
 13 |  2.564980 |  4.0|  1|  1.600E-13|  2| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      0.991|  8.938E-01| | 8.945E-01  8.300E-04
    |           |     |   |           |   |  |   2|      1.694|  1.055E-01| | 1.055E-01  4.200E-04
 14 |  2.580000 |  3.0| -1|           |  0| u|    |           |     (3-)  |0|                                                                                                                                                                                                                              0.000000       
 15 |  2.610570 |  5.0| -1|  4.400E-13|  1| u|    |           |     (5)-  |0|                                                                                                                                                                                                                              0.000000  1    
    |           |     |   |           |   |  |   3|      1.037|  9.991E-01| | 1.000E+00  9.000E-04
 16 |  2.703000 |  3.0| -1|           |  0| u|    |           |     (3-)  |0|                                                                                                                                                                                                                              0.000000       
 17 |  2.739910 |  1.0|  1|  5.300E-14|  5| u|    |           |       1+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.672|  1.520E-02| | 1.523E-02  2.000E-03
    |           |     |   |           |   |  |   5|      0.876|  1.236E-01| | 1.238E-01  1.090E-03
    |           |     |   |           |   |  |   4|      0.998|  2.250E-02| | 2.251E-02  8.060E-04
    |           |     |   |           |   |  |   2|      1.869|  5.067E-01| | 5.069E-01  4.380E-04
    |           |     |   |           |   |  |   1|      2.740|  3.314E-01| | 3.316E-01  7.250E-04
 18 |  2.767610 |  4.0|  1|  1.070E-13|  2| u|    |           |       4+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   3|      1.194|  4.150E-01| | 4.152E-01  5.420E-04
    |           |     |   |           |   |  |   2|      1.897|  5.845E-01| | 5.848E-01  4.640E-04
 19 |  2.780510 |  0.0|  1|  4.800E-13|  1| u|    |           |     (0+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      0.916|  9.991E-01| | 1.000E+00  9.470E-04
 20 |  2.805040 |  3.0|  1|  3.500E-13|  3| u|    |           |       3+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   5|      0.941|  2.634E-01| | 2.637E-01  9.000E-04
    |           |     |   |           |   |  |   3|      1.231|  4.182E-01| | 4.184E-01  4.300E-04
    |           |     |   |           |   |  |   2|      1.934|  3.178E-01| | 3.180E-01  4.630E-04
 21 |  2.834910 |  4.0| -1|           |  3| u|    |           |     (4)-  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  15|      0.224|  5.958E-02| | 6.244E-02  4.800E-02
    |           |     |   |           |   |  |  12|      0.301|  1.084E-01| | 1.099E-01  1.370E-02
    |           |     |   |           |   |  |   3|      1.261|  8.275E-01| | 8.277E-01  1.900E-04
 22 |  2.853000 |  4.0|  1|           |  0| u|    |           |     (4+)  |0|                                                                                                                                                                                                                              0.000000       
 23 |  2.869900 |  2.0|  1|  9.100E-14|  4| u|    |           |       2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   6|      0.803|  1.672E-01| | 1.674E-01  1.303E-03
    |           |     |   |           |   |  |   5|      1.006|  6.381E-01| | 6.385E-01  7.000E-04
    |           |     |   |           |   |  |   2|      1.999|  8.359E-02| | 8.363E-02  4.840E-04
    |           |     |   |           |   |  |   1|      2.870|  1.104E-01| | 1.105E-01  8.160E-04
 24 |  2.872400 |  6.0|  1|           |  2| u|    |           |       6+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  15|      0.262|  3.826E-02| | 3.860E-02  8.800E-03
    |           |     |   |           |   |  |  11|      0.449|  9.565E-01| | 9.614E-01  5.100E-03
 25 |  2.955550 |  8.0|  1|  9.800E-08|  2| u|    |           |       8+  |0|                                                                                                                                                                                                                              0.000000  0    
    |           |     |   |           |   |  |  24|      0.084|  6.908E-02| | 2.293E-01  2.320E+00
    |           |     |   |           |   |  |  11|      0.532|  7.676E-01| | 7.707E-01  4.020E-03
