  1 |  0.000000 |  2.5|  1|  5.532E+06|  0| u|    |           |     5/2+  |1| =  1.0000E+02 %B-                                                                                                                                                                                                            0.000000       
  2 |  0.953970 |  0.5|  1|           |  1| u|    |           |     1/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      0.954|  9.992E-01| | 1.000E+00  7.800E-04
  3 |  1.140000 |  2.5|  1|           |  0| c|    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
  4 |  1.323800 |  1.5|  1|           |  1| c|    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      1.324|  9.996E-01| | 1.000E+00  3.980E-04
  5 |  1.618350 |  1.5|  1|           |  1| u|    |           |   (3/2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      1.619|  9.996E-01| | 1.000E+00  3.680E-04
  6 |  1.624700 |  2.5|  1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
  7 |  1.676320 |  3.5|  1|           |  1| u|    |           |   (7/2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      1.676|  9.996E-01| | 1.000E+00  3.750E-04
  8 |  1.721500 |  2.5|  1|           |  2| u|    |           |   (5/2)+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.396|  4.747E-01| | 4.781E-01  7.100E-03
    |           |     |   |           |   |  |   1|      1.721|  5.217E-01| | 5.219E-01  3.820E-04
  9 |  1.792200 |  4.5|  1|           |  2| u|    |           |   (9/2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   7|      0.116|  6.583E-01| | 9.216E-01  4.000E-01
    |           |     |   |           |   |  |   1|      1.792|  7.834E-02| | 7.837E-02  4.110E-04
 10 |  1.892660 |  1.5|  1|           |  2| u|    |           |     3/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.569|  2.364E-01| | 2.370E-01  2.600E-03
    |           |     |   |           |   |  |   1|      1.893|  7.626E-01| | 7.630E-01  4.210E-04
 11 |  1.903970 |  2.5|  1|           |  2| c|    |     1/2(+)|,3/2,5/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.580|  4.078E-01| | 4.088E-01  2.490E-03
    |           |     |   |           |   |  |   1|      1.904|  5.910E-01| | 5.912E-01  4.240E-04
 12 |  1.940240 |  1.5| -1|           |  1| c|    |     1/2(+)|,3/2,5/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      1.940|  9.993E-01| | 1.000E+00  6.680E-04
 13 |  1.955920 |  2.5|  1|           |  3| u|    |           |   5/2(+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   4|      0.632|  2.941E-01| | 2.947E-01  1.990E-03
    |           |     |   |           |   |  |   2|      1.002|  2.381E-01| | 2.383E-01  6.900E-04
    |           |     |   |           |   |  |   1|      1.956|  4.668E-01| | 4.670E-01  4.400E-04
 14 |  2.021600 |  5.5| -1|           |  1| u|    |           |  (11/2-)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   9|      0.229|  9.888E-01| | 1.000E+00  1.130E-02
 15 |  2.120000 |  4.5|  1|           |  0| n|    |           |           |0|                                                                                                                                                                                                                              0.000000       
 16 |  2.250000 |  3.5|  1|           |  0| c|    |           |7/2+,9/2+  |0|                                                                                                                                                                                                                              0.000000       
 17 |  2.253700 |  0.5|  1|           |  1| c|    |     (1/2+,|3/2,5/2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |   1|      2.254|  9.994E-01| | 1.000E+00  5.610E-04
 18 |  2.293700 |  1.5|  1|           |  0| c|    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 19 |  2.317000 |  1.5|  1|           |  0| u|    |           |   (3/2+)  |0|                                                                                                                                                                                                                              0.000000       
 20 |  2.372270 |  1.5|  1|           |  4| u|    |           |     3/2+  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  12|      0.432|  4.305E-01| | 4.314E-01  2.000E-03
    |           |     |   |           |   |  |   4|      1.048|  2.411E-01| | 2.412E-01  6.060E-04
    |           |     |   |           |   |  |   2|      1.418|  1.162E-01| | 1.163E-01  3.720E-04
    |           |     |   |           |   |  |   1|      2.373|  2.110E-01| | 2.111E-01  5.850E-04
 21 |  2.466000 |  4.5|  1|           |  0| c|    |           |7/2+,9/2+  |0|                                                                                                                                                                                                                              0.000000       
 22 |  2.510000 |  2.5|  1|           |  0| c|    |           |3/2+,5/2+  |0|                                                                                                                                                                                                                              0.000000       
 23 |  2.629100 |  5.5|  1|           |  2| u|    |           |  (11/2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  14|      0.608|  5.709E-01| | 5.714E-01  8.700E-04
    |           |     |   |           |   |  |   9|      0.837|  4.282E-01| | 4.286E-01  1.008E-03
 24 |  2.636000 |  1.5|  1|           |  0| u|    |           |   (3/2+)  |0|                                                                                                                                                                                                                              0.000000       
 25 |  2.744000 |  3.5|  1|           |  0|  |    |           |   (7/2)+  |0|                                                                                                                                                                                                                              0.000000       
 26 |  2.770000 |  3.5|  1|           |  0|  |    |           |     7/2+  |0|                                                                                                                                                                                                                              0.000000       
 27 |  2.816000 | -1.0|  0|           |  0|  |    |           |1/2-,3/2-  |0|                                                                                                                                                                                                                              0.000000       
 28 |  2.837200 |  6.5|  1|           |  3|  |    |           |  (13/2+)  |0|                                                                                                                                                                                                                              0.000000       
    |           |     |   |           |   |  |  23|      0.208|  4.731E-01| | 4.982E-01  5.300E-02
    |           |     |   |           |   |  |  14|      0.815|  2.508E-01| | 2.509E-01  4.550E-04
    |           |     |   |           |   |  |   9|      1.045|  2.508E-01| | 2.509E-01  6.300E-04
 29 |  2.841000 |  1.5|  1|           |  0|  |    |           |   (3/2+)  |0|                                                                                                                                                                                                                              0.000000       
 30 |  2.880000 | -1.0|  0|           |  0|  |    |           |7/2+,9/2+  |0|                                                                                                                                                                                                                              0.000000       
 31 |  2.948000 | -1.0|  0|           |  0|  |    |           |7/2+,9/2+  |0|                                                                                                                                                                                                                              0.000000       
