  1 ;  0.000000 ;  0.0;  1;  2.114E+26;  0; u;    ;           ;       0+  ;1; =  1.0000E+02 %2B-                                                                                                                                                                                                           0.000000  0    
  2 ;  0.130210 ;  2.0;  1;  1.480E-09;  1; u;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000  0    
    ;           ;     ;   ;           ;   ;  ;   1;      0.130;  5.385E-01; ; 1.000E+00  8.570E-01
  3 ;  0.381100 ;  4.0;  1;  6.050E-11;  1; u;    ;           ;       4+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      0.251;  9.156E-01; ; 1.000E+00  9.220E-02
  4 ;  0.675900 ;  0.0;  1;  5.700E-12;  1; u;    ;           ;       0+  ;0;                                                                                                                                                                                                                              0.000000  1    
    ;           ;     ;   ;           ;   ;  ;   2;      0.545;  9.907E-01; ; 1.000E+00  9.350E-03
  5 ;  0.720160 ;  6.0;  1;  1.250E-11;  1; u;    ;           ;       6+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   3;      0.339;  9.653E-01; ; 1.000E+00  3.590E-02
  6 ;  0.850750 ;  2.0;  1;  4.500E-12;  4; u;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000  1    
    ;           ;     ;   ;           ;   ;  ;   4;      0.174;  9.868E-03; ; 1.295E-02  3.120E-01
    ;           ;     ;   ;           ;   ;  ;   3;      0.469;  1.635E-01; ; 1.658E-01  1.400E-02
    ;           ;     ;   ;           ;   ;  ;   2;      0.721;  7.048E-01; ; 7.081E-01  4.670E-03
    ;           ;     ;   ;           ;   ;  ;   1;      0.851;  1.128E-01; ; 1.131E-01  3.190E-03
  7 ;  0.852880 ;  1.0; -1;  4.600E-14;  2; u;    ;           ;       1-  ;0;                                                                                                                                                                                                                              0.000000  2    
    ;           ;     ;   ;           ;   ;  ;   2;      0.723;  5.339E-01; ; 5.349E-01  1.771E-03
    ;           ;     ;   ;           ;   ;  ;   1;      0.853;  4.645E-01; ; 4.651E-01  1.269E-03
  8 ;  0.934530 ;  3.0; -1;  8.200E-14;  2; u;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000  2    
    ;           ;     ;   ;           ;   ;  ;   3;      0.553;  2.577E-01; ; 2.585E-01  3.140E-03
    ;           ;     ;   ;           ;   ;  ;   2;      0.804;  7.405E-01; ; 7.415E-01  1.425E-03
  9 ;  1.062050 ;  2.0;  1;  1.460E-12;  3;  ;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000  3    
    ;           ;     ;   ;           ;   ;  ;   3;      0.680;  2.978E-02; ; 2.994E-02  5.360E-03
    ;           ;     ;   ;           ;   ;  ;   2;      0.932;  4.715E-01; ; 4.728E-01  2.820E-03
    ;           ;     ;   ;           ;   ;  ;   1;      1.062;  4.963E-01; ; 4.973E-01  1.970E-03
 10 ;  1.128900 ;  5.0; -1;  7.000E-14;  2;  ;    ;           ;       5-  ;0;                                                                                                                                                                                                                              0.000000  2    
    ;           ;     ;   ;           ;   ;  ;   5;      0.409;  1.369E-01; ; 1.377E-01  6.310E-03
    ;           ;     ;   ;           ;   ;  ;   3;      0.748;  8.608E-01; ; 8.623E-01  1.652E-03
 11 ;  1.129600 ;  8.0;  1;  4.700E-12;  1;  ;    ;           ;       8+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      0.410;  9.799E-01; ; 1.000E+00  2.050E-02
 12 ;  1.137840 ;  4.0;  1;  3.300E-12;  5;  ;    ;           ;       4+  ;0;                                                                                                                                                                                                                              0.000000  1    
    ;           ;     ;   ;           ;   ;  ;   8;      0.203;  0.000E+00; ; 0.000E+00  4.800E-02
    ;           ;     ;   ;           ;   ;  ;   6;      0.287;  1.228E-02; ; 1.302E-02  6.000E-02
    ;           ;     ;   ;           ;   ;  ;   5;      0.417;  3.212E-02; ; 3.275E-02  1.940E-02
    ;           ;     ;   ;           ;   ;  ;   3;      0.756;  9.448E-01; ; 9.499E-01  5.400E-03
    ;           ;     ;   ;           ;   ;  ;   2;      1.008;  4.346E-03; ; 4.356E-03  2.210E-03
 13 ;  1.182270 ;  2.0;  0;  5.000E-10;  2;  ;    ;           ;     LE 2  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   8;      0.248;  6.024E-01; ; 6.024E-01  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   7;      0.329;  3.976E-01; ; 3.976E-01  0.000E+00
 14 ;  1.200550 ;  3.0;  1;           ;  2;  ;    ;           ;     3(+)  ;0;                                                                                                                                                                                                                              0.000000  3    
    ;           ;     ;   ;           ;   ;  ;   3;      0.819;  1.731E-01; ; 1.739E-01  4.500E-03
    ;           ;     ;   ;           ;   ;  ;   2;      1.070;  8.242E-01; ; 8.261E-01  2.400E-03
 15 ;  1.250000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 16 ;  1.265000 ; -1.0;  0;           ;  0;  ;    ;           ;           ;0;                                                                                                                                                                                                                              0.000000       
 17 ;  1.283680 ;  1.0; -1;  5.000E-10;  3;  ;    ;           ;     (1-)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   8;      0.349;  3.138E-01; ; 3.260E-01  3.900E-02
    ;           ;     ;   ;           ;   ;  ;   7;      0.431;  4.419E-01; ; 4.516E-01  2.200E-02
    ;           ;     ;   ;           ;   ;  ;   6;      0.433;  2.210E-01; ; 2.224E-01  6.400E-03
 18 ;  1.307500 ; -1.0;  0;           ;  0;  ;    ;           ;    (3,4)  ;0;                                                                                                                                                                                                                              0.000000       
 19 ;  1.318000 ;  1.0; -1;           ;  0;  ;    ;           ;     (1-)  ;0;                                                                                                                                                                                                                              0.000000       
 20 ;  1.352500 ;  4.0;  1;  2.000E-12;  4;  ;    ;           ;       4+  ;0;                                                                                                                                                                                                                              0.000000  3    
    ;           ;     ;   ;           ;   ;  ;   9;      0.290;  4.380E-02; ; 4.636E-02  5.850E-02
    ;           ;     ;   ;           ;   ;  ;   5;      0.633;  0.000E+00; ; 0.000E+00  7.100E-03
    ;           ;     ;   ;           ;   ;  ;   3;      0.972;  6.843E-01; ; 6.864E-01  3.000E-03
    ;           ;     ;   ;           ;   ;  ;   2;      1.223;  2.669E-01; ; 2.673E-01  1.486E-03
 21 ;  1.426700 ;  2.0;  1;           ;  0;  ;    ;           ;     (2+)  ;0;                                                                                                                                                                                                                              0.000000       
 22 ;  1.432800 ;  7.0; -1;           ;  2;  ;    ;           ;     (7-)  ;0;                                                                                                                                                                                                                              0.000000  2    
    ;           ;     ;   ;           ;   ;  ;  11;      0.303;  3.311E-01; ; 3.364E-01  1.600E-02
    ;           ;     ;   ;           ;   ;  ;   5;      0.712;  6.622E-01; ; 6.636E-01  2.020E-03
 23 ;  1.435030 ;  2.0; -1;  6.000E-13;  5;  ;    ;           ;       2-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  14;      0.234;  1.017E-01; ; 1.043E-01  2.570E-02
    ;           ;     ;   ;           ;   ;  ;   9;      0.373;  8.474E-01; ; 8.540E-01  7.870E-03
    ;           ;     ;   ;           ;   ;  ;   7;      0.582;  8.474E-03; ; 8.560E-03  1.020E-02
    ;           ;     ;   ;           ;   ;  ;   6;      0.584;  2.457E-02; ; 2.464E-02  2.780E-03
    ;           ;     ;   ;           ;   ;  ;   2;      1.305;  8.474E-03; ; 8.479E-03  6.900E-04
 24 ;  1.483580 ;  3.0; -1;  3.500E-13;  6;  ;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  14;      0.283;  8.882E-02; ; 9.022E-02  1.573E-02
    ;           ;     ;   ;           ;   ;  ;  12;      0.346;  2.288E-02; ; 2.310E-02  9.490E-03
    ;           ;     ;   ;           ;   ;  ;   9;      0.421;  2.254E-01; ; 2.267E-01  5.860E-03
    ;           ;     ;   ;           ;   ;  ;   6;      0.633;  3.028E-02; ; 3.035E-02  2.340E-03
    ;           ;     ;   ;           ;   ;  ;   3;      1.103;  3.364E-01; ; 3.367E-01  7.820E-04
    ;           ;     ;   ;           ;   ;  ;   2;      1.353;  2.927E-01; ; 2.929E-01  6.500E-04
 25 ;  1.488200 ; -1.0;  0;           ;  2;  ;    ;           ;      0:2  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;  17;      0.204;  2.366E-01; ; 2.366E-01  0.000E+00
    ;           ;     ;   ;           ;   ;  ;   2;      1.358;  7.634E-01; ; 7.634E-01  0.000E+00
 26 ;  1.489900 ; -1.0;  0;           ;  1;  ;    ;           ;      1,2  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   4;      0.814;  1.000E+00; ; 1.000E+00  0.000E+00
 27 ;  1.497000 ; -1.0;  0;           ;  1;  ;    ;           ;3,(2,4,5)  ;0;                                                                                                                                                                                                                              0.000000       
