  1 ;  0.000000 ;  0.5; -1; -1.000E+00;  0; u;    ;           ;     1/2-  ;0;                                                                                                                                                                                                                              0.000000       
  2 ;  0.569698 ;  2.5; -1;  1.305E-10;  1; u;    ;           ;     5/2-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      0.570;  9.789E-01; ; 1.000E+00  2.160E-02
  3 ;  0.897698 ;  1.5; -1;  1.150E-13;  2; u;    ;           ;     3/2-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      0.328;  5.240E-03; ; 6.990E-03  3.340E-01
    ;           ;     ;   ;           ;   ;  ;   1;      0.898;  9.704E-01; ; 9.930E-01  2.330E-02
  4 ;  1.633356 ;  6.5;  1;  8.060E-01;  1; u;    ;           ;    13/2+  ;1; =  1.0000E+02 %IT                                                                                                                                                                                                            0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      1.064;  8.883E-01; ; 1.000E+00  1.257E-01
  5 ;  2.339921 ;  3.5; -1;           ;  2; u;    ;           ;     7/2-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   3;      1.442;  1.866E-02; ; 1.872E-02  3.370E-03
    ;           ;     ;   ;           ;   ;  ;   2;      1.770;  9.770E-01; ; 9.813E-01  4.410E-03
  6 ;  2.623871 ;  2.5;  1;  9.000E-14;  2; u;    ;           ;     5/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   3;      1.726;  8.186E-01; ; 8.197E-01  1.307E-03
    ;           ;     ;   ;           ;   ;  ;   2;      2.054;  1.801E-01; ; 1.803E-01  1.301E-03
  7 ;  2.662476 ;  3.5;  1;  6.600E-13;  3; u;    ;           ;     7/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      0.323;  1.861E-02; ; 1.907E-02  2.500E-02
    ;           ;     ;   ;           ;   ;  ;   2;      2.093;  9.303E-01; ; 9.315E-01  1.306E-03
    ;           ;     ;   ;           ;   ;  ;   1;      2.662;  4.931E-02; ; 4.942E-02  2.400E-03
  8 ;  2.702000 ;  4.5;  1;           ;  0; c;    ;           ;7/2+,9/2+  ;0;                                                                                                                                                                                                                              0.000000       
  9 ;  2.727892 ;  4.5;  1;           ;  3; u;    ;           ;     9/2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      0.388;  1.588E-01; ; 1.614E-01  1.646E-02
    ;           ;     ;   ;           ;   ;  ;   4;      1.095;  8.144E-01; ; 8.189E-01  5.590E-03
    ;           ;     ;   ;           ;   ;  ;   2;      2.158;  1.954E-02; ; 1.967E-02  6.260E-03
