  1 ;  0.000000 ;  2.0;  1;  9.508E+12;  0; u;    ;           ;       2+  ;2; =  9.8100E+01 %B-     =  1.9000E+00 %EC+%B+                                                                                                                                                                                  0.000000       
  2 ;  0.788433 ;  3.0;  1;  1.470E-11;  1; u;    ;           ;       3+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      0.788;  9.999E-01; ; 1.000E+00  8.800E-05
  3 ;  1.164880 ;  1.0;  1;  6.900E-12;  2; u;    ;           ;       1+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      0.376;  9.999E-05; ; 1.001E-04  1.150E-03
    ;           ;     ;   ;           ;   ;  ;   1;      1.165;  9.999E-01; ; 9.999E-01  3.490E-05
  4 ;  1.601103 ;  1.0;  1;  6.400E-13;  3; u;    ;           ;       1+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   3;      0.436;  2.004E-01; ; 2.005E-01  4.500E-04
    ;           ;     ;   ;           ;   ;  ;   2;      0.813;  1.413E-02; ; 1.414E-02  1.010E-04
    ;           ;     ;   ;           ;   ;  ;   1;      1.601;  7.853E-01; ; 7.854E-01  1.310E-04
  5 ;  1.951185 ;  2.0; -1;  1.870E-12;  3; u;    ;           ;       2-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   3;      0.786;  3.253E-01; ; 3.253E-01  1.000E-04
    ;           ;     ;   ;           ;   ;  ;   2;      1.163;  7.227E-02; ; 7.227E-02  5.800E-05
    ;           ;     ;   ;           ;   ;  ;   1;      1.951;  6.022E-01; ; 6.024E-01  3.800E-04
  6 ;  1.959394 ;  2.0;  1;  4.360E-14;  3; u;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   4;      0.358;  1.234E-02; ; 1.235E-02  8.000E-04
    ;           ;     ;   ;           ;   ;  ;   2;      1.171;  3.017E-01; ; 3.017E-01  3.900E-05
    ;           ;     ;   ;           ;   ;  ;   1;      1.959;  6.857E-01; ; 6.859E-01  2.800E-04
  7 ;  2.468259 ;  3.0; -1;  9.700E-13;  4; u;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   6;      0.509;  1.370E-02; ; 1.371E-02  1.180E-04
    ;           ;     ;   ;           ;   ;  ;   5;      0.517;  9.651E-01; ; 9.652E-01  1.543E-04
    ;           ;     ;   ;           ;   ;  ;   2;      1.680;  8.686E-03; ; 8.689E-03  4.140E-04
    ;           ;     ;   ;           ;   ;  ;   1;      2.468;  1.235E-02; ; 1.236E-02  9.450E-04
