  1 ;  0.000000 ;  0.0;  1;  1.673E+27;  0; u;    ;           ;       0+  ;1; =  7.5000E+01 %2B-                                                                                                                                                                                                           0.000000       
  2 ;  3.831720 ;  2.0;  1;  3.870E-14;  1; u;    ;           ;       2+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      3.832;  9.989E-01; ; 1.000E+00  1.120E-03
  3 ;  4.283330 ;  0.0;  1;  2.230E-10;  2; u;    ;           ;       0+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      0.452;  9.991E-01; ; 1.000E+00  9.340E-04
    ;           ;     ;   ;           ;   ;  ;   1;      4.284;  0.000E+00; ; 0.000E+00  0.000E+00
  4 ;  4.503140 ;  4.0;  1;  1.530E-09;  1; u;    ;           ;       4+  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      0.672;  9.997E-01; ; 1.000E+00  2.680E-04
  5 ;  4.506780 ;  3.0; -1;  9.400E-12;  2; u;    ;           ;       3-  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      0.675;  7.998E-01; ; 7.998E-01  9.190E-05
    ;           ;     ;   ;           ;   ;  ;   1;      4.507;  1.999E-01; ; 2.002E-01  1.050E-03
  6 ;  4.611810 ;  3.0;  1;  1.200E-12;  1; u;    ;           ;     3(+)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   2;      0.780;  9.999E-01; ; 1.000E+00  1.110E-04
  7 ;  4.695400 ;  1.0; -1;  3.260E-14;  1; u;    ;           ;        1  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   1;      4.695;  9.981E-01; ; 1.000E+00  1.930E-03
  8 ;  5.145400 ;  3.0; -1;  6.900E-10;  1; c;    ;           ;    3,4,5  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   4;      0.643;  9.999E-01; ; 1.000E+00  1.060E-04
  9 ;  5.260410 ;  4.0; -1;  5.100E-12;  3; u;    ;           ;     4(-)  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   6;      0.648;  1.438E-01; ; 1.438E-01  1.010E-04
    ;           ;     ;   ;           ;   ;  ;   5;      0.754;  8.561E-01; ; 8.562E-01  1.190E-04
    ;           ;     ;   ;           ;   ;  ;   4;      0.758;  0.000E+00; ; 0.000E+00  7.320E-05
 10 ;  5.311340 ;  2.0; -1;  2.320E-13;  3; u;    ;           ;        2  ;0;                                                                                                                                                                                                                              0.000000       
    ;           ;     ;   ;           ;   ;  ;   5;      0.804;  4.705E-02; ; 4.706E-02  1.300E-04
