  ZZ   NN   BETA    GAMMA   SPH2    OCT0    OCT1    OCT2    OCT3 
=================================================================
  12   12   6.432   4.238   0.000   0.000   0.000   0.000   7.616
  12   14   3.589   2.938   0.000   0.000   0.000   0.000   6.878
  12   16   3.863   4.557   0.000   0.000   0.000   0.000   5.172
  14   14   4.980   7.416   0.000   0.000   0.000   0.000   6.878
  14   16   0.000   0.000   2.235   0.000   0.000   0.000   5.488
  14   18   0.000   0.000   1.941   0.000   0.000   0.000   5.289
  14   20   0.000   0.000   3.328
  16   14   0.000   0.000   2.210
  16   16   3.779   4.282   0.000   0.000   0.000   0.000   5.006
  16   18   0.000   0.000   2.127   0.000   0.000   0.000   4.624
  16   20   0.000   0.000   3.291   0.000   0.000   0.000   4.193
  18   16   0.000   0.000   2.091   0.000   0.000   0.000   4.513
  18   18   0.000   0.000   1.970   0.000   0.000   0.000   4.178
  18   20   0.000   0.000   2.167   0.000   0.000   0.000   3.810
  18   22   0.000   0.000   1.461   0.000   0.000   0.000   3.680
  20   18   0.000   0.000   2.206   0.000   0.000   0.000   3.695
  20   20   0.000   0.000   3.904   0.000   0.000   0.000   3.736
  20   22   0.000   0.000   1.525   0.000   0.000   0.000   3.446
  20   24   0.000   0.000   1.157   0.000   0.000   0.000   3.308
  20   26   0.000   0.000   1.346   0.000   0.000   0.000   3.614
  20   28   0.000   0.000   3.832   0.000   0.000   0.000   4.506
  20   30   0.000   0.000   1.026
  22   20   0.000   0.000   1.556   0.000   0.000   0.000   4.375
  22   22   0.000   0.000   1.083   0.000   0.000   0.000   3.176
  22   24   2.611   2.961   0.000   0.000   0.000   0.000   3.059
  22   26   2.997   2.421   0.000   0.000   0.000   0.000   3.359
  22   28   0.000   0.000   1.554   0.000   0.000   0.000   4.147
  22   30   0.000   0.000   1.050   0.000   0.000   0.000   3.143
  22   32   0.000   0.000   1.000
  24   24   3.420   4.640   0.000   0.000   0.000   0.000   4.064
  24   26   3.694   2.925   0.000   0.000   0.000   0.000   3.937
  24   28   0.000   0.000   1.434   0.000   0.000   0.000   4.563
  24   30   2.830   2.620   0.000   0.000   0.000   0.000   4.127
  24   32   2.077   1.832   0.000   0.000   0.000   0.000   3.402
  26   26   4.146   2.760   0.000   0.000   0.000   0.000   4.397
  26   28   0.000   0.000   1.408   0.000   0.000   0.000   4.072
  26   30   2.942   2.658   0.000   0.000   0.000   0.000   3.076
  26   32   2.258   1.675   0.000   0.000   0.000   0.000   3.860
  26   34   2.299   1.975   0.000   0.000   0.000   0.000   3.293
  26   36   1.819   2.016
  28   28   0.000   0.000   2.700   0.000   0.000   0.000   4.932
  28   30   0.000   0.000   1.454   0.000   0.000   0.000   4.475
  28   32   0.000   0.000   1.333   0.000   0.000   0.000   4.040
  28   34   0.000   0.000   1.173   0.000   0.000   0.000   3.757
  28   36   0.000   0.000   1.345   0.000   0.000   0.000   3.560
  28   38   0.000   0.000   1.425   0.000   0.000   0.000   3.371
  30   32   2.330   1.805   0.000   0.000   0.000   0.000   3.209
  30   34   1.910   1.799   0.000   0.000   0.000   0.000   2.998
  30   36   2.372   1.873   0.000   0.000   0.000   0.000   2.827
  30   38   1.656   1.883   0.000   0.000   0.000   0.000   2.750
  30   40   0.000   0.000   0.885   0.000   0.000   0.000   2.859
  30   42   0.000   0.000   0.653
  32   36   1.755   1.777   0.000   0.000   0.000   0.000   2.649
  32   38   1.707   1.215   0.000   0.000   0.000   0.000   2.561
  32   40   0.000   0.000   0.834   0.000   0.000   0.000   2.514
  32   42   0.000   0.000   0.596   0.000   0.000   0.000   2.536
  32   44   1.911   1.108   0.000   0.000   0.000   0.000   2.284
  32   46   1.547   1.186   0.000   0.000   0.000   0.000   2.759
  32   50   0.000   0.000   1.348
  34   36   2.012   1.601   0.000   0.000   0.000   0.000   2.517
  34   38   0.937   1.317   0.000   0.000   0.000   0.000   2.406
  34   40   0.000   0.000   0.635   0.000   0.000   0.000   2.350
  34   42   0.000   0.000   0.559   0.000   0.000   0.000   2.429
  34   44   1.499   1.309   0.000   0.000   0.000   0.000   2.507
  34   46   1.479   1.449   0.000   0.000   0.000   0.000   2.717
  34   48   1.410   1.731   0.000   0.000   0.000   0.000   3.009
  34   50   0.000   0.000   1.454
  36   40   0.000   0.000   0.423   0.000   0.000   0.000   2.258
  36   42   0.000   0.000   0.455   0.000   0.000   0.000   2.399
  36   44   1.320   1.256   0.000   0.000   0.000   0.000   2.439
  36   46   1.487   1.475   0.000   0.000   0.000   0.000   2.547
  36   48   0.000   0.000   0.882   0.000   0.000   0.000   2.700
  36   50   0.000   0.000   1.564   0.000   0.000   0.000   3.099
  38   44   0.000   0.000   0.574   0.000   0.000   0.000   2.402
  38   46   0.000   0.000   0.793   0.000   0.000   0.000   2.448
  38   48   0.000   0.000   1.077   0.000   0.000   0.000   2.482
  38   50   0.000   0.000   1.836   0.000   0.000   0.000   2.734
  38   52   0.000   0.000   0.832   0.000   0.000   0.000   2.207
  40   42   0.000   0.000   0.407
  40   44   0.000   0.000   0.540
  40   46   0.000   0.000   0.751   0.000   0.000   0.000   2.343
  40   48   0.000   0.000   1.057   0.000   0.000   0.000   2.455
  40   50   0.000   0.000   2.186   0.000   0.000   0.000   2.748
  40   52   0.000   0.000   0.934   0.000   0.000   0.000   2.340
  40   54   0.000   0.000   0.919   0.000   0.000   0.000   2.058
  40   56   0.000   0.000  -0.800   0.000   0.000   0.000   1.897
  40   58   0.854   1.590   0.000   0.000   0.000   0.000   1.806
  42   42   0.000   0.000   0.444
  42   44   0.000   0.000   0.567
  42   46   0.000   0.000   0.740
  42   48   0.000   0.000   0.948   0.000   0.000   0.000   2.436
  42   50   0.000   0.000   1.509   0.000   0.000   0.000   2.850
  42   52   0.000   0.000   0.871   0.000   0.000   0.000   2.534
  42   54   0.000   0.000   0.778   0.000   0.000   0.000   2.234
  42   56   0.735   1.432   0.000   0.000   0.000   0.000   2.018
  42   58   0.695   1.464   0.000   0.000   0.000   0.000   1.908
  42   60   0.698   0.848   0.000   0.000   0.000   0.000   1.881
  42   62   0.886   0.812   0.000   0.000   0.000   0.000   1.607
  42   64   0.956   0.710   0.000
  44   48   0.000   0.000   0.865
  44   50   0.000   0.000   1.430   0.000   0.000   0.000   2.965
  44   52   0.000   0.000   0.833   0.000   0.000   0.000   2.650
  44   54   1.322   1.414   0.000   0.000   0.000   0.000   2.435
  44   56   1.130   1.362   0.000   0.000   0.000   0.000   2.167
  44   58   0.944   1.103   0.000   0.000   0.000   0.000   2.044
  44   60   0.988   0.893   0.000   0.000   0.000   0.000   1.970
  44   62   0.990   0.792   0.000
  44   64   0.976   0.708   0.000
  46   50   0.000   0.000   1.415
  46   52   0.000   0.000   0.863
  46   54  -1.588  -1.523   0.000
  46   56   1.593   1.534   0.000   0.000   0.000   0.000   2.343
  46   58   1.334   1.341   0.000 
  46   60   1.134   1.128   0.000   0.000   0.000   0.000   2.084
  46   62   1.053   0.931   0.000   0.000   0.000   0.000   2.047
  46   64   0.947   0.814   0.000   0.000   0.000   0.000   2.038
  46   66   0.890   0.737   0.000
  46   68   0.872   0.694   0.000
  46   70   1.110   0.737   0.000
  48   50   0.000   0.000   1.395
  48   52   0.000   0.000   1.005
  48   58   1.795   1.717   0.000   0.000   0.000   0.000   2.379
  48   60   1.720   1.602   0.000   0.000   0.000   0.000   2.202
  48   62   1.473   1.475   0.000   0.000   0.000   0.000   2.079
  48   64   1.224   1.312   0.000   0.000   0.000   0.000   2.005
