   Z  A  El   I0    Bn       D0        Derr    Nlow  Ulow   Ntop  Utop    ctable    deltac    ptable 
  11  24 Na  1.5   6.875  9.500E+04  3.000E+04   8   1.886   16   3.589  -0.00972   0.12650   0.14540
  12  25 Mg  0.0   7.331  4.700E+05  1.400E+05   7   2.801   16   4.722   0.00000   0.11400   0.00000
  12  26 Mg  2.5  11.093  4.300E+04  1.700E+04   7   4.350   25   7.242  -0.08223   0.13850   1.90872
  12  27 Mg  0.0   6.443  2.600E+05  5.000E+04   8   3.562   29   5.909   0.01315   0.09250   1.94340
  13  28 Al  2.5   7.725  4.500E+04  1.500E+04   6   1.623   20   3.591  -0.24231   0.12050  -0.59386
  14  29 Si  0.0   8.395  2.000E+05  6.000E+04   5   3.624   24   6.713   1.00650   0.28900   4.14581
  14  30 Si  0.5  10.609  3.500E+05  1.600E+05   4   3.788   19   6.915  -0.46545   0.15900   0.94029
  15  32 P   0.5   7.936  7.500E+04  2.000E+04   8   2.230   15   3.443   0.00000   0.09750   0.00000
  16  33 S   0.0   8.642  1.500E+05  3.500E+04   2   1.967   25   5.282  -0.24002   0.08400   0.58713
  16  34 S   1.5  11.417  2.700E+04  1.000E+04   8   4.877   15   5.756  -0.51754   0.12600  -0.47517
  16  35 S   0.0   6.986  2.000E+05  7.000E+04   6   3.421   17   4.180   0.00000   0.13000  -0.98408
  17  36 Cl  1.5   8.580  2.300E+04  6.000E+03   8   2.518   17   3.332  -0.18249   0.09300   0.23169
  17  38 Cl  1.5   6.108  1.500E+04  4.000E+03   2   0.755   15   3.254   0.55522   0.16250   1.60788
  18  41 Ar  0.0   6.010  7.020E+04  1.700E+04   7   1.988   15   3.010   0.68385   0.18550   1.24904
  19  40 K   1.5   7.800  1.500E+04  5.000E+03   8   2.104   19   2.747  -0.34184   0.12050  -0.57710
  19  42 K   1.5   7.534  1.500E+04  5.000E+03   8   1.111   16   1.400  -0.94995   0.23200  -3.27623
  20  41 Ca  0.0   8.363  3.260E+04  4.300E+03   6   2.671   16   3.614   0.45048   0.08900   0.64812
  20  43 Ca  0.0   7.933  2.000E+04  5.000E+03   3   0.990   29   3.030   1.25819   0.32150   1.35125
  20  44 Ca -3.5  11.131  1.800E+03  3.000E+02   8   3.308   27   4.409   0.08339   0.05750   2.35147
  20  45 Ca  0.0   7.415  2.410E+04  3.200E+03   8   1.900   23   3.024   0.65704   0.14300   1.04857
  21  46 Sc -3.5   8.761  1.300E+03  1.000E+02   6   0.444   15   1.121  -0.07221   0.02700   0.05014
  22  47 Ti  0.0   8.880  2.500E+04  4.400E+03   3   1.252   15   2.406  -0.31407   0.05800  -0.65289
  22  48 Ti -2.5  11.627  1.750E+03  2.500E+02   2   2.296   15   3.699  -0.16046   0.04300   0.23110
  22  49 Ti  0.0   8.142  1.830E+04  2.900E+03   8   2.261   16   2.721   0.20811   0.05750   0.36635
  22  50 Ti -3.5  10.939  4.000E+03  8.000E+02   5   3.868   15   4.576  -0.37833   0.07350   0.53096
  22  51 Ti  0.0   6.372  1.250E+05  7.000E+04   3   1.567   16   3.644   0.00000   0.25150   0.00000
  23  51 V   6.0  11.051  2.300E+03  6.000E+02   2   0.929   15   3.310  -0.20523   0.08350   0.73846
  23  52 V  -3.5   7.311  4.100E+03  6.000E+02   4   0.148   15   1.733  -0.10050   0.05450  -0.20419
  24  51 Cr  0.0   9.261  1.330E+04  1.300E+03   6   1.557   15   2.763   0.03888   0.03400   0.56964
  24  53 Cr  0.0   7.939  4.340E+04  4.370E+03   5   1.974   25   3.382  -0.42791   0.07400  -0.89986
  24  54 Cr -1.5   9.719  7.800E+03  8.000E+02   4   2.830   15   3.799   0.02919   0.03450   0.66724
  24  55 Cr  0.0   6.246  6.200E+04  8.000E+03   8   1.474   24   2.895   2.26322   0.54900   1.74627
  25  56 Mn -2.5   7.270  2.300E+03  4.000E+02   6   0.341   16   0.974  -0.41358   0.08150  -1.33500
  26  55 Fe  0.0   9.298  1.800E+04  2.400E+03   3   1.317   15   2.578  -0.12540   0.04650   0.81472
  26  57 Fe  0.0   7.646  2.540E+04  2.200E+03   8   1.266   15   2.113  -0.15175   0.03150  -0.37561
  26  58 Fe -0.5  10.045  6.500E+03  1.000E+03   2   1.675   22   3.790  -0.49730   0.09750  -0.23220
  26  59 Fe  0.0   6.581  2.540E+04  4.900E+03   6   0.726   16   1.962  -0.13199   0.07500  -0.27511
  27  60 Co -3.5   7.492  1.250E+03  1.500E+02   7   0.615   15   1.208  -0.33811   0.05500  -0.58666
  28  59 Ni  0.0   8.999  1.340E+04  9.000E+02   2   0.465   23   2.681  -0.21899   0.02300   0.17145
  28  60 Ni -1.5  11.388  2.000E+03  7.000E+02   7   3.124   32   4.191  -0.80314   0.19550  -0.30833
  28  61 Ni  0.0   7.820  1.380E+04  9.000E+02   8   1.185   15   1.998  -0.20357   0.02300  -0.54314
  28  62 Ni -1.5  10.597  2.100E+03  1.500E+02   6   3.059   18   3.518  -0.74525   0.14700  -1.61663
  28  63 Ni  0.0   6.838  1.600E+04  3.000E+03   8   1.324   18   2.353   0.10260   0.07350   0.05251
  28  65 Ni  0.0   6.098  1.960E+04  3.000E+03   7   1.418   17   2.325   0.70467   0.16300   0.83375
  29  64 Cu -1.5   7.916  9.500E+02  9.000E+01   4   0.362   29   1.607  -0.03737   0.03500   0.27417
  29  66 Cu -1.5   7.066  1.300E+03  1.100E+02   5   0.465   16   1.158  -0.27451   0.03450  -0.25447
  30  65 Zn  0.0   7.979  3.590E+03  1.600E+02   7   0.910   18   1.603  -0.23308   0.01650  -0.36206
  30  67 Zn  0.0   7.052  4.620E+03  5.500E+02   2   0.185   19   1.643  -0.17579   0.04500  -0.19739
