# Z   N   A  s     Bin     hwin   alphain deltain  Bout   hwout  alphaout deltaout Bout2  hwout2 alphaout2 deltaout2
#                 [MeV]   [MeV] [MeV^-1/2] [MeV]  [MeV]   [MeV] [MeV^-1/2] [MeV]  [MeV]   [MeV] [MeV^-1/2] [MeV]
#-------------------------------------------------------------------------------------------------------------------
  90 141 231 Th    5.80    0.60    0.00    0.00    6.25    0.85   -0.17    0.00    6.25    0.85   -0.17    0.00
  90 142 232 Th    5.86    0.60    0.47    0.00    6.33    0.85    0.47    0.60    6.33    0.85    0.47    0.60
  90 143 233 Th    5.60    0.60   -0.62    0.00    6.36    0.85   -0.62    0.00    6.40    0.85   -0.62    0.00
  91 140 231 Pa    5.26    0.60   -0.30    0.00    6.10    0.85   -0.30    0.00    6.10    0.85   -0.30    0.00
  91 141 232 Pa    5.70    0.60   -0.20    0.00    6.15    0.85   -0.20   -0.50    6.35    0.85   -0.20   -0.50
  91 142 233 Pa    6.35    0.65   -0.30    0.00    6.35    0.40   -0.30    0.00    
  91 143 234 Pa    5.65    0.60   -0.30    0.00    6.20    0.85   -0.30    0.00    6.10    0.85   -0.30    0.00
  92 142 234 U     5.38    0.66    0.00    0.00    6.15    0.45    0.00    0.00    2.27    0.28    0.00    0.00
  92 143 235 U     5.54    0.68    0.00    0.00    5.80    0.48    0.00    0.00
  92 144 236 U     5.52    0.63    0.00    0.00    6.03    0.40    0.00    0.00
  92 145 237 U     5.90    0.61    0.00    0.00    6.03    0.45    0.00    0.00    4.22    0.19    0.00    0.00
  92 146 238 U     5.80    0.69    0.00    0.00    6.17    0.46    0.00    0.00    3.81    0.14    0.00    0.00 
  92 147 239 U     6.07    0.65    0.00    0.00    6.07    0.40    0.00    0.00    3.68    0.09    0.00    0.00
  93 143 236 Np    5.39    0.67    0.00    0.00    5.54    0.50    0.00    0.00 
  93 144 237 Np    5.74    0.67    0.00    0.00    6.08    0.46    0.00    0.00 
  93 145 238 Np    6.20    0.67   -0.45   -0.50    6.27    0.43   -0.45   -0.50 
  94 143 237 Pu    5.35    0.66    0.00    0.00    5.07    0.42    0.00    0.00 
  94 144 238 Pu    5.57    0.67    0.00    0.00    5.35    0.39    0.00    0.00 
  94 145 239 Pu    5.96    0.67    0.00    0.00    5.86    0.42    0.00    0.00 
  94 146 240 Pu    5.89    0.70    0.00    0.00    5.73    0.37    0.00    0.00 
  94 147 241 Pu    5.85    0.72   -0.20    0.00    5.81    0.43   -0.20    0.00 
  94 148 242 Pu    6.02    0.70    1.60    0.00    5.61    0.45    1.60    0.00 
  94 149 243 Pu    5.78    0.72    0.00    0.00    5.59    0.46    0.00    0.00 
  95 144 239 Am    6.10    0.65    0.00    0.00    4.49    0.35    0.00    0.00 
  95 145 240 Am    6.00    0.59    0.00    0.00    4.56    0.43    0.00    0.00 
  95 146 241 Am    6.00    0.69    0.20    0.00    5.35    0.43    0.30    0.00 
  95 147 242 Am    6.32    0.65    0.07    0.00    5.78    0.43    0.00   -0.40 
  95 148 243 Am    6.20    1.00    0.00   -0.30    5.33    0.50    0.00   -0.30 
  95 149 244 Am    6.25    0.63    0.05   -0.30    5.90    0.59   -0.30   -0.30 
  96 145 241 Cm    6.04    0.67    0.00    0.00    4.07    0.41    0.00    0.00 
  96 146 242 Cm    6.20    0.66    0.00    0.00    4.90    0.42    0.00    0.00 
  96 147 243 Cm    6.10    0.64    0.00    0.00    5.40    0.39    0.00    0.00 
  96 148 244 Cm    6.18    0.90    0.00    0.00    5.10    0.60    0.80   -1.20 
  96 149 245 Cm    6.35    0.68   -0.50    0.00    5.45    0.50    0.43   -0.60 
  96 150 246 Cm    6.00    0.90    0.05   -0.78    4.80    0.60    0.52   -0.75 
  96 151 247 Cm    6.12    0.80   -0.05   -1.10    5.10    0.52    0.20   -1.10 
