#  Theoretical Giant Dipole Resonance parameters
#  Z   A El    Eta    E1     W1     E2     W2
#                   [MeV]  [MeV]  [MeV]  [MeV] 
#--------------------------------------------------
  14  35 Si  1.000  21.27   7.76  21.27   7.76
  14  36 Si  1.216  18.63   5.41  22.29   9.55
  14  37 Si  1.310  17.55   4.95  22.51   9.49
  14  38 Si  1.305  17.45   4.81  22.29   9.11
  14  39 Si  1.301  17.32   4.68  22.08   8.87
  14  40 Si  1.364  16.61   4.33  22.12   8.52
  14  41 Si  1.368  16.42   4.13  21.93   7.93
  14  42 Si  1.415  15.89   3.82  21.89   7.34
  14  43 Si  1.323  16.48   4.07  21.34   7.31
  14  44 Si  1.296  16.57   4.13  21.03   7.27
  14  45 Si  1.276  16.58   4.12  20.74   7.07
  14  46 Si  1.276  16.41   4.06  20.54   6.92
  14  47 Si  1.000  19.01   5.66  19.01   5.66
  15  35 P   1.000  21.36   7.26  21.36   7.26
  15  36 P   1.000  21.20   7.92  21.20   7.92
  15  37 P   1.191  18.82   5.59  22.10   9.76
  15  38 P   1.287  17.73   5.11  22.37   9.72
  15  39 P   1.280  17.66   4.95  22.16   9.30
  15  40 P   1.293  17.39   4.77  22.03   8.99
  15  41 P   1.249  17.64   4.72  21.65   8.44
  15  42 P   1.281  17.19   4.48  21.60   8.08
  15  43 P   1.323  16.67   4.15  21.58   7.50
  15  44 P   1.261  17.08   4.35  21.14   7.51
  15  45 P   1.235  17.16   4.39  20.84   7.38
  15  46 P   1.188  17.45   4.52  20.44   7.22
  15  47 P   1.146  17.70   4.59  20.06   6.99
  15  48 P   1.000  19.10   5.85  19.10   5.85
  15  49 P   1.000  18.93   5.83  18.93   5.83
  15  50 P   1.102  18.75   6.17  18.75   6.17
  16  35 S   1.095  21.38   7.32  21.38   7.32
  16  36 S   1.000  21.24   7.22  21.24   7.22
  16  37 S   1.000  21.09   7.92  21.09   7.92
  16  38 S   1.182  18.85   5.62  21.97   9.81
  16  39 S   1.272  17.82   5.16  22.23   9.78
  16  40 S   1.257  17.82   5.01  22.00   9.27
  16  41 S   1.265  17.61   4.83  21.87   8.90
  16  42 S   1.257  17.55   4.65  21.66   8.34
  16  43 S   1.262  17.35   4.46  21.49   7.93
  16  44 S   1.281  17.04   4.29  21.41   7.52
  16  45 S   1.250  17.20   4.41  21.11   7.54
  16  46 S   1.279  16.79   4.25  21.06   7.39
  16  47 S   1.188  17.49   4.55  20.49   7.29
  16  48 S   1.198  17.25   4.43  20.35   7.12
  16  49 S   1.000  19.17   5.96  19.17   5.96
  16  50 S   1.000  19.00   5.97  19.00   5.97
  16  51 S   1.102  18.84   6.34  18.84   6.34
  17  35 Cl  1.198  19.06   5.37  22.49   9.22
  17  36 Cl  1.141  19.56   5.71  22.07   9.32
