 Z=   9 A=  12  F  beta2= 0.62 nrho= 132
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   6.903954E-02  -3.568643E-16  -5.412337E-16  -6.755005E-16   2.145734E-16   7.670554E-02  -4.034118E-16  -6.036838E-16  -4.378244E-16  -1.401880E-15
   0.100   6.888582E-02   5.011575E-05   3.590822E-09   2.122698E-13  -7.438546E-16   7.672410E-02   1.455404E-05  -3.145862E-09  -6.196591E-13  -1.301746E-15
   0.200   6.842627E-02   1.986752E-04   5.693023E-08   1.350162E-11  -1.025661E-14   7.677513E-02   5.810928E-05  -4.965201E-08  -3.913712E-11  -4.285747E-14
   0.300   6.766581E-02   4.403924E-04   2.838496E-07   1.514423E-10  -2.465163E-13   7.684500E-02   1.303326E-04  -2.456964E-07  -4.367562E-10  -1.051996E-12
   0.400   6.661256E-02   7.667124E-04   8.781583E-07   8.326789E-10  -2.411004E-12   7.691186E-02   2.306281E-04  -7.520055E-07  -2.384397E-09  -1.026651E-11
   0.500   6.527782E-02   1.166179E-03   2.085879E-06   3.089159E-09  -1.406054E-11   7.694685E-02   3.580827E-04  -1.761276E-06  -8.763969E-09  -5.948478E-11
   0.600   6.367591E-02   1.624924E-03   4.182476E-06   8.915178E-09  -5.889570E-11   7.691582E-02   5.113983E-04  -3.469936E-06  -2.500033E-08  -2.470395E-10
   0.700   6.182411E-02   2.127247E-03   7.446956E-06   2.159263E-08  -1.959865E-10   7.678119E-02   6.888224E-04  -6.047201E-06  -5.970378E-08  -8.137604E-10
   0.800   5.974240E-02   2.656270E-03   1.213496E-05   4.592363E-08  -5.503540E-10   7.650412E-02   8.880861E-04  -9.604710E-06  -1.248678E-07  -2.258449E-09
   0.900   5.745328E-02   3.194610E-03   1.845306E-05   8.830884E-08  -1.355970E-09   7.604665E-02   1.106358E-03  -1.416999E-05  -2.354318E-07  -5.490569E-09
   1.000   5.498147E-02   3.725068E-03   2.653627E-05   1.566262E-07  -3.010225E-09   7.537378E-02   1.340225E-03  -1.966663E-05  -4.080983E-07  -1.200760E-08
   1.100   5.235354E-02   4.231271E-03   3.643060E-05   2.598875E-07  -6.136489E-09   7.445546E-02   1.585705E-03  -2.590360E-05  -6.594013E-07  -2.407413E-08
   1.200   4.959757E-02   4.698265E-03   4.808202E-05   4.076771E-07  -1.164898E-08   7.326814E-02   1.838301E-03  -3.257491E-05  -1.003139E-06  -4.487110E-08
   1.300   4.674268E-02   5.113007E-03   6.133258E-05   6.094062E-07  -2.081196E-08   7.179610E-02   2.093086E-03  -3.927033E-05  -1.447395E-06  -7.857861E-08
   1.400   4.381855E-02   5.464767E-03   7.592397E-05   8.734401E-07  -3.528379E-08   7.003226E-02   2.344827E-03  -4.549648E-05  -1.991468E-06  -1.303564E-07
   1.500   4.085493E-02   5.745397E-03   9.150818E-05   1.206176E-06  -5.713593E-08   6.797858E-02   2.588147E-03  -5.070668E-05  -2.623088E-06  -2.061928E-07
   1.600   3.788112E-02   5.949487E-03   1.076644E-04   1.611163E-06  -8.883755E-08   6.564598E-02   2.817695E-03  -5.433738E-05  -3.316297E-06  -3.126059E-07
   1.700   3.492545E-02   6.074386E-03   1.239205E-04   2.088349E-06  -1.331987E-07   6.305389E-02   3.028342E-03  -5.584803E-05  -4.030372E-06  -4.561976E-07
   1.800   3.201477E-02   6.120114E-03   1.397786E-04   2.633551E-06  -1.932678E-07   6.022934E-02   3.215369E-03  -5.476123E-05  -4.710039E-06  -6.430843E-07
   1.900   2.917400E-02   6.089165E-03   1.547406E-04   3.238198E-06  -2.721830E-07   5.720576E-02   3.374648E-03  -5.069982E-05  -5.287152E-06  -8.782445E-07
   2.000   2.642571E-02   5.986225E-03   1.683348E-04   3.889404E-06  -3.729837E-07   5.402163E-02   3.502796E-03  -4.341790E-05  -5.683834E-06  -1.164846E-06
   2.100   2.378981E-02   5.817820E-03   1.801394E-04   4.570370E-06  -4.983894E-07   5.071883E-02   3.597307E-03  -3.282330E-05  -5.816940E-06  -1.503623E-06
   2.200   2.128320E-02   5.591922E-03   1.898026E-04   5.261107E-06  -6.505618E-07   4.734107E-02   3.656630E-03  -1.898971E-05  -5.603535E-06  -1.892385E-06
