 Z=  10 A=  15  Ne beta2= 0.60 nrho= 132
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   6.647435E-02  -3.568643E-16  -4.891920E-16  -9.256859E-16  -3.576224E-16   8.481382E-02  -4.499593E-16  -5.828671E-16  -1.275945E-15   7.295497E-16
   0.100   6.647120E-02   6.858381E-05   1.484105E-08   1.840839E-12   1.759502E-15   8.484212E-02  -4.038591E-05  -5.221451E-09  -1.322280E-12  -3.004028E-15
   0.200   6.645769E-02   2.726782E-04   2.357450E-07   1.169525E-10   5.049628E-14   8.492222E-02  -1.575169E-04  -8.056879E-08  -8.271546E-11  -6.324195E-14
   0.300   6.642194E-02   6.073460E-04   1.179141E-06   1.314848E-09   1.251621E-12   8.503999E-02  -3.396032E-04  -3.833076E-07  -9.073512E-10  -1.519838E-12
   0.400   6.634499E-02   1.064471E-03   3.664143E-06   7.253442E-09   1.228313E-11   8.517274E-02  -5.679414E-04  -1.106126E-06  -4.832033E-09  -1.460554E-11
   0.500   6.620204E-02   1.632932E-03   8.752802E-06   2.702439E-08   7.143546E-11   8.529045E-02  -8.182587E-04  -2.383768E-06  -1.717780E-08  -8.293869E-11
   0.600   6.596405E-02   2.298841E-03   1.767165E-05   7.839789E-08   2.980693E-10   8.535736E-02  -1.062451E-03  -4.182433E-06  -4.693232E-08  -3.358526E-10
   0.700   6.559963E-02   3.045863E-03   3.171938E-05   1.910502E-07   9.873217E-10   8.533391E-02  -1.270583E-03  -6.188964E-06  -1.061019E-07  -1.072795E-09
   0.800   6.507705E-02   3.855605E-03   5.216632E-05   4.092170E-07   2.757867E-09   8.517881E-02  -1.413012E-03  -7.717703E-06  -2.070674E-07  -2.869825E-09
   0.900   6.436627E-02   4.708068E-03   8.015223E-05   7.932406E-07   6.754288E-09   8.485119E-02  -1.462465E-03  -7.651472E-06  -3.576106E-07  -6.679913E-09
   1.000   6.344084E-02   5.582171E-03   1.165887E-04   1.419567E-06   1.489451E-08   8.431269E-02  -1.395941E-03  -4.429610E-06  -5.537190E-07  -1.388064E-08
