 Z=  13 A=  19  Al beta2=-0.50 nrho= 132
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   6.017501E-02  -3.025588E-16  -4.996004E-16  -4.878615E-16  -9.727329E-16   9.907377E-02  -5.430544E-16  -6.869505E-16  -1.013251E-15  -6.580252E-16
   0.100   6.023773E-02  -8.350670E-05   1.993229E-08  -2.596211E-12  -1.230221E-15   9.899132E-02   3.823956E-05  -7.792918E-09   5.311436E-13  -5.006714E-16
   0.200   6.042031E-02  -3.318637E-04   3.164673E-07  -1.647756E-10   5.032463E-14   9.874500E-02   1.486566E-04  -1.205098E-07   3.214852E-11  -1.473404E-14
   0.300   6.070633E-02  -7.386363E-04   1.581647E-06  -1.851380E-09   1.268601E-12   9.833781E-02   3.186583E-04  -5.755835E-07   3.304715E-10  -2.770000E-13
   0.400   6.106943E-02  -1.293281E-03   4.909512E-06  -1.020473E-08   1.242744E-11   9.777437E-02   5.282734E-04  -1.671322E-06   1.585524E-09  -2.349422E-12
   0.500   6.147467E-02  -1.981417E-03   1.171124E-05  -3.797940E-08   7.223350E-11   9.706052E-02   7.515983E-04  -3.636048E-06   4.779531E-09  -1.116699E-11
   0.600   6.188046E-02  -2.785199E-03   2.360437E-05  -1.100343E-07   3.011549E-10   9.620264E-02   9.586682E-04  -6.473375E-06   9.911528E-09  -3.396443E-11
   0.700   6.224071E-02  -3.683791E-03   4.228367E-05  -2.677319E-07   9.965547E-10   9.520706E-02   1.117617E-03  -9.807642E-06   1.291836E-08  -6.364542E-11
   0.800   6.250723E-02  -4.653933E-03   6.938213E-05  -5.724431E-07   2.780412E-09   9.407938E-02   1.196967E-03  -1.275464E-05   3.336752E-10  -2.245607E-11
   0.900   6.263223E-02  -5.670583E-03   1.063318E-04  -1.107407E-06   6.800335E-09   9.282389E-02   1.167890E-03  -1.384059E-05  -5.834629E-08   3.693218E-10
   1.000   6.257070E-02  -6.707626E-03   1.542337E-04  -1.977331E-06   1.497303E-08   9.144320E-02   1.006267E-03  -1.098728E-05  -2.200672E-07   1.841666E-09
   1.100   6.228262E-02  -7.738628E-03   2.137457E-04  -3.305347E-06   3.024664E-08   8.993794E-02   6.944288E-04  -1.573522E-06  -5.782874E-07   5.978781E-09
   1.200   6.173485E-02  -8.737608E-03   2.849965E-04  -5.227214E-06   5.684674E-08   8.830676E-02   2.224403E-04   1.742575E-05  -1.272115E-06   1.580158E-08
   1.300   6.090265E-02  -9.679803E-03   3.675308E-04  -7.882967E-06   1.004621E-07   8.654653E-02  -4.111321E-04   4.923080E-05  -2.492617E-06   3.652130E-08
   1.400   5.977065E-02  -1.054240E-02   4.602916E-04  -1.140651E-05   1.683232E-07   8.465278E-02  -1.199015E-03   9.699564E-05  -4.484377E-06   7.641491E-08
   1.500   5.833345E-02  -1.130522E-02   5.616379E-04  -1.591394E-05   2.691301E-07   8.262033E-02  -2.125579E-03   1.635173E-04  -7.540680E-06   1.477257E-07
   1.600   5.659563E-02  -1.195127E-02   6.694003E-04  -2.149153E-05   4.127952E-07   8.044398E-02  -3.167702E-03   2.509439E-04  -1.199132E-05   2.674468E-07
   1.700   5.457135E-02  -1.246719E-02   7.809687E-04  -2.818446E-05   6.099860E-07   7.811943E-02  -4.296070E-03   3.605096E-04  -1.818286E-05   4.578139E-07
   1.800   5.228345E-02  -1.284362E-02   8.934080E-04  -3.598739E-05   8.714708E-07   7.564407E-02  -5.476811E-03   4.923253E-04  -2.645217E-05   7.463232E-07
   1.900   4.976233E-02  -1.307532E-02   1.003593E-03  -4.483780E-05   1.207298E-06   7.301781E-02  -6.673342E-03   6.452453E-04  -3.709510E-05   1.165108E-06
   2.000   4.704442E-02  -1.316123E-02   1.108355E-03  -5.461283E-05   1.625864E-06   7.024375E-02  -7.848294E-03   8.168260E-04  -5.033297E-05   1.749564E-06
   2.100   4.417063E-02  -1.310427E-02   1.204632E-03  -6.513023E-05   2.132935E-06   6.732869E-02  -8.965406E-03   1.003383E-03  -6.628014E-05   2.536185E-06
   2.200   4.118458E-02  -1.291108E-02   1.289611E-03  -7.615344E-05   2.730723E-06   6.428341E-02  -9.991251E-03   1.200145E-03  -8.491630E-05   3.559680E-06
   2.300   3.813097E-02  -1.259163E-02   1.360853E-03  -8.740064E-05   3.417102E-06   6.112273E-02  -1.089671E-02   1.401487E-03  -1.060666E-04   4.849558E-06
   2.400   3.505393E-02  -1.215863E-02   1.416402E-03  -9.855729E-05   4.185044E-06   5.786537E-02  -1.165815E-02   1.601236E-03  -1.293926E-04   6.426442E-06
   2.500   3.199565E-02  -1.162700E-02   1.454860E-03  -1.092912E-04   5.022373E-06   5.453347E-02  -1.225816E-02   1.793009E-03  -1.543954E-04   8.298499E-06
   2.600   2.899510E-02  -1.101319E-02   1.475432E-03  -1.192692E-04   5.911863E-06   5.115207E-02  -1.268599E-02   1.970574E-03  -1.804323E-04   1.045837E-05
   2.700   2.608710E-02  -1.033453E-02   1.477942E-03  -1.281744E-04   6.831715E-06   4.774826E-02  -1.293755E-02   2.128188E-03  -2.067455E-04   1.288098E-05
   2.800   2.330156E-02  -9.608601E-03   1.462815E-03  -1.357224E-04   7.756404E-06   4.435038E-02  -1.301509E-02   2.260900E-03  -2.325008E-04   1.552263E-05
   2.900   2.066310E-02  -8.852614E-03   1.431028E-03  -1.416754E-04   8.657836E-06   4.098703E-02  -1.292660E-02   2.364802E-03  -2.568343E-04   1.832150E-05
   3.000   1.819080E-02  -8.082916E-03   1.384040E-03  -1.458542E-04   9.506756E-06   3.768621E-02  -1.268492E-02   2.437192E-03  -2.789024E-04   2.119975E-05
   3.100   1.589826E-02  -7.314528E-03   1.323705E-03  -1.481461E-04   1.027430E-05   3.447439E-02  -1.230682E-02   2.476665E-03  -2.979312E-04   2.406710E-05
   3.200   1.379386E-02  -6.560807E-03   1.252166E-03  -1.485085E-04   1.093356E-05   3.137576E-02  -1.181184E-02   2.483120E-03  -3.132614E-04   2.682563E-05
   3.300   1.188112E-02  -5.833205E-03   1.171751E-03  -1.469693E-04   1.146112E-05   2.841161E-02  -1.122124E-02   2.457688E-03  -3.243852E-04   2.937553E-05
   3.400   1.015928E-02  -5.141127E-03   1.084862E-03  -1.436230E-04   1.183828E-05   2.559979E-02  -1.055695E-02   2.402595E-03  -3.309727E-04   3.162121E-05
   3.500   8.623830E-03  -4.491893E-03   9.938789E-04  -1.386228E-04   1.205215E-05   2.295444E-02  -9.840630E-03   2.320972E-03  -3.328853E-04   3.347730E-05
   3.600   7.267215E-03  -3.890775E-03   9.010683E-04  -1.321710E-04   1.209622E-05   2.048584E-02  -9.092871E-03   2.216635E-03  -3.301767E-04   3.487403E-05
   3.700   6.079473E-03  -3.341121E-03   8.085088E-04  -1.245066E-04   1.197064E-05   1.820041E-02  -8.332532E-03   2.093845E-03  -3.230813E-04   3.576146E-05
   3.800   5.048870E-03  -2.844522E-03   7.180348E-04  -1.158925E-04   1.168208E-05   1.610086E-02  -7.576283E-03   1.957074E-03  -3.119918E-04   3.611239E-05
   3.900   4.162502E-03  -2.401033E-03   6.311962E-04  -1.066020E-04   1.124315E-05   1.418652E-02  -6.838307E-03   1.810782E-03  -2.974292E-04   3.592342E-05
   4.000   3.406828E-03  -2.009410E-03   5.492383E-04  -9.690634E-05   1.067159E-05   1.245364E-02  -6.130149E-03   1.659226E-03  -2.800062E-04   3.521448E-05
   4.100   2.768137E-03  -1.667365E-03   4.730959E-04  -8.706314E-05   9.989101E-06   1.089593E-02  -5.460726E-03   1.506307E-03  -2.603895E-04   3.402673E-05
   4.200   2.232934E-03  -1.371814E-03   4.034041E-04  -7.730742E-05   9.220134E-06   9.504949E-03  -4.836439E-03   1.355448E-03  -2.392618E-04   3.241904E-05
   4.300   1.788255E-03  -1.119117E-03   3.405191E-04  -6.784413E-05   8.390512E-06   8.270653E-03  -4.261381E-03   1.209528E-03  -2.172877E-04   3.046365E-05
   4.400   1.421899E-03  -9.052866E-04   2.845498E-04  -5.884345E-05   7.526140E-06   7.181847E-03  -3.737606E-03   1.070844E-03  -1.950843E-04   2.824117E-05
   4.500   1.122593E-03  -7.261841E-04   2.353937E-04  -5.043832E-05   6.651800E-06   6.226637E-03  -3.265438E-03   9.411142E-04  -1.731986E-04   2.583550E-05
   4.600   8.800957E-04  -5.776727E-04   1.927771E-04  -4.272410E-05   5.790131E-06   5.392829E-03  -2.843791E-03   8.215063E-04  -1.520922E-04   2.332904E-05
   4.700   6.852413E-04  -4.557458E-04   1.562954E-04  -3.576026E-05   4.960830E-06   4.668270E-03  -2.470486E-03   7.126919E-04  -1.321333E-04   2.079855E-05
   4.800   5.299478E-04  -3.566230E-04   1.254516E-04  -2.957345E-05   4.180100E-06   4.041138E-03  -2.142547E-03   6.149114E-04  -1.135949E-04   1.831188E-05
   4.900   4.071830E-04  -2.768169E-04   9.969183E-05  -2.416177E-05   3.460356E-06   3.500158E-03  -1.856471E-03   5.280488E-04  -9.665914E-05   1.592570E-05
   5.000   3.109074E-04  -2.131750E-04   7.843662E-05  -1.949965E-05   2.810177E-06   3.034767E-03  -1.608454E-03   4.517076E-04  -8.142580E-05   1.368437E-05
