 Z=  30 A=  53  Zn beta2= 0.23 nrho= 151
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   9.232902E-02  -4.809910E-16  -8.118506E-16  -2.877132E-16  -2.632101E-15   8.643958E-02  -4.344435E-16  -7.910339E-16  -2.001483E-16  -1.873941E-15
   0.100   9.217587E-02   8.362138E-06  -1.541452E-08   9.156410E-13  -2.202954E-15   8.641312E-02   7.408955E-05  -5.392380E-10  -6.355121E-12  -7.152448E-16
   0.200   9.172181E-02   3.269736E-05  -2.445079E-07   5.788577E-11   1.548791E-13   8.633432E-02   2.926889E-04  -8.577481E-09  -4.041977E-10  -1.019367E-13
   0.300   9.098274E-02   7.079730E-05  -1.220055E-06   6.455817E-10   3.931643E-12   8.620493E-02   6.449673E-04  -4.305711E-08  -4.557189E-09  -2.602161E-12
   0.400   8.998446E-02   1.191309E-04  -3.778414E-06   3.521438E-09   3.838011E-11   8.602790E-02   1.113455E-03  -1.348283E-07  -2.524099E-08  -2.570889E-11
   0.500   8.876165E-02   1.730651E-04  -8.985493E-06   1.293030E-08   2.221093E-10   8.580740E-02   1.674891E-03  -3.266700E-07  -9.452833E-08  -1.513654E-10
   0.600   8.735641E-02   2.271660E-04  -1.803963E-05   3.684661E-08   9.210104E-10   8.554880E-02   2.301354E-03  -6.751827E-07  -2.759691E-07  -6.410503E-10
   0.700   8.581658E-02   2.755703E-04  -3.215740E-05   8.790904E-08   3.028056E-09   8.525871E-02   2.961639E-03  -1.255686E-06  -6.775849E-07  -2.160660E-09
   0.800   8.419370E-02   3.124150E-04  -5.244955E-05   1.837302E-07   8.384334E-09   8.494487E-02   3.622797E-03  -2.170705E-06  -1.464011E-06  -6.155936E-09
   0.900   8.254089E-02   3.323056E-04  -7.979464E-05   3.463599E-07   2.032672E-08   8.461610E-02   4.251791E-03  -3.561673E-06  -2.866080E-06  -1.541297E-08
   1.000   8.091047E-02   3.307999E-04  -1.147187E-04   6.008350E-07   4.430744E-08   8.428201E-02   4.817175E-03  -5.622286E-06  -5.186254E-06  -3.482260E-08
   1.100   7.935170E-02   3.048796E-04  -1.572887E-04   9.729420E-07   8.849030E-08   8.395276E-02   5.290711E-03  -8.610679E-06  -8.798561E-06  -7.234368E-08
   1.200   7.790856E-02   2.533772E-04  -2.070260E-04   1.486520E-06   1.641964E-07   8.363861E-02   5.648860E-03  -1.285659E-05  -1.414208E-05  -1.401290E-07
   1.300   7.661765E-02   1.773246E-04  -2.628489E-04   2.160811E-06   2.860568E-07   8.334937E-02   5.874044E-03  -1.875912E-05  -2.170748E-05  -2.557412E-07
   1.400   7.550646E-02   8.018952E-05  -3.230450E-04   3.008472E-06   4.717385E-07   8.309377E-02   5.955630E-03  -2.677085E-05  -3.201658E-05  -4.433492E-07
   1.500   7.459198E-02  -3.203041E-05  -3.852812E-04   4.034923E-06   7.411461E-07   8.287866E-02   5.890559E-03  -3.736496E-05  -4.559563E-05  -7.347599E-07
   1.600   7.387972E-02  -1.508792E-04  -4.466503E-04   5.239575E-06   1.115062E-06   8.270828E-02   5.683591E-03  -5.098382E-05  -6.294321E-05  -1.170114E-06
   1.700   7.336332E-02  -2.656950E-04  -5.037553E-04   6.619353E-06   1.613271E-06   8.258340E-02   5.347133E-03  -6.796998E-05  -8.449450E-05  -1.798061E-06
   1.800   7.302467E-02  -3.640441E-04  -5.528288E-04   8.174586E-06   2.252308E-06   8.250056E-02   4.900652E-03  -8.848305E-05  -1.105837E-04  -2.675237E-06
   1.900   7.283459E-02  -4.323258E-04  -5.898854E-04   9.916993E-06   3.043047E-06   8.245147E-02   4.369694E-03  -1.124094E-04  -1.414070E-04  -3.864882E-06
   2.000   7.275409E-02  -4.565206E-04  -6.108982E-04   1.187910E-05   3.988431E-06   8.242257E-02   3.784563E-03  -1.392736E-04  -1.769883E-04  -5.434502E-06
   2.100   7.273609E-02  -4.230402E-04  -6.119947E-04   1.412406E-05   5.081671E-06   8.239479E-02   3.178708E-03  -1.681626E-04  -2.171506E-04  -7.452530E-06
   2.200   7.272759E-02  -3.196285E-04  -5.896617E-04   1.675448E-05   6.305224E-06   8.234377E-02   2.586933E-03  -1.976748E-04  -2.614946E-04  -9.984046E-06
