 Z=  31 A=  56  Ga beta2= 0.26 nrho= 153
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   9.162038E-02  -4.654752E-16  -8.118506E-16  -6.379727E-16  -1.273136E-15   8.363065E-02  -4.344435E-16  -7.285839E-16  -6.880098E-16  -4.291469E-17
   0.100   9.147588E-02   8.578450E-06  -1.105035E-08  -2.500528E-12  -4.434518E-16   8.363411E-02   7.981126E-05   2.022062E-08  -1.306430E-12  -6.723301E-16
   0.200   9.104753E-02   3.338730E-05  -1.754600E-07  -1.589342E-10   7.640245E-14   8.364399E-02   3.153259E-04   3.212340E-07  -8.244065E-11   1.974076E-14
   0.300   9.035049E-02   7.170728E-05  -8.770533E-07  -1.790517E-09   1.954721E-12   8.365878E-02   6.949731E-04   1.606928E-06  -9.182268E-10   4.961653E-13
   0.400   8.940938E-02   1.192052E-04  -2.723222E-06  -9.906961E-09   1.907094E-11   8.367611E-02   1.200083E-03   4.993570E-06  -5.000689E-09   4.894263E-12
   0.500   8.825726E-02   1.702256E-04  -6.499338E-06  -3.705715E-08   1.101287E-10   8.369298E-02   1.805780E-03   1.192581E-05  -1.833189E-08   2.861228E-11
   0.600   8.693428E-02   2.181850E-04  -1.311035E-05  -1.080456E-07   4.554461E-10   8.370606E-02   2.482185E-03   2.406215E-05  -5.216796E-08   1.200560E-10
   0.700   8.548601E-02   2.560537E-04  -2.351415E-05  -2.649427E-07   1.492153E-09   8.371195E-02   3.195865E-03   4.313370E-05  -1.243804E-07   3.998522E-10
   0.800   8.396160E-02   2.769050E-04  -3.865172E-05  -5.717797E-07   4.112832E-09   8.370759E-02   3.911478E-03   7.078222E-05  -2.601071E-07   1.122249E-09
   0.900   8.241165E-02   2.745058E-04  -5.937863E-05  -1.118353E-06   9.912988E-09   8.369055E-02   4.593530E-03   1.083857E-04  -4.915737E-07   2.757831E-09
   1.000   8.088612E-02   2.439172E-04  -8.640198E-05  -2.022641E-06   2.144802E-08   8.365929E-02   5.208168E-03   1.568826E-04  -8.572390E-07   6.088574E-09
   1.100   7.943213E-02   1.820689E-04  -1.202257E-04  -3.431476E-06   4.243483E-08   8.361333E-02   5.724918E-03   2.166069E-04  -1.400697E-06   1.229502E-08
   1.200   7.809190E-02   8.826826E-05  -1.611056E-04  -5.519228E-06   7.781146E-08   8.355334E-02   6.118297E-03   2.871498E-04  -2.169989E-06   2.300130E-08
   1.300   7.690084E-02  -3.539749E-05  -2.090154E-04  -8.484417E-06   1.335559E-07   8.348100E-02   6.369183E-03   3.672620E-04  -3.218070E-06   4.022924E-08
   1.400   7.588590E-02  -1.838031E-04  -2.636229E-04  -1.254427E-05   2.161685E-07   8.339875E-02   6.465902E-03   4.548109E-04  -4.605118E-06   6.619925E-08
   1.500   7.506428E-02  -3.487072E-04  -3.242743E-04  -1.792731E-05   3.317421E-07   8.330937E-02   6.404949E-03   5.468034E-04  -6.403099E-06   1.029081E-07
   1.600   7.444249E-02  -5.188780E-04  -3.899885E-04  -2.486414E-05   4.845884E-07   8.321537E-02   6.191286E-03   6.394824E-04  -8.702591E-06   1.514151E-07
   1.700   7.401593E-02  -6.804379E-04  -4.594572E-04  -3.357663E-05   6.754437E-07   8.311830E-02   5.838208E-03   7.284966E-04  -1.162131E-05   2.107819E-07
