 Z=  64 A= 130  Gd beta2= 0.39 nrho= 192
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.796242E-02  -3.878960E-16  -6.245005E-16  -9.507044E-16  -2.574881E-16   7.042525E-02  -3.723801E-16  -5.516421E-16  -4.503337E-16  -2.117125E-15
   0.100   7.798738E-02  -4.037971E-05  -3.698575E-08  -4.298260E-12   1.330355E-15   7.044898E-02  -3.043481E-05  -1.607499E-08   1.164238E-12  -3.290126E-16
   0.200   7.806155E-02  -1.590494E-04  -5.860642E-07  -2.741656E-10   2.025144E-13   7.051942E-02  -1.200015E-04  -2.547797E-07   7.320656E-11   5.359043E-13
   0.300   7.818281E-02  -3.487412E-04  -2.919291E-06  -3.106061E-09   5.027985E-12   7.063432E-02  -2.635823E-04  -1.269602E-06   8.092182E-10   1.354405E-11
   0.400   7.834773E-02  -5.978014E-04  -9.018802E-06  -1.731590E-08   4.801644E-11   7.079003E-02  -4.529592E-04  -3.924411E-06   4.358650E-09   1.320810E-10
   0.500   7.855164E-02  -8.908506E-04  -2.138043E-05  -6.536634E-08   2.696837E-10   7.098168E-02  -6.772619E-04  -9.309742E-06   1.574199E-08   7.631667E-10
   0.600   7.878882E-02  -1.209651E-03  -4.275915E-05  -1.925785E-07   1.076188E-09   7.120334E-02  -9.235564E-04  -1.863370E-05   4.394053E-08   3.158768E-09
   0.700   7.905267E-02  -1.534133E-03  -7.587501E-05  -4.775514E-07   3.371585E-09   7.144831E-02  -1.177539E-03  -3.309492E-05   1.022320E-07   1.036258E-08
   0.800   7.933591E-02  -1.843511E-03  -1.231015E-04  -1.042556E-06   8.791244E-09   7.170932E-02  -1.424300E-03  -5.374617E-05   2.073631E-07   2.862027E-08
   0.900   7.963085E-02  -2.117445E-03  -1.861601E-04  -2.062303E-06   1.977954E-08   7.197888E-02  -1.649103E-03  -8.135806E-05   3.774059E-07   6.918625E-08
   1.000   7.992956E-02  -2.337154E-03  -2.658436E-04  -3.769180E-06   3.927002E-08   7.224952E-02  -1.838156E-03  -1.162922E-04   6.284983E-07   1.503201E-07
   1.100   8.022419E-02  -2.486454E-03  -3.617929E-04  -6.452877E-06   6.966717E-08   7.251405E-02  -1.979317E-03  -1.583933E-04   9.710694E-07   2.991278E-07
   1.200   8.050713E-02  -2.552631E-03  -4.723440E-04  -1.045234E-05   1.108210E-07   7.276586E-02  -2.062711E-03  -2.069078E-04   1.406527E-06   5.528000E-07
   1.300   8.077133E-02  -2.527142E-03  -5.944624E-04  -1.613834E-05   1.567521E-07   7.299907E-02  -2.081227E-03  -2.604375E-04   1.925656E-06   9.587596E-07
