 Z=  66 A= 134  Dy beta2= 0.37 nrho= 193
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.848324E-02  -4.034118E-16  -6.557255E-16  -6.755005E-16  -1.516319E-15   7.000660E-02  -3.568643E-16  -4.996004E-16  -7.255376E-16  -1.573539E-16
   0.100   7.848873E-02  -4.571208E-05  -4.693770E-08  -8.712355E-12  -3.862322E-16   7.002098E-02  -3.334107E-05  -2.072127E-08  -7.044345E-13  -6.151105E-16
   0.200   7.850546E-02  -1.801726E-04  -7.442932E-07  -5.558596E-10   2.317393E-15   7.006385E-02  -1.315337E-04  -3.288262E-07  -4.660238E-11   4.319363E-13
   0.300   7.853413E-02  -3.955004E-04  -3.711908E-06  -6.299569E-09  -4.241402E-14   7.013447E-02  -2.891817E-04  -1.641962E-06  -5.589609E-10   1.086317E-11
   0.400   7.857586E-02  -6.790370E-04  -1.148688E-05  -3.513830E-08  -2.439085E-12   7.023158E-02  -4.976060E-04  -5.090057E-06  -3.352831E-09   1.052687E-10
   0.500   7.863199E-02  -1.014035E-03  -2.729104E-05  -1.327513E-07  -2.947152E-11   7.035345E-02  -7.452959E-04  -1.211993E-05  -1.377308E-08   6.032985E-10
   0.600   7.870394E-02  -1.380564E-03  -5.472753E-05  -3.915513E-07  -2.015411E-10   7.049791E-02  -1.018507E-03  -2.436919E-05  -4.446002E-08   2.471336E-09
   0.700   7.879300E-02  -1.756586E-03  -9.742719E-05  -9.724855E-07  -9.779110E-10   7.066236E-02  -1.301969E-03  -4.351669E-05  -1.211813E-07   8.004196E-09
   0.800   7.890013E-02  -2.119143E-03  -1.586690E-04  -2.127520E-06  -3.742084E-09   7.084386E-02  -1.579668E-03  -7.111790E-05  -2.908809E-07   2.176458E-08
   0.900   7.902576E-02  -2.445580E-03  -2.410016E-04  -4.220027E-06  -1.200179E-08   7.103914E-02  -1.835658E-03  -1.084354E-04  -6.316152E-07   5.163314E-08
   1.000   7.916963E-02  -2.714759E-03  -3.458926E-04  -7.739759E-06  -3.354684E-08   7.124468E-02  -2.054869E-03  -1.562745E-04  -1.263437E-06   1.096790E-07
   1.100   7.933062E-02  -2.908175E-03  -4.734335E-04  -1.330876E-05  -8.393711E-08   7.145681E-02  -2.223852E-03  -2.148361E-04  -2.358628E-06   2.124304E-07
   1.200   7.950675E-02  -3.010938E-03  -6.221233E-04  -2.167452E-05  -1.916494E-07   7.167179E-02  -2.331453E-03  -2.835954E-04  -4.149123E-06   3.800410E-07
   1.300   7.969509E-02  -3.012561E-03  -7.887511E-04  -3.368711E-05  -4.050713E-07   7.188587E-02  -2.369362E-03  -3.612187E-04  -6.928567E-06   6.338467E-07
   1.400   7.989187E-02  -2.907516E-03  -9.683928E-04  -5.025785E-05  -8.012842E-07   7.209548E-02  -2.332523E-03  -4.455267E-04  -1.104639E-05   9.919089E-07
   1.500   8.009257E-02  -2.695540E-03  -1.154529E-03  -7.229853E-05  -1.496228E-06   7.229725E-02  -2.219387E-03  -5.335099E-04  -1.689160E-05   1.462360E-06
   1.600   8.029211E-02  -2.381665E-03  -1.339288E-03  -1.006420E-04  -2.655426E-06   7.248818E-02  -2.032005E-03  -6.214036E-04  -2.486466E-05   2.034691E-06
   1.700   8.048507E-02  -1.975980E-03  -1.513802E-03  -1.359470E-04  -4.503995E-06   7.266570E-02  -1.775936E-03  -7.048225E-04  -3.533698E-05   2.669536E-06
   1.800   8.066596E-02  -1.493145E-03  -1.668665E-03  -1.785930E-04  -7.334284E-06   7.282780E-02  -1.460010E-03  -7.789560E-04  -4.859912E-05   3.287934E-06
   1.900   8.082946E-02  -9.516499E-04  -1.794478E-03  -2.285721E-04  -1.150917E-05   7.297305E-02  -1.095913E-03  -8.388168E-04  -6.480005E-05   3.761478E-06
   2.000   8.097070E-02  -3.728936E-04  -1.882431E-03  -2.853878E-04  -1.745900E-05   7.310068E-02  -6.976470E-04  -8.795377E-04  -8.388219E-05   3.905075E-06
   2.100   8.108547E-02   2.199142E-04  -1.924922E-03  -3.479716E-04  -2.567026E-05   7.321053E-02  -2.808527E-04  -8.967006E-04  -1.055177E-04   3.474172E-06
   2.200   8.117037E-02   8.029540E-04  -1.916138E-03  -4.146281E-04  -3.666464E-05   7.330304E-02   1.379542E-04  -8.866831E-04  -1.290534E-04   2.168245E-06
   2.300   8.122293E-02   1.353057E-03  -1.852588E-03  -4.830195E-04  -5.096779E-05   7.337915E-02   5.422238E-04  -8.470022E-04  -1.534722E-04  -3.579885E-07
   2.400   8.124160E-02   1.848963E-03  -1.733539E-03  -5.501984E-04  -6.906827E-05   7.344012E-02   9.162478E-04  -7.766312E-04  -1.773778E-04  -4.474804E-06
   2.500   8.122565E-02   2.272518E-03  -1.561309E-03  -6.126938E-04  -9.136823E-05   7.348733E-02   1.246035E-03  -6.762658E-04  -1.990107E-04  -1.054916E-05
   2.600   8.117503E-02   2.609750E-03  -1.341409E-03  -6.666526E-04  -1.181289E-04   7.352208E-02   1.520147E-03  -5.485151E-04  -2.162996E-04  -1.890888E-05
   2.700   8.109005E-02   2.851764E-03  -1.082490E-03  -7.080340E-04  -1.494151E-04   7.354524E-02   1.730453E-03  -3.979926E-04  -2.269508E-04  -2.980148E-05
   2.800   8.097110E-02   2.995410E-03  -7.960936E-04  -7.328474E-04  -1.850435E-04   7.355698E-02   1.872762E-03  -2.312895E-04  -2.285740E-04  -4.335086E-05
   2.900   8.081823E-02   3.043670E-03  -4.962110E-04  -7.374214E-04  -2.245408E-04   7.355647E-02   1.947285E-03  -5.681574E-05  -2.188414E-04  -5.951593E-05
   3.000   8.063083E-02   3.005750E-03  -1.986480E-04  -7.186863E-04  -2.671175E-04   7.354158E-02   1.958906E-03   1.154965E-04  -1.956695E-04  -7.805578E-05
