 Z=  79 A= 167  Au beta2= 0.08 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   9.527275E-02  -4.809910E-16  -8.534839E-16  -6.129542E-16  -1.788112E-15   7.241761E-02  -3.878960E-16  -4.996004E-16  -8.005932E-16  -1.287441E-16
   0.100   9.513830E-02   1.141142E-05  -5.274571E-09   7.689448E-14  -1.616453E-15   7.236330E-02  -1.142870E-05  -2.239115E-09  -1.865132E-13  -1.687978E-15
   0.200   9.474078E-02   4.464422E-05  -8.354758E-08   5.008749E-12   2.955392E-14   7.220375E-02  -4.521491E-05  -3.556249E-08  -1.180894E-11  -6.294154E-15
   0.300   9.409736E-02   9.677431E-05  -4.159001E-07   5.766893E-11   8.154649E-13   7.194877E-02  -9.987713E-05  -1.778314E-07  -1.331937E-10  -1.643060E-13
   0.400   9.323564E-02   1.631892E-04  -1.283704E-06   3.287134E-10   8.026105E-12   7.161398E-02  -1.730066E-04  -5.524044E-07  -7.381295E-10  -1.625008E-12
   0.500   9.219218E-02   2.379567E-04  -3.039560E-06   1.275418E-09   4.698991E-11   7.121972E-02  -2.613577E-04  -1.318912E-06  -2.766125E-09  -9.490140E-12
   0.600   9.101057E-02   3.142989E-04  -6.069662E-06   3.880178E-09   1.976954E-10   7.078969E-02  -3.609719E-04  -2.661102E-06  -8.081336E-09  -3.980280E-11
   0.700   8.973921E-02   3.851313E-04  -1.075043E-05   9.975994E-09   6.613045E-10   7.034934E-02  -4.673356E-04  -4.772494E-06  -1.985687E-08  -1.326044E-10
   0.800   8.842882E-02   4.436273E-04  -1.740270E-05   2.265793E-08   1.868362E-09   6.992434E-02  -5.755642E-04  -7.840708E-06  -4.293483E-08  -3.727995E-10
   0.900   8.713001E-02   4.837607E-04  -2.624708E-05   4.676645E-08   4.635545E-09   6.953891E-02  -6.806101E-04  -1.203147E-05  -8.411027E-08  -9.194790E-10
   1.000   8.589083E-02   5.007880E-04  -3.736404E-05   8.941199E-08   1.037240E-08   6.921448E-02  -7.774837E-04  -1.747332E-05  -1.522903E-07  -2.042952E-09
   1.100   8.475465E-02   4.916339E-04  -5.066215E-05   1.604935E-07   2.133242E-08   6.896850E-02  -8.614788E-04  -2.424412E-05  -2.584872E-07  -4.166929E-09
   1.200   8.375826E-02   4.551528E-04  -6.585733E-05   2.731483E-07   4.089482E-08   6.881366E-02  -9.283906E-04  -3.236020E-05  -4.156181E-07  -7.911344E-09
   1.300   8.293046E-02   3.922507E-04  -8.246539E-05   4.440618E-07   7.385562E-08   6.875736E-02  -9.747138E-04  -4.176907E-05  -6.380987E-07  -1.412959E-08
   1.400   8.229109E-02   3.058609E-04  -9.980910E-05   6.935621E-07   1.266991E-07   6.880158E-02  -9.978102E-04  -5.234628E-05  -9.412406E-07  -2.393274E-08
   1.500   8.185051E-02   2.007780E-04  -1.170403E-04   1.045432E-06   2.078159E-07   6.894311E-02  -9.960329E-04  -6.389676E-05  -1.340478E-06  -3.869300E-08
   1.600   8.160960E-02   8.336397E-05  -1.331760E-04   1.526383E-06   3.276308E-07   6.917395E-02  -9.688024E-04  -7.616073E-05  -1.850471E-06  -6.001928E-08
   1.700   8.156015E-02  -3.885120E-05  -1.471476E-04   2.165174E-06   4.986026E-07   6.948202E-02  -9.166284E-04  -8.882401E-05  -2.484146E-06  -8.969956E-08
   1.800   8.168573E-02  -1.576471E-04  -1.578594E-04   2.991350E-06   7.350648E-07   6.985199E-02  -8.410753E-04  -1.015322E-04  -3.251735E-06  -1.296078E-07
   1.900   8.196278E-02  -2.646377E-04  -1.642538E-04   4.033669E-06   1.052878E-06   7.026617E-02  -7.446774E-04  -1.139084E-04  -4.159904E-06  -1.815767E-07
   2.000   8.236208E-02  -3.518090E-04  -1.653791E-04   5.318247E-06   1.468879E-06   7.070547E-02  -6.308080E-04  -1.255721E-04  -5.211014E-06  -2.472426E-07
   2.100   8.285029E-02  -4.120396E-04  -1.604556E-04   6.866538E-06   2.000127E-06   7.115033E-02  -5.035118E-04  -1.361612E-04  -6.402590E-06  -3.278724E-07
   2.200   8.339172E-02  -4.395701E-04  -1.489359E-04   8.693249E-06   2.662951E-06   7.158155E-02  -3.673141E-04  -1.453523E-04  -7.727039E-06  -4.241866E-07
   2.300   8.395001E-02  -4.303974E-04  -1.305545E-04   1.080432E-05   3.471838E-06   7.198111E-02  -2.270160E-04  -1.528810E-04  -9.171632E-06  -5.361960E-07
   2.400   8.448989E-02  -3.825685E-04  -1.053652E-04   1.319508E-05   4.438199E-06   7.233283E-02  -8.748885E-05  -1.585598E-04  -1.071877E-05  -6.630718E-07
   2.500   8.497874E-02  -2.963563E-04  -7.376134E-05   1.584872E-05   5.569076E-06   7.262305E-02   4.652284E-05  -1.622930E-04  -1.234649E-05  -8.030650E-07
   2.600   8.538803E-02  -1.743061E-04  -3.647890E-05   1.873519E-05   6.865876E-06   7.284105E-02   1.705819E-04  -1.640878E-04  -1.402925E-05  -9.534952E-07
   2.700   8.569456E-02  -2.114454E-05   5.419606E-06   2.181050E-05   8.323200E-06   7.297950E-02   2.807178E-04  -1.640599E-04  -1.573885E-05  -1.110820E-06
   2.800   8.588137E-02   1.564461E-04   5.057941E-05   2.501665E-05   9.927867E-06   7.303475E-02   3.735631E-04  -1.624351E-04  -1.744553E-05  -1.270789E-06
   2.900   8.593837E-02   3.501833E-04   9.740515E-05   2.828210E-05   1.165822E-05   7.300697E-02   4.464664E-04  -1.595439E-04  -1.911912E-05  -1.428693E-06
   3.000   8.586264E-02   5.506539E-04   1.441277E-04   3.152277E-05   1.348378E-05   7.290019E-02   4.975851E-04  -1.558110E-04  -2.073023E-05  -1.579685E-06
   3.100   8.565826E-02   7.478749E-04   1.888831E-04   3.464373E-05   1.536537E-05   7.272216E-02   5.259606E-04  -1.517388E-04  -2.225141E-05  -1.719174E-06
   3.200   8.533588E-02   9.319195E-04   2.298005E-04   3.754139E-05   1.725564E-05   7.248400E-02   5.315778E-04  -1.478846E-04  -2.365814E-05  -1.843253E-06
   3.300   8.491179E-02   1.093571E-03   2.650945E-04   4.010633E-05   1.910014E-05   7.219967E-02   5.154112E-04  -1.448329E-04  -2.492973E-05  -1.949144E-06
   3.400   8.440671E-02   1.224968E-03   2.931581E-04   4.222669E-05   2.083885E-05   7.188523E-02   4.794558E-04  -1.431637E-04  -2.604994E-05  -2.035616E-06
   3.500   8.384429E-02   1.320190E-03   3.126512E-04   4.379213E-05   2.240817E-05   7.155788E-02   4.267382E-04  -1.434155E-04  -2.700734E-05  -2.103337E-06
   3.600   8.324926E-02   1.375759E-03   3.225810E-04   4.469830E-05   2.374323E-05   7.123479E-02   3.613033E-04  -1.460488E-04  -2.779531E-05  -2.155126E-06
   3.700   8.264561E-02   1.390992E-03   3.223691E-04   4.485183E-05   2.478057E-05   7.093188E-02   2.881653E-04  -1.514067E-04  -2.841169E-05  -2.196064E-06
   3.800   8.205459E-02   1.368193E-03   3.119015E-04   4.417562E-05   2.546089E-05   7.066243E-02   2.132154E-04  -1.596799E-04  -2.885800E-05  -2.233440E-06
   3.900   8.149291E-02   1.312646E-03   2.915585E-04   4.261438E-05   2.573183E-05   7.043576E-02   1.430760E-04  -1.708742E-04  -2.913830E-05  -2.276502E-06
   4.000   8.097110E-02   1.232404E-03   2.622209E-04   4.014004E-05   2.555072E-05   7.025603E-02   8.489558E-05  -1.847865E-04  -2.925770E-05  -2.336023E-06
   4.100   8.049222E-02   1.137871E-03   2.252512E-04   3.675681E-05   2.488699E-05   7.012123E-02   4.608105E-05  -2.009901E-04  -2.922054E-05  -2.423678E-06
   4.200   8.005106E-02   1.041205E-03   1.824489E-04   3.250550E-05   2.372418E-05   7.002250E-02   3.397273E-05  -2.188321E-04  -2.902850E-05  -2.551260E-06
   4.300   7.963380E-02   9.555567E-04   1.359797E-04   2.746650E-05   2.206153E-05   6.994386E-02   5.547146E-05  -2.374456E-04  -2.867867E-05  -2.729783E-06
   4.400   7.921833E-02   8.942194E-04   8.828222E-05   2.176120E-05   1.991484E-05   6.986236E-02   1.166361E-04  -2.557767E-04  -2.816186E-05  -2.968531E-06
   4.500   7.877505E-02   8.697189E-04   4.195436E-05   1.555125E-05   1.731673E-05   6.974880E-02   2.222760E-04  -2.726269E-04  -2.746133E-05  -3.274108E-06
