 Z=  90 A= 201  Th beta2= 0.22 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.452997E-02  -4.344435E-16  -7.285839E-16  -8.631396E-16   7.867693E-16   7.283602E-02  -4.034118E-16  -5.100087E-16  -9.256859E-16  -6.437203E-16
   0.100   8.452073E-02   5.175192E-05   3.508049E-08   5.765660E-12   4.148420E-16   7.276645E-02   1.005667E-05  -8.276245E-09  -1.498360E-13  -1.902551E-15
   0.200   8.449323E-02   2.037384E-04   5.544438E-07   3.644009E-10   2.309096E-13   7.256058E-02   3.936276E-05  -1.321592E-07  -1.046123E-11   2.112261E-13
   0.300   8.444815E-02   4.463585E-04   2.749993E-06   4.062666E-09   5.845024E-12   7.222674E-02   8.540008E-05  -6.666911E-07  -1.355235E-10   5.334024E-12
   0.400   8.438665E-02   7.642872E-04   8.445318E-06   2.215018E-08   5.644174E-11   7.177833E-02   1.442096E-04  -2.095563E-06  -8.836350E-10   5.194986E-11
   0.500   8.431037E-02   1.137440E-03   1.986927E-05   8.128239E-08   3.218661E-10   7.123318E-02   2.107242E-04  -5.075880E-06  -3.928239E-09   2.997547E-10
   0.600   8.422148E-02   1.542232E-03   3.937274E-05   2.314381E-07   1.310608E-09   7.061259E-02   2.791889E-04  -1.041136E-05  -1.358387E-08   1.238964E-09
   0.700   8.412264E-02   1.953037E-03   6.911801E-05   5.515870E-07   4.214895E-09   6.994038E-02   3.436287E-04  -1.901038E-05  -3.917759E-08   4.059405E-09
   0.800   8.401705E-02   2.343765E-03   1.107723E-04   1.151212E-06   1.136780E-08   6.924167E-02   3.983222E-04  -3.182645E-05  -9.829248E-08   1.120127E-08
   0.900   8.390842E-02   2.689437E-03   1.652368E-04   2.166102E-06   2.672013E-08   6.854178E-02   4.382383E-04  -4.978098E-05  -2.205679E-07   2.706834E-08
   1.000   8.380087E-02   2.967677E-03   2.324375E-04   3.747663E-06   5.617415E-08   6.786510E-02   4.594004E-04  -7.367114E-05  -4.514265E-07   5.884049E-08
   1.100   8.369892E-02   3.160009E-03   3.111990E-04   6.045981E-06   1.075566E-07   6.723406E-02   4.591511E-04  -1.040688E-04  -8.548399E-07   1.172845E-07
   1.200   8.360729E-02   3.252903E-03   3.992135E-04   9.187900E-06   1.899927E-07   6.666828E-02   4.363011E-04  -1.412193E-04  -1.514114E-06   2.174403E-07
   1.300   8.353083E-02   3.238509E-03   4.931067E-04   1.325226E-05   3.124716E-07   6.618385E-02   3.911581E-04  -1.849510E-04  -2.529735E-06   3.790624E-07
   1.400   8.347424E-02   3.115039E-03   5.885969E-04   1.824505E-05   4.814766E-07   6.579283E-02   3.254439E-04  -2.346065E-04  -4.013568E-06   6.267219E-07
   1.500   8.344193E-02   2.886796E-03   6.807323E-04   2.407747E-05   6.976854E-07   6.550295E-02   2.421167E-04  -2.890068E-04  -6.079159E-06   9.895258E-07
   1.600   8.343774E-02   2.563855E-03   7.641875E-04   3.054972E-05   9.519163E-07   6.531757E-02   1.451221E-04  -3.464556E-04  -8.828425E-06   1.500473E-06
   1.700   8.346470E-02   2.161436E-03   8.335969E-04   3.734289E-05   1.220671E-06   6.523569E-02   3.910145E-05  -4.047885E-04  -1.233568E-05   2.195535E-06
   1.800   8.352485E-02   1.699002E-03   8.838983E-04   4.402049E-05   1.461785E-06   6.525232E-02  -7.091471E-05  -4.614672E-04  -1.663047E-05   3.112602E-06
   1.900   8.361895E-02   1.199158E-03   9.106654E-04   5.004007E-05   1.610808E-06   6.535881E-02  -1.798038E-04  -5.137132E-04  -2.168101E-05   4.290472E-06
