 Z=  92 A= 207  U  beta2= 0.18 nrho= 200
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.291932E-02  -4.189276E-16  -6.245005E-16  -7.505561E-16  -3.576224E-16   7.156743E-02  -3.568643E-16  -6.036838E-16  -5.378986E-16  -1.559234E-15
   0.100   8.292477E-02   5.408011E-05   3.702302E-08   7.671397E-12   1.015648E-15   7.150441E-02  -1.004357E-06  -1.011177E-08  -8.442005E-13   8.582938E-16
   0.200   8.294053E-02   2.132853E-04   5.872363E-07   4.880920E-10   1.750919E-13   7.131730E-02  -4.110537E-06  -1.607066E-07  -5.486395E-11   7.721783E-14
   0.300   8.296492E-02   4.686686E-04   2.929896E-06   5.511056E-09   4.412131E-12   7.101196E-02  -9.595773E-06  -8.044729E-07  -6.412157E-10   1.796981E-12
   0.400   8.299533E-02   8.058393E-04   9.071802E-06   3.058135E-08   4.394747E-11   7.059797E-02  -1.791404E-05  -2.502423E-06  -3.722889E-09   1.691615E-11
   0.500   8.302853E-02   1.205718E-03   2.156625E-05   1.147756E-07   2.606335E-10   7.008851E-02  -2.968023E-05  -5.984321E-06  -1.474099E-08   9.297386E-11
   0.600   8.306100E-02   1.645546E-03   4.327347E-05   3.358412E-07   1.113122E-09   6.949995E-02  -4.564164E-05  -1.209476E-05  -4.576937E-08   3.611127E-10
   0.700   8.308939E-02   2.100093E-03   7.707647E-05   8.263870E-07   3.785976E-09   6.885148E-02  -6.663201E-05  -2.172672E-05  -1.199210E-07   1.093553E-09
   0.800   8.311088E-02   2.543019E-03   1.255702E-04   1.788841E-06   1.088917E-08   6.816451E-02  -9.350504E-05  -3.574553E-05  -2.768221E-07   2.733244E-09
   0.900   8.312361E-02   2.948299E-03   1.907453E-04   3.506531E-06   2.752429E-08   6.746197E-02  -1.270462E-04  -5.490694E-05  -5.785975E-07   5.830257E-09
   1.000   8.312693E-02   3.291655E-03   2.736901E-04   6.348138E-06   6.276229E-08   6.676751E-02  -1.678652E-04  -7.977442E-05  -1.115425E-06   1.080379E-08
   1.100   8.312161E-02   3.551914E-03   3.743357E-04   1.076295E-05   1.315203E-07   6.610454E-02  -2.162763E-04  -1.106411E-04  -2.009401E-06   1.745188E-08
   1.200   8.310994E-02   3.712204E-03   4.912688E-04   1.726494E-05   2.567433E-07   6.549527E-02  -2.721758E-04  -1.474623E-04  -3.415335E-06   2.416214E-08
   1.300   8.309564E-02   3.760934E-03   6.216327E-04   2.640441E-05   4.716991E-07   6.495967E-02  -3.349318E-04  -1.898051E-04  -5.517178E-06   2.683525E-08
   1.400   8.308365E-02   3.692484E-03   7.611344E-04   3.872761E-05   8.220943E-07   6.451454E-02  -4.033004E-04  -2.368193E-04  -8.519141E-06   1.761225E-08
   1.500   8.307980E-02   3.507576E-03   9.041654E-04   5.472552E-05   1.367629E-06   6.417268E-02  -4.753842E-04  -2.872339E-04  -1.263118E-05  -1.641936E-08
   1.600   8.309040E-02   3.213275E-03   1.044038E-03   7.477539E-05   2.182555E-06   6.394219E-02  -5.486462E-04  -3.393828E-04  -1.804919E-05  -9.429145E-08
   1.700   8.312171E-02   2.822644E-03   1.173329E-03   9.907925E-05   3.354804E-06   6.382610E-02  -6.199855E-04  -3.912578E-04  -2.493126E-05  -2.417024E-07
   1.800   8.317943E-02   2.354037E-03   1.284305E-03   1.276053E-04   4.983317E-06   6.382222E-02  -6.858784E-04  -4.405896E-04  -3.337168E-05  -4.907537E-07
   1.900   8.326819E-02   1.830097E-03   1.369419E-03   1.600386E-04   7.173329E-06   6.392329E-02  -7.425773E-04  -4.849524E-04  -4.337553E-05  -8.786386E-07
   2.000   8.339106E-02   1.276489E-03   1.421815E-03   1.957468E-04   1.002959E-05   6.411751E-02  -7.863546E-04  -5.218866E-04  -5.483646E-05  -1.445152E-06
